Seperator Type,TP : ColRec,TP : Uterine,FP : ColRec,FP : Uterine,FN : ColRec,FN : Uterine,TN : ColRec,TN : Uterine,Accuracy : ColRec,Accuracy : Uterine,Sensitivity : ColRec,Sensitivity : Uterine,Specificity : ColRec,Specificity : Uterine,Precision : ColRec,Precision : Uterine,Miss Rate : ColRec,Miss Rate : Uterine,False discovery rate : ColRec,False discovery rate : Uterine,False omission rate : ColRec,False omission rate : Uterine,ROC_AUC : ColRec,ROC_AUC : Uterine,PR Logistic : ColRec,PR Logistic : Uterine,Included Muts
Pval<0.005,23.72727273,4,13,0.272727273,86.27272727,5.090909091,237,13.63636364,0.724242424,0.766798419,0.215702479,0.427030041,0.948,0.981331169,0.647374427,0.951515152,0.784297521,0.572969959,0.352625573,0.048484848,0.266754673,0.272498923,0.591682645,0.72754247,0.499965685,0.840879789,22
Chi>15.36,25,7.636363636,16.72727273,0.090909091,85,3.727272727,233.2727273,11.54545455,0.717424242,0.833992095,0.227272727,0.671915206,0.933090909,0.990909091,0.600312732,0.98989899,0.772727273,0.328084794,0.399687268,0.01010101,0.267059876,0.247816928,0.585433058,0.83731193,0.494041174,0.921227191,25
Pval<0.01,24.63636364,4.363636364,16.72727273,0.545454545,85.36363636,4.909090909,233.2727273,13.18181818,0.716414141,0.76284585,0.223966942,0.465932048,0.933090909,0.961188811,0.598798199,0.926948052,0.776033058,0.534067952,0.401201801,0.073051948,0.267864829,0.264804639,0.588791736,0.736168503,0.467880892,0.891663256,33
Chi>7.68,26.63636364,5.454545455,18.90909091,0.909090909,83.36363636,4.272727273,231.0909091,12.36363636,0.715909091,0.774703557,0.24214876,0.541092746,0.924363636,0.933473686,0.585729364,0.834632035,0.75785124,0.458907254,0.414270636,0.165367965,0.265062189,0.259562453,0.588580165,0.764330144,0.498738046,0.81747992,31
Chi>3.84,21,5,14.27272727,0.545454545,89,4.545454545,235.7272727,12.90909091,0.713131313,0.778656126,0.190909091,0.518470418,0.942909091,0.963961039,0.597005055,0.875901876,0.809090909,0.481529582,0.402994945,0.124098124,0.274013279,0.250315489,0.565512397,0.760019021,0.460454646,0.819466237,99
TP3_FP0,14.54545455,1.363636364,10.36363636,0,95.45454545,7.090909091,239.6363636,14.54545455,0.706060606,0.691699605,0.132231405,0.145798898,0.958545455,1,0.583496002,0.454545455,0.867768595,0.854201102,0.416503998,-0.272727273,0.284814123,0.329041477,0.552816529,0.611302965,0.467718969,0.897201618,106
TP4_FP0 ,21.36363636,2.636363636,17.27272727,0,88.63636364,7.090909091,232.7272727,13.27272727,0.705808081,0.691699605,0.194214876,0.276400367,0.930909091,1,0.554804979,0.636363636,0.805785124,0.723599633,0.445195021,-0.181818182,0.275665158,0.343866914,0.565679339,0.646858192,0.468197334,0.890920427,54
Pval<0.05,10.18181818,1.636363636,6.454545455,0.090909091,99.81818182,9.363636364,243.5454545,11.90909091,0.70479798,0.588932806,0.092561983,0.157282616,0.974181818,0.993006993,0.608722807,0.613636364,0.907438017,0.842717384,0.391277193,-0.159090909,0.290635762,0.437743118,0.542755372,0.683474102,0.466052289,0.935121819,113
TP-2FP>3,10.63636364,1.363636364,9,0.090909091,99.36363636,8.545454545,241,13,0.698989899,0.624505929,0.096694215,0.138941362,0.964,0.992424242,0.57425657,0.424242424,0.903305785,0.861058638,0.42574343,-0.242424242,0.291976977,0.397330733,0.524034711,0.58292339,0.466254998,0.894936328,113
FP=0 ,2.727272727,0.727272727,3.636363636,0,107.2727273,8.818181818,246.3636364,13.45454545,0.691919192,0.616600791,0.024793388,0.074747475,0.985454545,1,0.257575758,-0.090909091,0.975206612,0.925252525,0.46969697,-0.545454545,0.303324051,0.395487911,0.517836364,0.586616162,0.456164332,0.924784263,470
TP-2FP>4,25.81818182,4,35.09090909,1.181818182,84.18181818,7.181818182,214.9090909,10.63636364,0.668686869,0.636363636,0.234710744,0.355076994,0.859636364,0.909090909,0.543326097,0.948616601,0.765289256,0.644923006,0.456673903,0.051383399,0.31575772,0.27895075,0.553305785,0.65438318,0.460337749,0.848245502,58
All,7.727272727,0.636363636,19.27272727,1.636363636,102.2727273,9.363636364,230.7272727,11.36363636,0.662373737,0.52173913,0.070247934,0.064646465,0.922909091,0.875218721,0.334701484,-0.204545455,0.929752066,0.935353535,0.665298516,-0.159090909,0.312253239,0.477404885,0.485935537,0.482458955,0.462107904,0.881074224,540
TP-2FP>2,14.54545455,1.363636364,27.90909091,1.727272727,95.45454545,8.727272727,222.0909091,11.18181818,0.657323232,0.545454545,0.132231405,0.143983794,0.888363636,0.901154401,0.347486884,0.130781499,0.867768595,0.856016206,0.379785843,-0.22169059,0.321946045,0.460667374,0.514472727,0.504381729,0.45447372,0.876232183,231
