Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05 : ColRec,12.090909090909092,8.545454545454545,97.9090909090909,241.45454545454547,0.7042929292929293,0.10991735537190082,0.9658181818181817,0.5778707595383158,0.8900826446280992,0.42212924046168415,0.2883093691492812,0.5447140495867768,0.4696544332364337,113.0
Pval<0.05 : Uterine,2.1818181818181817,0.09090909090909091,9.272727272727273,11.454545454545455,0.592885375494071,0.18616661116661115,0.990909090909091,0.9772727272727273,0.813833388833389,0.022727272727272728,0.45057167712670104,0.6085414585414585,0.8883295082899827,113.0
Pval<0.01 : ColRec,25.727272727272727,16.181818181818183,84.27272727272727,233.8181818181818,0.720959595959596,0.23388429752066117,0.9352727272727271,0.6147299601386502,0.7661157024793389,0.3852700398613498,0.26488065432825875,0.5936661157024793,0.46957998462680756,33.0
Pval<0.01 : Uterine,5.181818181818182,0.18181818181818182,4.7272727272727275,12.909090909090908,0.7865612648221343,0.5073267641449459,0.9852420306965761,0.9567099567099567,0.492673235855054,0.04329004329004329,0.26572798116915763,0.7559951412224138,0.8848613425441488,33.0
Pval<0.005 : ColRec,23.818181818181817,12.090909090909092,86.18181818181819,237.9090909090909,0.727020202020202,0.21652892561983472,0.9516363636363636,0.6638360092438295,0.7834710743801654,0.33616399075617065,0.26586094279287387,0.5932793388429751,0.4998355953594799,22.0
Pval<0.005 : Uterine,4.090909090909091,0.2727272727272727,5.090909090909091,13.545454545454545,0.766798418972332,0.4382920110192838,0.9809634809634811,0.9090909090909091,0.5617079889807163,0.09090909090909091,0.27344542282622775,0.7272020908384544,0.825960494270771,22.0
Chi>3.84 : ColRec,19.636363636363637,13.727272727272727,90.36363636363636,236.27272727272728,0.7108585858585857,0.17851239669421484,0.945090909090909,0.5895738071627399,0.8214876033057851,0.41042619283725995,0.27652515497124025,0.562909090909091,0.46458081596658984,99.0
Chi>3.84 : Uterine,3.6363636363636362,0.45454545454545453,5.545454545454546,13.363636363636363,0.7391304347826086,0.40055096418732783,0.9669663669663671,0.8961038961038962,0.5994490358126721,0.10389610389610389,0.2913281421021359,0.6787579992793896,0.7891535140667147,99.0
Chi>7.68 : ColRec,26.181818181818183,17.727272727272727,83.81818181818181,232.27272727272728,0.7179292929292929,0.23801652892561984,0.9290909090909092,0.5959003536025429,0.7619834710743802,0.4040996463974571,0.2651296863526127,0.5871057851239668,0.4976477481608276,31.0
Chi>7.68 : Uterine,6.636363636363637,0.7272727272727273,3.909090909090909,11.727272727272727,0.7984189723320158,0.6251869342778433,0.9423474253019708,0.9000688705234161,0.3748130657221566,0.09993112947658402,0.2427435825268643,0.7888673826173825,0.8779311989779561,31.0
Chi>15.36 : ColRec,25.727272727272727,17.181818181818183,84.27272727272727,232.8181818181818,0.7181818181818181,0.23388429752066112,0.9312727272727274,0.6005631090013845,0.7661157024793387,0.3994368909986154,0.2657529887513986,0.5833851239669422,0.49874169324694756,25.0
Chi>15.36 : Uterine,5.545454545454546,0.9090909090909091,3.0,13.545454545454545,0.8300395256916996,0.657555575737394,0.9403202061096798,0.842857142857143,0.3424444242626061,0.15714285714285714,0.1883094159022952,0.8256787400609522,0.8161411903549113,25.0
TP-2FP>2 : ColRec,22.818181818181817,47.63636363636363,87.18181818181819,202.36363636363637,0.6255050505050505,0.2074380165289256,0.8094545454545454,0.4721847581917544,0.7925619834710744,0.5278152418082456,0.3301979252351283,0.5157272727272727,0.454048661476971,231.0
TP-2FP>2 : Uterine,1.9090909090909092,2.4545454545454546,8.181818181818182,10.454545454545455,0.5375494071146245,0.20050328459419367,0.8121212121212121,0.11352657004830916,0.7994967154058064,-0.20443566095740007,0.3472015468062899,0.5605489207761934,0.9199274849938317,231.0
TP-2FP>3 : ColRec,12.727272727272727,9.727272727272727,97.27272727272727,240.27272727272728,0.7027777777777778,0.11570247933884298,0.961090909090909,0.571627732933623,0.884297520661157,0.42837226706637693,0.288113662789708,0.5391735537190083,0.46348416227885103,113.0
TP-2FP>3 : Uterine,1.7272727272727273,0.09090909090909091,7.454545454545454,13.727272727272727,0.6719367588932806,0.1882395382395382,0.9943181818181818,0.4090909090909091,0.8117604617604617,-0.22727272727272727,0.34943462681136905,0.629644660894661,0.8757927833767755,113.0
TP-2FP>4 : ColRec,25.09090909090909,33.09090909090909,84.9090909090909,216.9090909090909,0.6722222222222222,0.22809917355371898,0.8676363636363637,0.5761332899035526,0.7719008264462808,0.4238667100964474,0.3197801455189805,0.5597900826446282,0.46369622007043354,58.0
TP-2FP>4 : Uterine,3.272727272727273,1.2727272727272727,7.0,11.454545454545455,0.6403162055335968,0.32669931079021985,0.9090909090909091,0.7575757575757575,0.67330068920978,-0.030303030303030307,0.4288331320575964,0.6704521488612398,0.884917831125835,58.0
TP3_FP0 : ColRec,13.363636363636363,9.545454545454545,96.63636363636364,240.45454545454547,0.705050505050505,0.1214876033057851,0.9618181818181817,0.5775654422206146,0.8785123966942149,0.4224345577793854,0.28657815046795904,0.5439322314049586,0.46865962383018084,106.0
TP3_FP0 : Uterine,2.1818181818181817,0.0,7.363636363636363,13.454545454545455,0.6798418972332017,0.2283426169789806,1.0,0.6363636363636364,0.7716573830210194,-0.18181818181818182,0.35350656555150006,0.5894723962905781,0.9396024649483148,106.0
TP4_FP0 : ColRec,19.90909090909091,15.818181818181818,90.0909090909091,234.1818181818182,0.7058080808080808,0.18099173553719008,0.9367272727272727,0.5782748839831293,0.8190082644628099,0.42172511601687074,0.2775990292115884,0.5654247933884298,0.4672256370538212,54.0
TP4_FP0 : Uterine,2.5454545454545454,0.0,8.090909090909092,12.363636363636363,0.6482213438735177,0.21883003360276085,1.0,0.8181818181818182,0.7811699663972391,-0.09090909090909091,0.39987208258999396,0.6480218644991372,0.8843067258828128,54.0
FP=0 : ColRec,4.454545454545454,5.090909090909091,105.54545454545455,244.9090909090909,0.6926767676767677,0.04049586776859504,0.9796363636363636,0.4531942804670077,0.959504132231405,0.5468057195329922,0.3011253459473002,0.5182809917355372,0.45779212248265116,470.0
FP=0 : Uterine,1.0,0.0,10.636363636363637,11.363636363636363,0.5375494071146245,0.0876194512558149,1.0,0.45454545454545453,0.9123805487441851,-0.2727272727272727,0.48285508957445716,0.5699946518128336,0.9416402109089855,470.0
All : ColRec,4.090909090909091,6.0,105.9090909090909,244.0,0.6891414141414142,0.03719008264462809,0.9759999999999999,0.37731056821965914,0.962809917355372,0.6226894317803409,0.30263611775571964,0.4826314049586777,0.4596569476343549,540.0
All : Uterine,1.0,0.36363636363636365,8.363636363636363,13.272727272727273,0.6205533596837944,0.10736914600550965,0.9742424242424242,0.16363636363636358,0.8926308539944903,-0.2545454545454545,0.3845211003313771,0.5110802076711167,0.8531200860239891,540.0
