Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05:Uterine,0,1,0,8,14,0.6521739130434783,0.1111111111111111,1.0,1.0,0.8888888888888888,0.0,0.36363636363636365,0.4444444444444444,0.9323671497584541,113
Pval<0.05:Colrec,0,9,10,101,240,0.6916666666666667,0.08181818181818182,0.96,0.47368421052631576,0.9181818181818182,0.5263157894736842,0.2961876832844575,0.5627636363636365,0.4700603789892885,113
Pval<0.05:Uterine,1,4,0,11,8,0.5217391304347826,0.26666666666666666,1.0,1.0,0.7333333333333333,0.0,0.5789473684210527,0.6666666666666666,0.9304347826086957,113
Pval<0.05:Colrec,1,2,3,108,247,0.6916666666666667,0.01818181818181818,0.988,0.4,0.9818181818181818,0.6,0.30422535211267604,0.5469818181818181,0.46008691090902093,113
Pval<0.05:Uterine,2,1,0,8,14,0.6521739130434783,0.1111111111111111,1.0,1.0,0.8888888888888888,0.0,0.36363636363636365,0.5555555555555556,0.8396882907752474,113
Pval<0.05:Colrec,2,9,4,101,246,0.7083333333333334,0.08181818181818182,0.984,0.6923076923076923,0.9181818181818182,0.3076923076923077,0.2910662824207493,0.5078,0.47345494839757746,113
Pval<0.05:Uterine,3,3,0,7,13,0.6956521739130435,0.3,1.0,1.0,0.7,0.0,0.35,0.65,0.9152173913043479,113
Pval<0.05:Colrec,3,16,13,94,237,0.7027777777777777,0.14545454545454545,0.948,0.5517241379310345,0.8545454545454545,0.4482758620689655,0.283987915407855,0.5471090909090909,0.4685526378727513,113
Pval<0.05:Uterine,4,1,0,7,15,0.6956521739130435,0.125,1.0,1.0,0.875,0.0,0.3181818181818182,0.5,0.6709815546772069,113
Pval<0.05:Colrec,4,9,6,101,244,0.7027777777777777,0.08181818181818182,0.976,0.6,0.9181818181818182,0.4,0.2927536231884058,0.5009818181818182,0.4625851869001482,113
Pval<0.05:Uterine,5,2,0,12,9,0.4782608695652174,0.14285714285714285,1.0,1.0,0.8571428571428571,0.0,0.5714285714285714,0.6428571428571428,0.91668235146496,113
Pval<0.05:Colrec,5,9,8,101,242,0.6972222222222222,0.08181818181818182,0.968,0.5294117647058824,0.9181818181818182,0.47058823529411764,0.2944606413994169,0.5570545454545454,0.46638625954128526,113
Pval<0.05:Uterine,6,2,0,7,14,0.6956521739130435,0.2222222222222222,1.0,1.0,0.7777777777777778,0.0,0.3333333333333333,0.6111111111111112,0.8601229688186209,113
Pval<0.05:Colrec,6,18,9,92,241,0.7194444444444444,0.16363636363636364,0.964,0.6666666666666666,0.8363636363636363,0.3333333333333333,0.27627627627627627,0.5601818181818182,0.4782712132727636,113
Pval<0.05:Uterine,7,1,0,13,9,0.43478260869565216,0.07142857142857142,1.0,1.0,0.9285714285714286,0.0,0.5909090909090909,0.6746031746031745,0.9311123658949745,113
Pval<0.05:Colrec,7,9,4,101,246,0.7083333333333334,0.08181818181818182,0.984,0.6923076923076923,0.9181818181818182,0.3076923076923077,0.2910662824207493,0.5438181818181819,0.4739183762723576,113
Pval<0.05:Uterine,8,4,0,11,8,0.5217391304347826,0.26666666666666666,1.0,1.0,0.7333333333333333,0.0,0.5789473684210527,0.6333333333333333,0.9277997364953886,113
Pval<0.05:Colrec,8,21,15,89,235,0.7111111111111111,0.19090909090909092,0.94,0.5833333333333334,0.8090909090909091,0.4166666666666667,0.27469135802469136,0.5641636363636363,0.4700027698185258,113
Pval<0.05:Uterine,9,2,0,8,13,0.6521739130434783,0.2,1.0,1.0,0.8,0.0,0.38095238095238093,0.75,0.9152173913043479,113
Pval<0.05:Colrec,9,14,11,96,239,0.7027777777777777,0.12727272727272726,0.956,0.56,0.8727272727272727,0.44,0.2865671641791045,0.5464545454545454,0.46877585569505886,113
Pval<0.05:Uterine,10,3,1,10,9,0.5217391304347826,0.23076923076923078,0.9,0.75,0.7692307692307693,0.25,0.5263157894736842,0.5653846153846154,0.9320006080875645,113
Pval<0.05:Colrec,10,17,11,93,239,0.7111111111111111,0.15454545454545454,0.956,0.6071428571428571,0.8454545454545455,0.39285714285714285,0.28012048192771083,0.5545454545454546,0.4741042279319936,113
