Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05 : ColRec,35.27272727272727,38.09090909090909,74.72727272727273,211.9090909090909,0.6866161616161617,0.3206611570247934,0.8476363636363636,0.48190376726145806,0.6793388429752066,0.518096232738542,0.26073530789390825,0.5881768595041322,0.46461533389814635,113.0
Pval<0.05 : Uterine,6.2727272727272725,0.2727272727272727,4.545454545454546,11.909090909090908,0.7905138339920948,0.5685761208488481,0.9786819241364696,0.9541847041847042,0.4314238791511519,0.045815295815295816,0.2772159256292383,0.8316278418551146,0.8822725460200757,113.0
Pval<0.01 : ColRec,32.90909090909091,36.63636363636363,77.0909090909091,213.36363636363637,0.6840909090909091,0.29917355371900817,0.8534545454545455,0.4732531747877017,0.7008264462809918,0.5267468252122982,0.2654160389474416,0.5864082644628099,0.46797209550818375,33.0
Pval<0.01 : Uterine,7.636363636363637,0.45454545454545453,2.5454545454545454,12.363636363636363,0.8695652173913043,0.7537767787767787,0.9676573426573427,0.9438311688311689,0.24622322122322124,0.05616883116883116,0.16603119103119102,0.8725926850926851,0.8986643790991617,33.0
Pval<0.005 : ColRec,29.0,24.0,81.0,226.0,0.7083333333333333,0.2636363636363636,0.904,0.5471698113207547,0.7363636363636363,0.45283018867924524,0.2638436482084691,0.589001652892562,0.4990205734325713,22.0
Pval<0.005 : Uterine,5.636363636363637,0.2727272727272727,3.727272727272727,13.363636363636363,0.8260869565217391,0.5993572084481177,0.97918142463597,0.9655483405483406,0.4006427915518824,0.03445165945165945,0.21834649112653615,0.7846995547530305,0.8454642949825757,22.0
Chi>3.84 : ColRec,30.90909090909091,30.545454545454547,79.0909090909091,219.45454545454547,0.6954545454545454,0.2809917355371901,0.8778181818181817,0.5033495979534629,0.7190082644628099,0.496650402046537,0.26492247098065386,0.5639619834710743,0.46187795737142,99.0
Chi>3.84 : Uterine,7.363636363636363,0.6363636363636364,3.909090909090909,11.090909090909092,0.8023715415019762,0.6405975337793519,0.9460520540065995,0.9123737373737374,0.35940246622064803,0.08762626262626262,0.26443066737184384,0.8003105480378206,0.8382395804891458,99.0
Chi>7.68 : ColRec,28.90909090909091,22.454545454545453,81.0909090909091,227.54545454545453,0.7123737373737374,0.2628099173553719,0.9101818181818182,0.5628387520729363,0.7371900826446282,0.4371612479270637,0.2627382014311299,0.5800644628099172,0.49831488374887506,31.0
Chi>7.68 : Uterine,6.454545454545454,0.7272727272727273,3.090909090909091,12.727272727272727,0.83399209486166,0.6655859292222929,0.9404220779220779,0.9126557785648696,0.33441407077770713,0.08734422143513053,0.19686862415190587,0.8329233266733266,0.8680377651111957,31.0
Chi>15.36 : ColRec,27.0,18.90909090909091,83.0,231.0909090909091,0.716919191919192,0.24545454545454548,0.9243636363636363,0.5881422924901187,0.7545454545454546,0.41185770750988143,0.26425492412753554,0.5767157024793389,0.4944369891780347,25.0
Chi>15.36 : Uterine,6.454545454545454,0.6363636363636364,3.8181818181818183,12.090909090909092,0.8063241106719368,0.6285911058638332,0.9493686868686869,0.9189000393545848,0.37140889413616685,0.08109996064541519,0.23730348598769654,0.7962957497048406,0.8532347044698821,25.0
TP-2FP>2 : ColRec,36.54545454545455,40.09090909090909,73.45454545454545,209.9090909090909,0.6845959595959598,0.33223140495867765,0.8396363636363637,0.4770351075391384,0.6677685950413224,0.5229648924608615,0.25922024200670085,0.5759553719008265,0.453454226710765,231.0
TP-2FP>2 : Uterine,6.7272727272727275,0.36363636363636365,3.1818181818181817,12.727272727272727,0.8458498023715414,0.6662864912864912,0.9743922743922743,0.9458874458874459,0.3337135087135087,0.05411255411255411,0.19926522526789905,0.8494668210577302,0.8752327614012395,231.0
TP-2FP>3 : ColRec,35.45454545454545,37.27272727272727,74.54545454545455,212.72727272727272,0.6893939393939393,0.32231404958677684,0.8509090909090908,0.48834549153236695,0.6776859504132232,0.511654508467633,0.2595145605936177,0.5873520661157025,0.46683089220974167,113.0
TP-2FP>3 : Uterine,7.0,0.9090909090909091,3.5454545454545454,11.545454545454545,0.8063241106719367,0.6605354241717877,0.9274543638180003,0.8881673881673883,0.33946457582821216,0.11183261183261183,0.22693213649096003,0.8379250799705343,0.8677025762994142,113.0
TP-2FP>4 : ColRec,31.454545454545453,35.54545454545455,78.54545454545455,214.45454545454547,0.6830808080808081,0.2859504132231405,0.8578181818181818,0.46974728428339746,0.7140495867768594,0.5302527157166025,0.2680763107675597,0.5779900826446281,0.4622906770962125,58.0
TP-2FP>4 : Uterine,6.181818181818182,0.2727272727272727,4.181818181818182,12.363636363636363,0.8063241106719368,0.6053227075954347,0.97918142463597,0.9553030303030302,0.3946772924045651,0.0446969696969697,0.2551013228257811,0.8049570379115835,0.8757428415531181,58.0
TP3_FP0 : ColRec,35.0,43.18181818181818,75.0,206.8181818181818,0.6717171717171717,0.3181818181818182,0.8272727272727273,0.4480299968740319,0.6818181818181818,0.551970003125968,0.2661294272633837,0.5895818181818181,0.46880666503300916,106.0
TP3_FP0 : Uterine,7.7272727272727275,0.0,2.8181818181818183,12.454545454545455,0.8774703557312251,0.7264320275683912,1.0,1.0,0.27356797243160885,0.0,0.1921723701135466,0.8757045353636261,0.9312312221156095,106.0
TP4_FP0 : ColRec,31.90909090909091,39.18181818181818,78.0909090909091,210.8181818181818,0.6742424242424243,0.2900826446280992,0.8432727272727273,0.4489328593431472,0.7099173553719008,0.5510671406568528,0.2702978913752977,0.5787768595041322,0.46891440413759766,54.0
TP4_FP0 : Uterine,6.0,0.0,3.6363636363636362,13.363636363636363,0.8418972332015809,0.6220844811753903,1.0,1.0,0.3779155188246097,0.0,0.21126004628326614,0.8278322687413596,0.8926627939473789,54.0
FP=0 : ColRec,36.45454545454545,34.90909090909091,73.54545454545455,215.0909090909091,0.6987373737373737,0.33140495867768593,0.8603636363636364,0.5111573787150715,0.6685950413223142,0.48884262128492856,0.2548104541785195,0.5816776859504131,0.4558034716596096,470.0
FP=0 : Uterine,6.7272727272727275,0.0,2.6363636363636362,13.636363636363637,0.8853754940711464,0.7200937950937951,1.0,1.0,0.27990620490620494,0.0,0.15738729794457346,0.859433621933622,0.9173591505113244,470.0
All : ColRec,36.27272727272727,33.54545454545455,73.72727272727273,216.45454545454547,0.702020202020202,0.32975206611570246,0.8658181818181819,0.5200381061285871,0.6702479338842976,0.47996189387141297,0.25408367242908136,0.5713206611570248,0.45778833656393003,540.0
All : Uterine,6.818181818181818,0.45454545454545453,2.4545454545454546,13.272727272727273,0.8735177865612649,0.7442050373868555,0.9682539682539683,0.9437645687645688,0.25579496261314444,0.05623543123543124,0.15343137254901962,0.8805636913591459,0.8925382110294063,540.0
