Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,0,32,12,78,108,0.6086956521739131,0.2909090909090909,0.9,0.7272727272727273,0.7090909090909091,0.2727272727272727,0.41935483870967744,0,0,210
Pval<0.05,1,32,13,78,107,0.6043478260869565,0.2909090909090909,0.8916666666666667,0.7111111111111111,0.7090909090909091,0.28888888888888886,0.42162162162162165,0,0,210
Pval<0.05,2,34,17,76,103,0.5956521739130435,0.3090909090909091,0.8583333333333333,0.6666666666666666,0.6909090909090909,0.3333333333333333,0.4245810055865922,0,0,210
Pval<0.05,3,31,11,79,109,0.6086956521739131,0.2818181818181818,0.9083333333333333,0.7380952380952381,0.7181818181818181,0.2619047619047619,0.42021276595744683,0,0,210
Pval<0.05,4,31,11,79,109,0.6086956521739131,0.2818181818181818,0.9083333333333333,0.7380952380952381,0.7181818181818181,0.2619047619047619,0.42021276595744683,0,0,210
Pval<0.01,0,32,16,78,104,0.591304347826087,0.2909090909090909,0.8666666666666667,0.6666666666666666,0.7090909090909091,0.3333333333333333,0.42857142857142855,0,0,85
Pval<0.01,1,29,10,81,110,0.6043478260869565,0.2636363636363636,0.9166666666666666,0.7435897435897436,0.7363636363636363,0.2564102564102564,0.42408376963350786,0,0,85
Pval<0.01,2,29,11,81,109,0.6,0.2636363636363636,0.9083333333333333,0.725,0.7363636363636363,0.275,0.4263157894736842,0,0,85
Pval<0.01,3,29,11,81,109,0.6,0.2636363636363636,0.9083333333333333,0.725,0.7363636363636363,0.275,0.4263157894736842,0,0,85
Pval<0.01,4,32,16,78,104,0.591304347826087,0.2909090909090909,0.8666666666666667,0.6666666666666666,0.7090909090909091,0.3333333333333333,0.42857142857142855,0,0,85
Pval<0.005,0,27,13,83,107,0.5826086956521739,0.24545454545454545,0.8916666666666667,0.675,0.7545454545454545,0.325,0.4368421052631579,0,0,45
Pval<0.005,1,23,10,87,110,0.5782608695652174,0.20909090909090908,0.9166666666666666,0.696969696969697,0.7909090909090909,0.30303030303030304,0.4416243654822335,0,0,45
Pval<0.005,2,27,10,83,110,0.5956521739130435,0.24545454545454545,0.9166666666666666,0.7297297297297297,0.7545454545454545,0.2702702702702703,0.43005181347150256,0,0,45
Pval<0.005,3,29,12,81,108,0.5956521739130435,0.2636363636363636,0.9,0.7073170731707317,0.7363636363636363,0.2926829268292683,0.42857142857142855,0,0,45
Pval<0.005,4,24,12,86,108,0.5739130434782609,0.21818181818181817,0.9,0.6666666666666666,0.7818181818181819,0.3333333333333333,0.44329896907216493,0,0,45
Chi>3.84,0,32,14,78,106,0.6,0.2909090909090909,0.8833333333333333,0.6956521739130435,0.7090909090909091,0.30434782608695654,0.42391304347826086,0,0,153
Chi>3.84,1,36,15,74,105,0.6130434782608696,0.32727272727272727,0.875,0.7058823529411765,0.6727272727272727,0.29411764705882354,0.4134078212290503,0,0,153
Chi>3.84,2,36,15,74,105,0.6130434782608696,0.32727272727272727,0.875,0.7058823529411765,0.6727272727272727,0.29411764705882354,0.4134078212290503,0,0,153
Chi>3.84,3,33,13,77,107,0.6086956521739131,0.3,0.8916666666666667,0.717391304347826,0.7,0.2826086956521739,0.41847826086956524,0,0,153
Chi>3.84,4,34,21,76,99,0.5782608695652174,0.3090909090909091,0.825,0.6181818181818182,0.6909090909090909,0.38181818181818183,0.4342857142857143,0,0,153
Chi>7.68,0,33,12,77,108,0.6130434782608696,0.3,0.9,0.7333333333333333,0.7,0.26666666666666666,0.41621621621621624,0,0,75
Chi>7.68,1,34,18,76,102,0.591304347826087,0.3090909090909091,0.85,0.6538461538461539,0.6909090909090909,0.34615384615384615,0.42696629213483145,0,0,75
Chi>7.68,2,32,14,78,106,0.6,0.2909090909090909,0.8833333333333333,0.6956521739130435,0.7090909090909091,0.30434782608695654,0.42391304347826086,0,0,75
Chi>7.68,3,32,14,78,106,0.6,0.2909090909090909,0.8833333333333333,0.6956521739130435,0.7090909090909091,0.30434782608695654,0.42391304347826086,0,0,75
Chi>7.68,4,29,12,81,108,0.5956521739130435,0.2636363636363636,0.9,0.7073170731707317,0.7363636363636363,0.2926829268292683,0.42857142857142855,0,0,75
Chi>15.36,0,30,11,80,109,0.6043478260869565,0.2727272727272727,0.9083333333333333,0.7317073170731707,0.7272727272727273,0.2682926829268293,0.42328042328042326,0,0,30
Chi>15.36,1,31,10,79,110,0.6130434782608696,0.2818181818181818,0.9166666666666666,0.7560975609756098,0.7181818181818181,0.24390243902439024,0.41798941798941797,0,0,30
Chi>15.36,2,31,12,79,108,0.6043478260869565,0.2818181818181818,0.9,0.7209302325581395,0.7181818181818181,0.27906976744186046,0.42245989304812837,0,0,30
Chi>15.36,3,27,9,83,111,0.6,0.24545454545454545,0.925,0.75,0.7545454545454545,0.25,0.42783505154639173,0,0,30
Chi>15.36,4,30,12,80,108,0.6,0.2727272727272727,0.9,0.7142857142857143,0.7272727272727273,0.2857142857142857,0.425531914893617,0,0,30
TP-2FP>2,0,32,16,78,104,0.591304347826087,0.2909090909090909,0.8666666666666667,0.6666666666666666,0.7090909090909091,0.3333333333333333,0.42857142857142855,0,0,151
TP-2FP>2,1,34,12,76,108,0.6173913043478261,0.3090909090909091,0.9,0.7391304347826086,0.6909090909090909,0.2608695652173913,0.41304347826086957,0,0,151
TP-2FP>2,2,32,11,78,109,0.6130434782608696,0.2909090909090909,0.9083333333333333,0.7441860465116279,0.7090909090909091,0.2558139534883721,0.41711229946524064,0,0,151
TP-2FP>2,3,32,10,78,110,0.6173913043478261,0.2909090909090909,0.9166666666666666,0.7619047619047619,0.7090909090909091,0.23809523809523808,0.4148936170212766,0,0,151
TP-2FP>2,4,34,16,76,104,0.6,0.3090909090909091,0.8666666666666667,0.68,0.6909090909090909,0.32,0.4222222222222222,0,0,151
TP-2FP>3,0,30,13,80,107,0.5956521739130435,0.2727272727272727,0.8916666666666667,0.6976744186046512,0.7272727272727273,0.3023255813953488,0.42780748663101603,0,0,55
TP-2FP>3,1,26,11,84,109,0.5869565217391305,0.23636363636363636,0.9083333333333333,0.7027027027027027,0.7636363636363637,0.2972972972972973,0.43523316062176165,0,0,55
TP-2FP>3,2,30,15,80,105,0.5869565217391305,0.2727272727272727,0.875,0.6666666666666666,0.7272727272727273,0.3333333333333333,0.43243243243243246,0,0,55
TP-2FP>3,3,30,14,80,106,0.591304347826087,0.2727272727272727,0.8833333333333333,0.6818181818181818,0.7272727272727273,0.3181818181818182,0.43010752688172044,0,0,55
TP-2FP>3,4,27,12,83,108,0.5869565217391305,0.24545454545454545,0.9,0.6923076923076923,0.7545454545454545,0.3076923076923077,0.43455497382198954,0,0,55
TP-2FP>4,0,25,13,85,107,0.5739130434782609,0.22727272727272727,0.8916666666666667,0.6578947368421053,0.7727272727272727,0.34210526315789475,0.4427083333333333,0,0,26
TP-2FP>4,1,19,11,91,109,0.5565217391304348,0.17272727272727273,0.9083333333333333,0.6333333333333333,0.8272727272727273,0.36666666666666664,0.455,0,0,26
TP-2FP>4,2,23,12,87,108,0.5695652173913044,0.20909090909090908,0.9,0.6571428571428571,0.7909090909090909,0.34285714285714286,0.4461538461538462,0,0,26
TP-2FP>4,3,24,13,86,107,0.5695652173913044,0.21818181818181817,0.8916666666666667,0.6486486486486487,0.7818181818181819,0.35135135135135137,0.44559585492227977,0,0,26
TP-2FP>4,4,17,7,93,113,0.5652173913043478,0.15454545454545454,0.9416666666666667,0.7083333333333334,0.8454545454545455,0.2916666666666667,0.45145631067961167,0,0,26
TP3_FP0,0,28,14,82,106,0.5826086956521739,0.2545454545454545,0.8833333333333333,0.6666666666666666,0.7454545454545455,0.3333333333333333,0.43617021276595747,0,0,42
TP3_FP0,1,27,15,83,105,0.5739130434782609,0.24545454545454545,0.875,0.6428571428571429,0.7545454545454545,0.35714285714285715,0.44148936170212766,0,0,42
TP3_FP0,2,27,14,83,106,0.5782608695652174,0.24545454545454545,0.8833333333333333,0.6585365853658537,0.7545454545454545,0.34146341463414637,0.43915343915343913,0,0,42
TP3_FP0,3,26,14,84,106,0.5739130434782609,0.23636363636363636,0.8833333333333333,0.65,0.7636363636363637,0.35,0.4421052631578947,0,0,42
TP3_FP0,4,27,14,83,106,0.5782608695652174,0.24545454545454545,0.8833333333333333,0.6585365853658537,0.7545454545454545,0.34146341463414637,0.43915343915343913,0,0,42
TP4_FP0,0,15,10,95,110,0.5434782608695652,0.13636363636363635,0.9166666666666666,0.6,0.8636363636363636,0.4,0.4634146341463415,0,0,19
TP4_FP0,1,17,10,93,110,0.5521739130434783,0.15454545454545454,0.9166666666666666,0.6296296296296297,0.8454545454545455,0.37037037037037035,0.458128078817734,0,0,19
