Feature,TP,FP,TN,FN,p value
A1BG,1,2,269,107,1.0
A2ML1,2,1,270,106,0.19663040989578395
A2M,1,2,269,107,1.0
AADACL2,1,4,267,107,1.0
AAK1,1,6,265,107,0.6782738872366562
AARD,0,3,268,108,0.5610594482397786
AARS2,1,2,269,107,1.0
AASDH,3,0,271,105,0.02267989493900613
AATK,3,2,269,105,0.14233564278051095
ABCA10,0,2,269,108,1.0
ABCA12,4,6,265,104,0.4797512312811443
ABCA13,1,5,266,107,0.678962439645028
ABCA1,1,1,270,107,0.4892574444026434
ABCA4,1,2,269,107,1.0
ABCA5,0,4,267,108,0.5812942963706285
ABCA6,3,8,263,105,1.0
ABCA8,1,4,267,107,1.0
ABCB10,1,2,269,107,1.0
ABCB1,2,3,268,106,0.6259562380909157
ABCB4,1,3,268,107,1.0
ABCB5,2,7,264,106,1.0
ABCB7,1,2,269,107,1.0
ABCC12,1,4,267,107,1.0
ABCC2,3,13,258,105,0.5722817147803093
ABCC4,2,1,270,106,0.19663040989578395
ABCC5,5,4,267,103,0.12595822597585074
ABCC8,2,4,267,106,1.0
ABCC9,2,6,265,106,1.0
ABCD1,0,3,268,108,0.5610594482397786
ABCD2,0,2,269,108,1.0
ABCD3,1,2,269,107,1.0
ABCD4,1,1,270,107,0.4892574444026434
ABCE1,1,4,267,107,1.0
ABCF1,0,3,268,108,0.5610594482397786
ABCG1,0,2,269,108,1.0
ABHD11,3,2,269,105,0.14233564278051095
ABHD13,6,0,271,102,0.00048373797989167646
ABHD17A,0,2,269,108,1.0
ABHD17B,7,4,267,101,0.0148302603129465
ABHD2,1,1,270,107,0.4892574444026434
ABHD3,2,2,269,106,0.3215416839339265
ABI1,0,3,268,108,0.5610594482397786
ABI2,5,1,270,103,0.008120222982843388
ABI3BP,4,4,267,104,0.2317499857824026
ABLIM2,1,2,269,107,1.0
ABTB2,3,2,269,105,0.14233564278051095
AC003958.2,1,2,269,107,1.0
AC005609.1,1,5,266,107,0.678962439645028
AC006455.1,1,2,269,107,1.0
AC006486.9,1,4,267,107,1.0
AC007383.4,2,1,270,106,0.19663040989578395
AC008268.2,2,2,269,106,0.3215416839339265
AC011467.1,3,4,267,105,0.4116721863176548
AC022616.1,1,2,269,107,1.0
AC068987.1,3,0,271,105,0.02267989493900613
AC073254.1,2,1,270,106,0.19663040989578395
AC074091.13,3,1,270,105,0.07171913585768795
AC079612.1,1,1,270,107,0.4892574444026434
AC090825.1,2,1,270,106,0.19663040989578395
AC100757.1,1,2,269,107,1.0
AC108142.1,2,1,270,106,0.19663040989578395
AC129492.6,1,1,270,107,0.4892574444026434
AC138710.1,0,3,268,108,0.5610594482397786
ACACB,1,1,270,107,0.4892574444026434
ACAD10,0,5,266,108,0.3272795028353981
ACADM,1,2,269,107,1.0
ACE2,2,3,268,106,0.6259562380909157
ACIN1,2,1,270,106,0.19663040989578395
ACKR3,4,1,270,104,0.024641464575757496
ACKR4,8,6,265,100,0.029318133306217676
ACMSD,0,2,269,108,1.0
ACN9,0,3,268,108,0.5610594482397786
ACO1,0,3,268,108,0.5610594482397786
ACO2,0,2,269,108,1.0
ACOT12,1,2,269,107,1.0
ACOX1,5,2,269,103,0.02193959932865965
ACOX2,2,1,270,106,0.19663040989578395
ACRC,0,2,269,108,1.0
ACSBG2,1,2,269,107,1.0
ACSL1,0,2,269,108,1.0
ACSL3,2,1,270,106,0.19663040989578395
ACSL4,1,9,262,107,0.29322301420399854
ACSM1,0,2,269,108,1.0
ACSM2B,2,3,268,106,0.6259562380909157
ACSM3,1,2,269,107,1.0
ACTA1,3,0,271,105,0.02267989493900613
ACTBL2,0,3,268,108,0.5610594482397786
ACTC1,0,2,269,108,1.0
ACTG1,1,2,269,107,1.0
ACTN2,0,3,268,108,0.5610594482397786
ACTR10,1,2,269,107,1.0
ACTR2,2,1,270,106,0.19663040989578395
ACTRT1,1,2,269,107,1.0
ACTRT3,1,2,269,107,1.0
ACVR1B,0,2,269,108,1.0
ACVR1C,2,1,270,106,0.19663040989578395
ACVR2A,17,13,258,91,0.001076347680545131
ACVR2B,0,4,267,108,0.5812942963706285
