Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,6.0,0.0,6.0,12.0,0.75,0.5,1.0,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,5.0
Pval<0.01,5.0,0.0,7.0,12.0,0.7083333333333334,0.4166666666666667,1.0,1.0,0.5833333333333334,0.0,0.3684210526315789,0.0,0.0,3.0
Pval<0.005,5.0,0.0,7.0,12.0,0.7083333333333334,0.4166666666666667,1.0,1.0,0.5833333333333334,0.0,0.3684210526315789,0.0,0.0,3.0
Chi>3.84,6.0,0.0,6.0,12.0,0.75,0.5,1.0,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,10.0
Chi>7.68,4.0,0.0,8.0,12.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.4000000000000001,0.0,0.0,4.0
Chi>15.36,3.0,0.0,9.0,12.0,0.625,0.25,1.0,1.0,0.75,0.0,0.42857142857142855,0.0,0.0,3.0
TP-2FP>2,4.0,0.0,8.0,12.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.4000000000000001,0.0,0.0,3.0
TP-2FP>3,2.0,0.0,10.0,12.0,0.5833333333333334,0.16666666666666666,1.0,1.0,0.8333333333333334,0.0,0.45454545454545453,0.0,0.0,1.0
TP-2FP>4,2.0,0.0,10.0,12.0,0.5833333333333334,0.16666666666666666,1.0,1.0,0.8333333333333334,0.0,0.45454545454545453,0.0,0.0,1.0
TP3_FP0,2.0,0.0,10.0,12.0,0.5833333333333334,0.16666666666666666,1.0,1.0,0.8333333333333334,0.0,0.45454545454545453,0.0,0.0,1.0
TP4_FP0,2.0,0.0,10.0,12.0,0.5833333333333334,0.16666666666666666,1.0,1.0,0.8333333333333334,0.0,0.45454545454545453,0.0,0.0,1.0
FP=0,4.0,0.0,8.0,12.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.4000000000000001,0.0,0.0,3.0
All,6.0,0.0,6.0,12.0,0.75,0.5,1.0,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,28.0
