Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
147,0,5,1,2,17,0.88,0.714285714,0.944444444,0.833333333,0.285714286,0.166666667,0.105263158,0,0,147
147,1,5,0,4,16,0.84,0.555555556,1,1,0.444444444,0,0.2,0,0,147
147,2,10,1,2,12,0.88,0.833333333,0.923076923,0.909090909,0.166666667,0.090909091,0.142857143,0,0,147
147,3,9,0,5,11,0.8,0.642857143,1,1,0.357142857,0,0.3125,0,0,147
147,4,10,0,5,10,0.8,0.666666667,1,1,0.333333333,0,0.333333333,0,0,147
147,5,6,0,6,13,0.76,0.5,1,1,0.5,0,0.315789474,0,0,147
147,6,9,0,4,12,0.84,0.692307692,1,1,0.307692308,0,0.25,0,0,147
147,7,4,1,5,15,0.76,0.444444444,0.9375,0.8,0.555555556,0.2,0.25,0,0,147
147,8,9,0,2,14,0.92,0.818181818,1,1,0.181818182,0,0.125,0,0,147
147,9,8,1,3,13,0.84,0.727272727,0.928571429,0.888888889,0.272727273,0.111111111,0.1875,0,0,147
