Feature,TP,FP,TN,FN,p value
ZNF606,4,2,28,4,0.011648575116067416
ARHGEF7,4,4,26,4,0.04413040688382748
CAMSAP3,4,2,28,4,0.011648575116067416
MCF2L2,6,14,16,2,0.23840849647301274
FAM201B,3,2,28,5,0.052826820628678335
SLC35E1,2,3,27,6,0.27930717094803864
AC020551.1,3,8,22,5,0.6670881907574223
TRIM71,2,4,26,6,0.5870410235735337
FAM131B,5,1,29,3,0.0006186879251894765
C15orf41,4,9,21,4,0.40681168534958634
AL592494.1,2,8,22,6,1.0
PARP16,3,4,26,5,0.14612128311818728
RAD54L2,3,4,26,5,0.14612128311818728
ZNF341,4,4,26,4,0.04413040688382748
PPP1R1C,4,10,20,4,0.43317561044516156
AC093001.1,2,3,27,6,0.27930717094803864
LLGL2,3,3,27,5,0.0940050661412895
FAT1,4,2,28,4,0.011648575116067416
WDFY1,6,2,28,2,0.000253990042265285
RCN1,7,15,15,1,0.10557266544483201
AC108142.1,6,4,26,2,0.0016928238989559292
AKAP6,5,14,16,3,0.6927954347309196
GPR139,2,5,25,6,0.6236050996112921
AC051619.6,0,5,25,8,0.5632164672412358
LINC02388,4,12,18,4,0.6984460741576514
HMGN1P20,3,4,26,5,0.14612128311818728
CTSH,4,2,28,4,0.011648575116067416
ZNF483,0,5,25,8,0.5632164672412358
C6,4,16,14,4,1.0
ALDH9A1,3,7,23,5,0.4112138249759355
HSD17B4,4,9,21,4,0.40681168534958634
SHC2,6,2,28,2,0.000253990042265285
SPAG17,6,15,15,2,0.2574832897413544
DNAJC22,3,2,28,5,0.052826820628678335
SIM2,3,2,28,5,0.052826820628678335
GLI3,8,5,25,0,2.631713907055961e-05
SRRM4,4,12,18,4,0.6984460741576514
PLPP3,6,7,23,2,0.011430410736313054
ANKHD1,4,3,27,4,0.02451677683875827
SELP,1,8,22,7,0.6503169957679114
SLC4A11,3,2,28,5,0.052826820628678335
AC108062.1,6,8,22,2,0.03373317390095586
ANGPT1,5,17,13,3,1.0
LINC00298,5,19,11,3,1.0
AL136460.1,1,6,24,7,1.0
MIR764,3,2,28,5,0.052826820628678335
TNFRSF10B,1,6,24,7,1.0
GABPB1,2,4,26,6,0.5870410235735337
SH3GL3,5,5,25,3,0.01857407237912584
AC116903.2,6,7,23,2,0.011430410736313054
AC076966.1,3,6,24,5,0.3630773851486934
AC140847.2,4,5,25,4,0.07132797387965682
TTLL1,3,2,28,5,0.052826820628678335
EPB42,4,5,25,4,0.07132797387965682
RPL26P9,2,5,25,6,0.6236050996112921
COQ8B,4,3,27,4,0.02451677683875827
AC245884.9,3,2,28,5,0.052826820628678335
KRI1,2,4,26,6,0.5870410235735337
ZDHHC15,7,10,20,1,0.013009459528984156
SLIRP,2,3,27,6,0.27930717094803864
PSMD12,1,4,26,7,1.0
DHTKD1,3,3,27,5,0.0940050661412895
ETV1,4,13,17,4,1.0
AC104596.1,4,8,22,4,0.2319489168585348
AC073023.1,3,4,26,5,0.14612128311818728
PCDHGB7,3,6,24,5,0.3630773851486934
AC073848.1,0,5,25,8,0.5632164672412358
LEO1,3,2,28,5,0.052826820628678335
UGT2B11,1,4,26,7,1.0
H2AFJ,1,5,25,7,1.0
CEACAM6,6,2,28,2,0.000253990042265285
SP2,1,5,25,7,1.0
AC022441.3,1,4,26,7,1.0
DLG5,4,5,25,4,0.07132797387965682
