Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,13.6,1.0,7.0,28.4,0.8400000000000001,0.6589044289044288,0.968095238095238,0.9230555555555556,0.34109557109557115,0.07694444444444445,0.1966141456582633,0.0,0.0,52.0
Pval<0.01,13.2,1.0,9.6,26.2,0.788,0.5759596641175588,0.9593297101449275,0.9375,0.42404033588244117,0.0625,0.27267411374222517,0.0,0.0,37.0
Pval<0.005,15.6,0.2,9.0,25.2,0.8160000000000001,0.6417384263333921,0.992,0.9888888888888889,0.358261573666608,0.01111111111111111,0.26386100386100386,0.0,0.0,22.0
Chi>3.84,11.6,1.2,8.8,28.4,0.8,0.5690752242926156,0.9592161558109833,0.9075324675324676,0.43092477570738436,0.09246753246753246,0.236762418867682,0.0,0.0,22.0
Chi>7.68,11.8,0.8,11.4,26.0,0.756,0.5073717037911412,0.9677938808373592,0.9382783882783883,0.4926282962088589,0.061721611721611724,0.3068806090477917,0.0,0.0,9.0
Chi>15.36,10.0,0.4,11.4,28.2,0.7639999999999999,0.4717127799736495,0.9870833333333333,0.9646153846153845,0.5282872200263504,0.03538461538461539,0.28644837144837143,0.0,0.0,5.0
TP-2FP>2,10.8,0.6,9.0,29.6,0.808,0.5436130433034457,0.9797388632872505,0.9493506493506494,0.45638695669655427,0.05064935064935065,0.23382870873243147,0.0,0.0,35.0
TP-2FP>3,13.4,0.0,7.8,28.8,0.844,0.6375885167464114,1.0,1.0,0.3624114832535885,0.0,0.2125606809817336,0.0,0.0,20.0
TP-2FP>4,11.8,0.4,9.8,28.0,0.7959999999999999,0.5456349206349206,0.9846153846153847,0.9721153846153847,0.45436507936507936,0.027884615384615386,0.25958586994455,0.0,0.0,8.0
TP3_FP0,7.2,0.0,15.2,27.6,0.696,0.3217470355731225,1.0,1.0,0.6782529644268775,0.0,0.35534078324776,0.0,0.0,11.0
TP4_FP0,4.8,0.0,16.4,28.8,0.6719999999999999,0.2298168498168498,1.0,1.0,0.7701831501831502,0.0,0.3614023811526124,0.0,0.0,4.0
FP=0,7.4,0.0,13.4,29.2,0.732,0.35220551378446113,1.0,1.0,0.6477944862155389,0.0,0.3136264565740435,0.0,0.0,21.0
All,10.2,0.6,10.6,28.6,0.776,0.49419196887227573,0.9816287878787879,0.9418181818181818,0.5058080311277242,0.05818181818181818,0.2708434547908232,0.0,0.0,119.0
