Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
RPL22,28,11,260,80,0.252315378,0.178222095,3.39E-09,8.39E-10,0.759894459,0.259259259,0.959409594,0.717948718,0.259259259,0.380952381
TP53,1,56,215,107,0.248289996,0.160873288,3.72E-08,2.69E-06,0.569920844,0.009259259,0.793357934,0.01754386,0.009259259,0.012121212
API5,15,1,270,93,0.246222071,0.11019138,3.86E-08,1.85E-08,0.751978892,0.138888889,0.996309963,0.9375,0.138888889,0.241935484
HAS2,13,0,271,95,0.249008181,0.098105694,4.74E-08,3.81E-08,0.749340369,0.12037037,1,1,0.12037037,0.214876033
PTEN,64,83,188,44,0.234628261,0.233359556,3.94E-07,4.49E-07,0.664907652,0.592592593,0.693726937,0.43537415,0.592592593,0.501960784
DOCK3,25,13,258,83,0.233457058,0.149567324,4.79E-07,2.22E-07,0.746701847,0.231481481,0.95202952,0.657894737,0.231481481,0.342465753
BCL11B,24,13,258,84,0.229715951,0.142020732,1.30E-06,6.78E-07,0.744063325,0.222222222,0.95202952,0.648648649,0.222222222,0.331034483
JAK1,20,9,262,88,0.227100069,0.123864356,2.85E-06,1.51E-06,0.744063325,0.185185185,0.966789668,0.689655172,0.185185185,0.291970803
ZFHX3,19,8,263,89,0.226665616,0.119325262,3.30E-06,1.75E-06,0.744063325,0.175925926,0.970479705,0.703703704,0.175925926,0.281481481
LMAN1,14,3,268,94,0.227418471,0.096629792,3.67E-06,1.95E-06,0.744063325,0.12962963,0.988929889,0.823529412,0.12962963,0.224
DONSON,11,1,270,97,0.226862845,0.080005012,6.26E-06,4.19E-06,0.741424802,0.101851852,0.996309963,0.916666667,0.101851852,0.183333333
ARID1A,38,38,233,70,0.222810117,0.172485572,8.12E-06,6.71E-06,0.715039578,0.351851852,0.859778598,0.5,0.351851852,0.413043478
MAF,17,7,264,91,0.222441899,0.107239576,1.05E-05,6.36E-06,0.741424802,0.157407407,0.974169742,0.708333333,0.157407407,0.257575758
PPP2R1A,1,40,231,107,0.225680228,0.112753323,1.25E-05,0.00019086,0.612137203,0.009259259,0.852398524,0.024390244,0.009259259,0.013422819
TNRC6B,20,11,260,88,0.220936859,0.117849361,1.40E-05,9.47E-06,0.73878628,0.185185185,0.959409594,0.64516129,0.185185185,0.287769784
RNF43,22,14,257,86,0.219922945,0.123920051,2.02E-05,1.28E-05,0.736147757,0.203703704,0.948339483,0.611111111,0.203703704,0.305555556
CD93,18,9,262,90,0.219607536,0.108771173,2.10E-05,1.44E-05,0.73878628,0.166666667,0.966789668,0.666666667,0.166666667,0.266666667
KRAS,33,32,239,75,0.218180264,0.1527976,3.27E-05,2.45E-05,0.7176781,0.305555556,0.881918819,0.507692308,0.305555556,0.38150289
DAZAP1,15,6,265,93,0.218315628,0.095153891,3.31E-05,2.28E-05,0.73878628,0.138888889,0.977859779,0.714285714,0.138888889,0.23255814
NCOA3,15,6,265,93,0.218315628,0.095153891,3.31E-05,2.28E-05,0.73878628,0.138888889,0.977859779,0.714285714,0.138888889,0.23255814
TTK,14,5,266,94,0.218187125,0.090614797,3.61E-05,2.48E-05,0.73878628,0.12962963,0.981549815,0.736842105,0.12962963,0.220472441
DRD5,15,7,264,93,0.214905485,0.092146393,7.89E-05,6.19E-05,0.736147757,0.138888889,0.974169742,0.681818182,0.138888889,0.230769231
BCL11A,13,5,266,95,0.214290293,0.083068205,0.000102094,8.03E-05,0.736147757,0.12037037,0.981549815,0.722222222,0.12037037,0.206349206
PCDH9,13,5,266,95,0.214290293,0.083068205,0.000102094,8.03E-05,0.736147757,0.12037037,0.981549815,0.722222222,0.12037037,0.206349206
ZNF609,11,3,268,97,0.21461996,0.073990017,0.000109201,8.57E-05,0.736147757,0.101851852,0.988929889,0.785714286,0.101851852,0.180327869
PTENP1,16,9,262,92,0.212524143,0.093677989,0.000140259,0.000123054,0.733509235,0.148148148,0.966789668,0.64,0.148148148,0.240601504
CSNK1G1,14,7,264,94,0.211300019,0.084599801,0.000207571,0.00018518,0.733509235,0.12962963,0.974169742,0.666666667,0.12962963,0.217054264
FAM46A,14,7,264,94,0.211300019,0.084599801,0.000207571,0.00018518,0.733509235,0.12962963,0.974169742,0.666666667,0.12962963,0.217054264
DTNA,13,6,265,95,0.210832376,0.080060707,0.000245101,0.000219844,0.733509235,0.12037037,0.977859779,0.684210526,0.12037037,0.204724409
SIK1,12,5,266,96,0.210504505,0.075521613,0.000281349,0.000253092,0.733509235,0.111111111,0.981549815,0.705882353,0.111111111,0.192
ZMIZ1,11,4,267,97,0.210374849,0.070982519,0.000310529,0.000279407,0.733509235,0.101851852,0.985239852,0.733333333,0.101851852,0.178861789
PHF2,10,3,268,98,0.210547091,0.066443425,0.000323443,0.000290514,0.733509235,0.092592593,0.988929889,0.769230769,0.092592593,0.165289256
ZBTB20,10,3,268,98,0.210547091,0.066443425,0.000323443,0.000290514,0.733509235,0.092592593,0.988929889,0.769230769,0.092592593,0.165289256
CTNNA2,16,10,261,92,0.209911551,0.090670491,0.000390352,0.000270069,0.730870712,0.148148148,0.963099631,0.615384615,0.148148148,0.23880597
INPPL1,13,7,264,95,0.207815212,0.077053209,0.00053083,0.000537251,0.730870712,0.12037037,0.974169742,0.65,0.12037037,0.203125
PLAG1,13,7,264,95,0.207815212,0.077053209,0.00053083,0.000537251,0.730870712,0.12037037,0.974169742,0.65,0.12037037,0.203125
ZNRF1,15,9,262,93,0.209153158,0.086131397,0.000583073,0.000344222,0.730870712,0.138888889,0.966789668,0.625,0.138888889,0.227272727
BCORL1,10,4,267,98,0.206584539,0.063435927,0.000859047,0.000885267,0.730870712,0.092592593,0.985239852,0.714285714,0.092592593,0.163934426
PCNP,10,4,267,98,0.206584539,0.063435927,0.000859047,0.000885267,0.730870712,0.092592593,0.985239852,0.714285714,0.092592593,0.163934426
CNTLN,9,3,268,99,0.206590856,0.058896833,0.000932709,0.000960869,0.730870712,0.083333333,0.988929889,0.75,0.083333333,0.15
MBD6,9,3,268,99,0.206590856,0.058896833,0.000932709,0.000960869,0.730870712,0.083333333,0.988929889,0.75,0.083333333,0.15
POF1B,8,2,269,100,0.207050836,0.054357739,0.000934984,0.000960971,0.730870712,0.074074074,0.992619926,0.8,0.074074074,0.13559322
ACVR2A,17,13,258,91,0.206283201,0.089194589,0.001076348,0.00080416,0.725593668,0.157407407,0.95202952,0.566666667,0.157407407,0.246376812
ESRP1,14,9,262,94,0.205907689,0.078584805,0.001175731,0.000931067,0.72823219,0.12962963,0.966789668,0.608695652,0.12962963,0.213740458
NF1,15,11,260,93,0.204486912,0.080116401,0.001295285,0.001411668,0.725593668,0.138888889,0.959409594,0.576923077,0.138888889,0.223880597
KCNMA1,12,7,264,96,0.204462567,0.069506617,0.001316584,0.00150575,0.72823219,0.111111111,0.974169742,0.631578947,0.111111111,0.188976378
SETD1B,12,7,264,96,0.204462567,0.069506617,0.001316584,0.00150575,0.72823219,0.111111111,0.974169742,0.631578947,0.111111111,0.188976378
NOL4,11,6,265,97,0.203840166,0.064967523,0.001619289,0.001875076,0.72823219,0.101851852,0.977859779,0.647058824,0.101851852,0.176
FBN2,13,8,263,95,0.205157117,0.074045711,0.001749023,0.001191052,0.72823219,0.12037037,0.970479705,0.619047619,0.12037037,0.201550388
ARID5B,9,4,267,99,0.202931808,0.055889335,0.002303557,0.002714276,0.72823219,0.083333333,0.985239852,0.692307692,0.083333333,0.148760331
MSH3,9,4,267,99,0.202931808,0.055889335,0.002303557,0.002714276,0.72823219,0.083333333,0.985239852,0.692307692,0.083333333,0.148760331
TNRC18,9,4,267,99,0.202931808,0.055889335,0.002303557,0.002714276,0.72823219,0.083333333,0.985239852,0.692307692,0.083333333,0.148760331
BTBD7,13,9,262,95,0.202798599,0.071038213,0.002440429,0.002427348,0.725593668,0.12037037,0.966789668,0.590909091,0.12037037,0.2
ST8SIA4,13,9,262,95,0.202798599,0.071038213,0.002440429,0.002427348,0.725593668,0.12037037,0.966789668,0.590909091,0.12037037,0.2
CCND1,7,2,269,101,0.202995574,0.046811147,0.002770553,0.003269458,0.72823219,0.064814815,0.992619926,0.777777778,0.064814815,0.11965812
MYO1A,7,2,269,101,0.202995574,0.046811147,0.002770553,0.003269458,0.72823219,0.064814815,0.992619926,0.777777778,0.064814815,0.11965812
BCOR,12,8,263,96,0.202005484,0.066499119,0.003486253,0.0031523,0.725593668,0.111111111,0.970479705,0.6,0.111111111,0.1875
CPEB2,12,8,263,96,0.202005484,0.066499119,0.003486253,0.0031523,0.725593668,0.111111111,0.970479705,0.6,0.111111111,0.1875
LRRC4,13,10,261,95,0.200694689,0.068030715,0.003747863,0.004597695,0.722955145,0.12037037,0.963099631,0.565217391,0.12037037,0.198473282
NRK,10,6,265,98,0.200562828,0.057420931,0.003960283,0.005174513,0.725593668,0.092592593,0.977859779,0.625,0.092592593,0.161290323
ASH1L,15,13,258,93,0.200641828,0.074101406,0.004020453,0.004554726,0.720316623,0.138888889,0.95202952,0.535714286,0.138888889,0.220588235
KMT2C,12,9,262,96,0.199838933,0.063491621,0.005106901,0.006076802,0.722955145,0.111111111,0.966789668,0.571428571,0.111111111,0.186046512
SHC1,12,9,262,96,0.199838933,0.063491621,0.005106901,0.006076802,0.722955145,0.111111111,0.966789668,0.571428571,0.111111111,0.186046512
CTCF,17,17,254,91,0.199342113,0.077164598,0.005271969,0.006680741,0.715039578,0.157407407,0.937269373,0.5,0.157407407,0.23943662
FGFR2,17,17,254,91,0.199342113,0.077164598,0.005271969,0.006680741,0.715039578,0.157407407,0.937269373,0.5,0.157407407,0.23943662
QKI,11,8,263,97,0.199010075,0.058952527,0.007106655,0.007999354,0.722955145,0.101851852,0.970479705,0.578947368,0.101851852,0.173228346
WASF1,6,2,269,102,0.199089549,0.039264555,0.007949338,0.010792492,0.725593668,0.055555556,0.992619926,0.75,0.055555556,0.103448276
ATRX,10,7,264,98,0.198213368,0.054413433,0.01018364,0.010480355,0.722955145,0.092592593,0.974169742,0.588235294,0.092592593,0.16
NFIA,10,7,264,98,0.198213368,0.054413433,0.01018364,0.010480355,0.722955145,0.092592593,0.974169742,0.588235294,0.092592593,0.16
NIPBL,10,7,264,98,0.198213368,0.054413433,0.01018364,0.010480355,0.722955145,0.092592593,0.974169742,0.588235294,0.092592593,0.16
