Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
DONSON,0.0076463638107142,0.0404767117173324,0.0526969736984264,0.0371334013228254,0.0338175760429723,0.0362251307567017,0.0462979767141867,0.0468393323451937,0.0406209399474865,0.0529749941455607,0.0463998701616158,0.044112927066301585
API5,0.0350549146072908,0.0346581048042116,0.0353642506873903,0.0541785499826657,0.0278608762737331,0.0280321284773363,0.029250045460583,0.0373318748154569,0.0330004969199358,0.0266394988189846,0.042252274351646,0.03836230151992341
LMAN1,0.03403461829941,0.0393611925792597,0.0241429366698314,0.033448813535112,0.041398722125486,0.032683771087492,0.0332179624129295,0.0307305501511023,0.0292822198976435,0.0340661501879806,0.0405037174161127,0.03728706543623597
SHCBP1L,0.0339588956049821,0.0381470612662444,0.0267974390037168,0.027004776813516,0.030177768340891,0.0358657557172934,0.0243603876849343,0.0451457888592044,0.0310295405607866,0.0337248153290822,0.0250351234544137,0.03512473526350649
RC3H1,0.0251782332540664,0.0251878609476928,0.0291767271746149,0.0235935352633689,0.0315010274455095,0.0266755951545996,0.0273818387774284,0.0288483874811891,0.0241804201363039,0.0268675240026541,0.019598495094186,0.028818964473161356
EPN2,0.0300966067758971,0.0247953418450509,0.0284145904767765,0.0266663589570017,0.0305109762730322,0.0286899694773904,0.0308630694071809,0.0039422421641404,0.0287654731610214,0.0256203958625687,0.02683653700429,0.028520156140435016
FRYL,0.0285841364422835,0.0256215428396791,0.0234773249989656,0.0274603700886533,0.0245996993804626,0.0261263539716099,0.030396913595198,0.0243872400292074,0.0268435146968173,0.0278034234716961,0.0075163135159381,0.027281683303051092
POF1B,0.0232642175521785,0.0361563093143163,0.0168966914963135,0.0198784532363426,0.0219944495840226,0.0384247924284461,0.0307990943822554,0.0242220117221763,0.0297495762402445,0.0178593610668204,0.0125546948619332,0.027179965188504945
GCNT2,0.0041161164472588,0.0253534060354408,0.023651582731941,0.0246485340678904,0.0241567282243745,0.0234171399561784,0.0244293485634708,0.0299235408331121,0.0262422678201706,0.0183640945314395,0.0321398367526867,0.025644259596396362
TCF20,0.0253092750473045,0.0110324889281378,0.0213070095458612,0.0161952590894816,0.0267291849455269,0.0091640178370106,0.0259469593686963,0.0256123120009808,0.0236280712952851,0.0266653432141566,0.0238457537788248,0.023543567505126616
AFF1,0.0138307549127796,0.026801970302898,0.0243977006941398,0.0231648930762965,0.0234240905063178,0.0195439788508265,0.0152864844097344,0.0082406860257943,0.0300902153829619,0.0184112488034445,0.0222865436468146,0.02254785666120079
FOXP2,0.0242959585095331,0.0172923455431288,0.0206561378291556,0.0183113208555353,0.0141376308990596,0.0218992871573882,0.0211942865109945,0.0141548931964885,0.0167502107665652,0.0196866833542613,0.0214203302945735,0.020979908491668357
GPAT2,0.0121586896377103,0.0200895115559502,0.0154414982590438,0.0233970048746206,0.0226660222766138,0.0172252523071847,0.0124551407294268,0.0225881024140776,0.018384201124353,0.0177434108479434,0.0196581086410884,0.02018069426680126
DENND4B,0.0213665450390948,0.0263633455643201,0.0208493548222538,0.0174952055700942,0.01910836846058,0.0218729232968722,0.0,0.0210777488193165,0.0050451387564784,0.0207419428595348,0.0240314206379164,0.019795199382646126
FXR1,0.0182093800249252,0.0139367725039386,0.0180749781702041,0.0192638652062037,0.022438253529005,0.0146637933047802,0.0159653296072432,0.0149056358902743,0.0196408504527383,0.0190886341274702,0.0188115714154906,0.019499906423227336
HMBOX1,0.0179342062959081,0.0036415153144497,0.0259069318346389,0.0160145458182818,0.0187969021447972,0.0222909969323818,0.0169572108695963,0.0217315305663167,0.0189869581141787,0.0127584495686484,0.0132853885559394,0.018830463601513702
KCNA4,0.0116070507437537,0.0145854331670649,0.0134073885531821,0.020423473185761,0.0179923463580932,0.0174526893221186,0.0137865811620564,0.0156466520119877,0.0198081002849341,0.0148382778416098,0.0236592960020374,0.018320728863259892
NSD1,0.0167179064106122,0.0217145294904902,0.0160383919382053,0.0111567704057125,0.0181799466559775,0.0158678217518185,0.020899437683074,0.0177714354668941,0.0115218960246575,0.0129767942249404,0.0184951839654056,0.018134011401778782
ZFP91,0.0179945105095039,0.0168772950861126,0.0121272736934006,0.0149941870639395,0.0185108072370511,0.0199076874786681,0.0177758696075911,0.0108490785891525,0.0072482044078568,0.0210391142557672,0.0138357736012631,0.017115980153030654
RBM25,0.0124608771581937,0.0120647802664427,0.025131927081962,0.0179739382442643,0.0075171530496463,0.0191627033573597,0.01470219138585,0.0115572803071527,0.0099725905920539,0.0153319734597333,0.0197435028458923,0.01656189177485509
KDM5B,0.0177383343891785,0.0159862681860057,0.0169058555073021,0.0147847789467186,0.0080100140545869,0.0138613864005043,0.0159805090550346,0.0054493653414471,0.0165341205555638,0.0142014534847152,0.0205676599421859,0.01600197458632427
AVEN,0.0102587247121057,0.0068020017577698,0.0146853879883275,0.0176668183736382,0.015506828788939,0.0144319377223325,0.0124237602253618,0.0148172881289275,0.0172617714960886,0.0156893417338403,0.0178012853981278,0.01573451463254587
FBXO48,0.0220121926977358,0.0047950464957648,0.0183457286731995,0.0151855526108983,0.0146034764574204,0.011872114269339,0.0143479616190163,0.0207753851195741,0.013403726139497,0.0092308759257937,0.0102754087620486,0.015484746877028752
BCAS3,0.0142427577040889,0.0135838033190813,0.0155887139001051,0.0077883606094459,0.0156180862713109,0.0170986752161918,0.0082463473614272,0.0199708586525813,0.0177813005842598,0.0162229339390485,0.008253894285244,0.015439573184278469
ZNF618,0.0223984168592835,0.0115693170016587,0.0096447461571918,0.017531359362255,0.0173630783918333,0.015272596805264,0.0100051043211787,0.018305239310447,0.005273384120433,0.0140992036747946,0.0088870075136376,0.01503494535179772
ELK3,0.0111293463944233,0.0125065261330588,0.0133720707873165,0.0119183025817837,0.0162465040509328,0.0186236558797005,0.015166053362945,0.0023273542995256,0.0164377649952081,0.0193685651037886,0.0125335989508068,0.014962974253948968
TRIM9,0.0199177552226039,0.0093565584787595,0.0192621057938502,0.0114318166973894,0.0129500709195359,0.0138622835715719,0.0094564224754728,0.0167873343476373,0.0109005019448356,0.0110330720878059,0.0136582115428512,0.014861613308231362
RAB1B,0.0145481661836801,0.0132166484909676,0.0138407533333395,0.013415187769457,0.0056028144103823,0.011481082260416,0.012636743799346,0.0107073962567865,0.0107883622620852,0.013328558959805,0.015020144922624,0.01345858586488892
PIK3R2,0.0123534428976383,0.0121034617806617,0.0134046664455797,0.0098618982143491,0.0183588173195668,0.0029673967901923,0.0104765272506431,0.0045464635540158,0.0177891305913565,0.0234718076015291,0.0076820155046413,0.01330156279501737
CNNM4,0.0035955370074728,0.0119908591939399,0.0150154767749726,0.0102136082031217,0.0155423377338539,0.0086740142430582,0.0089411637614138,0.0121816243767757,0.0142200903974038,0.0151115331388112,0.0092794171346049,0.012476566196542848
POTEG,0.015025555044501,0.0080430904376712,0.0111911836831288,0.0087950155569822,0.0157980242007935,0.0120879556878409,0.0185011955459664,0.0088927850349287,0.0129545661221765,0.0034344366055063,0.0071709616673181,0.012189476958681361
ELOVL6,0.0119359761492594,0.0097394956610202,0.0091801931148614,0.0073084488944528,0.0076336173719672,0.0124491753783461,0.0126506805608998,0.0127575736050019,0.011142699597819,0.0169558483742736,0.0100027682522524,0.012175647696015379
FANCM,0.0228318628887293,0.0128541825849932,0.0164434114600875,0.0142125412675982,0.0118953038654744,0.0071690273490855,0.0057082646333986,0.0008289102044668,0.0093494746401785,0.0138361874943366,0.0047562637134036,0.01198854301017522
MAGI1,0.0133821084006898,0.0129923392753905,0.0113556965996111,0.007181932231288,0.0010135401711524,0.0140954185573143,0.0056626011017471,0.0098024265800218,0.0097987166180253,0.0163287250766771,0.0070688249960785,0.010868232960799588
ZNF626,0.0136850984242685,0.017269239381837,0.004235513208264,0.0040142021090827,0.0130911812413634,0.0068218315487902,0.0142961433476661,0.015654143458951,0.0079293674760467,0.0061553168220981,0.0039341625065518,0.01070861995249195
INSM2,0.0131701340592225,0.0104345687945156,0.0086982634782934,0.0088357312377215,0.0062604198352966,0.0083431881054779,0.0119498630016914,0.0101784439017777,0.0124287324543426,0.0072111074173149,0.0075912820537554,0.01051017343394095
MGAT3,0.0089170062709137,0.0090133051429328,0.0023173232197256,0.0100707972227782,0.0107303461263864,0.0077479559020615,0.0144432439907207,0.0057892910770883,0.0091816986482645,0.0051417552374509,0.0131243781160387,0.00964771009543613
ST3GAL1,0.0068386477980393,0.0080807006417795,0.0109888446664,0.0067550720198712,0.006093936227536,0.0080626124500738,0.0049115825152658,0.0090217666799242,0.006458173000683,0.0130152577542578,0.01245191153073,0.00926785052845606
DPF3,0.0106280972199004,0.0138788093763514,0.0041349379996997,0.0063669519755565,0.0069316509880435,0.0078079061342081,0.0103441547294252,0.0066570023617424,0.0062220660602857,0.0026537713944321,0.0138071303944344,0.00894324786340794
RHOBTB3,0.0,0.0075659075379019,0.0085376972498594,0.0091100848237397,0.0127301869768906,0.007836336615905,0.0080326488287011,0.0096275783438308,0.0069413408729831,0.009181670695772,0.0090953973035685,0.008865884924915208
CSNK1A1,0.0085772286575034,0.0079010118613128,0.0077827800541055,0.0105679252083447,0.0088577149904928,0.0035629702437658,0.0090985149401847,0.006200196712259,0.0118872239236764,0.0030537984979745,0.0055670236080519,0.00830563886976715
ANKRD13C,0.0093883019305187,0.0060767563897596,0.0032514127997929,0.0067071130809862,0.0077956279286932,0.0108034246245707,0.0095375430710825,0.0107768417095595,0.0053558251729036,0.0040271080029904,0.0087984494072478,0.008251840411810511
KPNB1,0.0041663280091941,0.0055791694613359,0.0089977505936692,0.0042292470195419,0.0058249090765031,0.011712384310911,0.0098483573121411,0.0068839590302247,0.012673965579486,0.0026653840784142,0.0089897196992643,0.008157117417068548
