Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
DONSON,0.0196754210617092,0.0297203330819071,0.0348781264902827,0.0290918565365935,0.0300915561887008,0.0208858248589168,0.0231306755527555,0.0257107421008912,0.0350576328673336,0.0318524691276613,0.0229191095378249,0.03030137474045766
EPN2,0.0324234740162372,0.0223587736829351,0.0234299868616858,0.0212849780250639,0.0245729929312497,0.0283172599370231,0.0265573670372881,0.0102187775373212,0.0266470189880163,0.0293360305040413,0.0252475606787375,0.02703942201995992
LMAN1,0.022388666265856,0.0125958538266392,0.0243810297643726,0.0205283343674281,0.0231257489131329,0.0228306640278771,0.0156047640648496,0.025314561534597,0.0219886053363793,0.0182380708429129,0.0224281896704471,0.02294244886144918
ZBTB20,0.0194271951137223,0.0200648821320076,0.017814099850721,0.0299769941165897,0.0154726081867336,0.0190596281542665,0.0277902200326258,0.0208931190022698,0.0174431303009308,0.0185969007199055,0.0218123713336617,0.02283511489434343
API5,0.0168430116483139,0.0212535752178913,0.0139122833536807,0.023135522618791,0.0264883901262121,0.0226235238611442,0.0188079726841821,0.0184169346415141,0.0155435402383102,0.0245714277859306,0.0088673827321363,0.02104635649081065
ZNF609,0.013326876650135,0.0181678826809425,0.0186680496859413,0.0162538613137221,0.0178400046182007,0.0183639881023262,0.0188411382109194,0.0267198741837839,0.0127387331521521,0.0266456796446554,0.0203941489810788,0.02079602372238574
WASF1,0.0195140559611047,0.0193488237828385,0.0238542934372745,0.0151581859936656,0.0220541934092679,0.0191557954954124,0.0225944348928087,0.0214617278170637,0.0181458576023295,0.0238861357126172,0.0020015612994123,0.020717506540379498
MBD6,0.0232137067257205,0.0277418320021956,0.0230837640407734,0.0163923461824303,0.0189765872901367,0.0143654419767926,0.012009453178918,0.0181110264534814,0.0162701275023776,0.0153889914127581,0.0138236847648674,0.019937696153045158
DDHD1,0.025097718669339,0.0131285787340712,0.0140662723554488,0.01768250340767,0.016213513469239,0.0132527543095461,0.0147942122837289,0.0176901407107618,0.0049842772020944,0.0156605999920111,0.0175634932316956,0.01701340643656059
CNTLN,0.0192445445140719,0.0132690483998916,0.0193865842933074,0.0134037947805308,0.0045038277757302,0.0172868772417425,0.0118679593877383,0.0170751936007846,0.0251644054262226,0.0120149394203189,0.0158568288072111,0.01690740036475499
RC3H1,0.013432086208948,0.0213765801013492,0.0133694907005623,0.0117403114517679,0.0126900542109957,0.0180846102553705,0.0105387856120121,0.0156251148432205,0.0143012802015368,0.0149170898600731,0.0204645440779606,0.01665399475237967
POF1B,0.0166124332104599,0.0089392866232556,0.0128206414187361,0.016379327955885,0.0085210113391313,0.0200465932119354,0.0129987274344057,0.0074811165737365,0.0136795472481239,0.0187629362714382,0.0183963318925617,0.01546379531796693
DDX17,0.0122918420956324,0.0124262030997306,0.0047736510333878,0.010437116843767,0.0213323199964039,0.0158919385141628,0.0245348797601538,0.0097738264851056,0.0117270079419207,0.0168829112569827,0.012819355920089,0.015289105294733632
PHF2,0.0120101116863732,0.015209786341574,0.0166057130906161,0.012568005033984,0.0086935995723262,0.0146718256351392,0.0095995386010766,0.0144452877931752,0.0133524589721629,0.0180170900460949,0.0148640235377081,0.015003744031023041
AFF1,0.0161903516543343,0.0225810123435841,0.0091472026265105,0.0119276581025179,0.0153603825459965,0.0145185674042326,0.008326536770967,0.0141372201717327,0.012920564010716,0.0107558207636077,0.0125836567126764,0.014844897310687569
RBM25,0.0137249054551929,0.0116051782554925,0.0187921787371708,0.0152991427391946,0.0089172894692107,0.0101467545071764,0.011783609397545,0.0130550521315984,0.0145479172335073,0.011974788004443,0.0053860992841038,0.01352329152146354
G3BP1,0.0097556887641451,0.0085826803916868,0.0157203690389741,0.0124139696396424,0.0139782020067854,0.0086779116528561,0.0109732663122648,0.0170229177324654,0.0098852542025647,0.010058364037512,0.0162344254432586,0.013330304922215538
NCOR2,0.0115044375076404,0.0143869401608046,0.0066449241787044,0.0110290391663981,0.0146752631700573,0.0045852288692557,0.0164120340848144,0.0172025261337576,0.013473810364878,0.0053578997881472,0.0125451122610843,0.0127817215685542
RYBP,0.0104393748017147,0.0075968479386104,0.0050451693968263,0.0098736906384384,0.0087844103226101,0.011650935011498,0.0087755727755611,0.0135810669407274,0.0200714428172816,0.0094519868305721,0.0187512837065345,0.01240217811803746
AGAP6,0.0131526506144096,0.009798621410913,0.0123909322466119,0.0029452027863771,0.0119358988990477,0.0104955257800019,0.0122661478165771,0.0148491484294912,0.0106519173326703,0.0046075452389477,0.0182978682950047,0.01213914588500522
TPD52,0.0040934960680971,0.0049493237830124,0.0116016162738093,0.0160903633956641,0.0097663434580252,0.0052470951196454,0.0140205030497,0.0185927072940936,0.0134876213992973,0.0062574747639367,0.0163589203124257,0.012046546491770678
MUM1L1,0.0121689386263054,0.0102946385256478,0.0071529385112756,0.0057992279849752,0.0100069155492776,0.0138653033749992,0.0125436878037201,0.0175842032669874,0.0094465318308686,0.0098883880094277,0.0111692383367886,0.01199200118202732
KCNA4,0.0144277091418678,0.0150972041723275,0.0118678142923012,0.0103767797254238,0.008249134309322,0.0085694256849556,0.0140419663823127,0.0103159890541785,0.0061969102362573,0.0068277103423482,0.0136586599913479,0.01196293033326425
