Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
CTNNB1,0.0431153282000896,0.0476444925201264,0.0435451415058837,0.0512664625692664,0.0520642377914708,0.0463724844587997,0.0402555493716764,0.0388932616528489,0.0434583626422451,0.0444725940827713,0.0417565216966683,0.04928444364918466
PTEN,0.039728288515696,0.038799950172019,0.0381255417444842,0.0351709966885058,0.0404565785217657,0.0363295918598677,0.0387334998628556,0.0409222009513337,0.0410934668282398,0.044394931526989,0.0423686768433422,0.04361237235150987
TP53,0.0340207168182532,0.0307972834566921,0.0427138316740081,0.0307244701761784,0.0311936701432031,0.0269893278822457,0.0365624185243374,0.0341994440566723,0.0307800435137497,0.0288563582014375,0.042049680116859,0.03688872445636365
KRAS,0.02998219280385,0.0272944864091499,0.0336874065629773,0.0331501906805871,0.0224580436272317,0.0180359840874047,0.0206093078530198,0.0347265330552382,0.0358186483940937,0.0335097452422274,0.0399233064818676,0.03291958451976474
PPP2R1A,0.0231115903105955,0.0229144077733404,0.0287750062471704,0.0265474591718512,0.0268913671614485,0.0256534372105252,0.0251056141576662,0.0218690902449826,0.0243064059315763,0.0271122601481327,0.0183553329113364,0.027064197126862543
PIK3CA,0.0278581372778797,0.0248260673930209,0.0189198484923493,0.0268559573623174,0.0224938501673941,0.0215569020777484,0.0198841406642537,0.0261571379343732,0.0238378879067562,0.0226290011600102,0.019533864142552,0.025455279457865514
ARID1A,0.0138908342576966,0.017011979844371,0.0125554832898719,0.0199851726576111,0.0156196952880555,0.0162792950799544,0.0198923201588792,0.0208976711133919,0.0223943079721008,0.0209936925219215,0.0182233654628349,0.019774381764668884
BCOR,0.0172680833818765,0.0086626400335543,0.0172515921825108,0.0139962169571924,0.0202167061354381,0.0115725227144071,0.0181694550036053,0.008779061838125,0.0218736600730786,0.0176095085540669,0.0136317705475004,0.01690312174213554
FYTTD1,0.0107872682557601,0.0137927083498736,0.0111572749212339,0.0122678078286719,0.0130018813640333,0.0101873253968865,0.0114292979286599,0.0138845918553997,0.0150091019731073,0.0118665198791686,0.0127672526619806,0.013615103041477538
MB21D2,0.0088858994150925,0.0124769587817684,0.0138505706003317,0.0115882404123792,0.0102703630864723,0.0135303055010682,0.0125156831799824,0.012345424136595,0.010361082431312,0.0,0.0120663810639761,0.011789090860897782
SOX17,0.0065063997325125,0.0154920066114397,0.0110677620309961,0.013474305315255,0.0114557900536503,0.0085681912955004,0.0078577049384291,0.0126141313253466,0.0075185826620122,0.0087765192253348,0.0114026409034393,0.0114734034093916
RPL22,0.003297084064374,0.007677218698674,0.0143512741324434,0.0081294658020596,0.0073275403045618,0.013688323130537,0.0059666107098194,0.0069925163791167,0.0148672595389753,0.0184007039337287,0.0129021520463111,0.0113600148740601
ING1,0.010043111404108,0.0058633391344847,0.0084569335355534,0.0097974871719206,0.0126311766088083,0.0097189464805751,0.0083602243112869,0.0104580072715047,0.0086410390420174,0.0126565723425733,0.0107571282464754,0.010738396554930781
MUC4,0.0141274406730786,0.0004518124202278,0.0130329693583334,0.0121418558002243,0.013483381499738,0.0,0.0108425944210607,0.0121589681279789,0.0158316378490005,0.0,0.0124075621000359,0.010447822224967809
FBXW7,0.0087233574590986,0.0074252891206624,0.0096846357799854,0.0080014275394181,0.0088502837132111,0.0072443137897271,0.0099695967190663,0.0105657153571967,0.007313674232757,0.0081486812796701,0.0087855972906874,0.00947125722814802
ESRP1,0.0068012784116661,0.0083028674697412,0.010462242799093,0.0074232314797891,0.0071578006679974,0.0110161800729867,0.0093389324171203,3.899121607917397e-05,0.007104148827123,0.0081547761163409,0.0082890091739943,0.008408945865193116
FGFR2,0.0072560786403577,0.0097090435376123,0.0055647029514491,0.0076458688147102,0.0058360276357572,0.0076476004448223,0.0069190443301613,0.0061750238765641,0.0087237880849384,0.0065234389352673,0.0075421690618955,0.00795427863135354
ACVR2A,0.0053330744417636,0.0033896739697799,0.0063379939808692,0.0065969226840428,0.0056663324783348,0.0074450184348083,0.008570693052824,0.0073958093925034,0.0077320459949989,0.0066425660824779,0.0051030307045888,0.00702131612169916
DOCK3,0.0051411110030604,0.00623025335122,0.007117812285309,0.0040232936484089,0.0053069569743376,0.0039450952728463,0.0073036031285185,0.0086406715674349,0.008493530303633,0.0042269511395986,0.008669999611681,0.006909927828604818
BCL11B,0.0032644524063609,0.0091429652785773,0.0032423330745992,0.0071830741051167,0.0083756690060351,0.0056446718174262,0.0068014330894357,0.0047274916540951,0.0049628731898197,0.0080843692689371,0.0059348813571085,0.00673642142475115
RNF43,0.0077375492226225,0.0087364705843361,0.0051184621767726,0.0052284100370454,0.0044317339373649,0.0037651127713107,0.006671257467265,0.0043718229677916,0.0067388405523211,0.0062363508856137,0.0044517604340974,0.006348777103654101
SPOP,0.0071865359091219,0.0055192179937702,0.0045312824877335,0.003831651084323,0.0056493321543049,0.0033735371928438,0.0060823503452086,0.0070439471700741,0.0041001352518273,0.0059711033128166,0.0073706333095316,0.006065972621155549
ARID5B,0.0036371105647203,0.0072017405354913,0.0011311502113077,0.0055668183295152,0.0074710343850559,0.0073231011981155,0.003670352751008,0.007091763813422,0.0051000795960521,0.0052744474237258,0.0057647163376727,0.005923231514608649
