Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
PTEN,0.0645634812846905,0.0548279314233159,0.0605225805255171,0.0645781834713726,0.0675566831841465,0.0528931488125179,0.0549145746153316,0.0731155854630946,0.068533085543278,0.0477711706857615,0.057924839698423,0.06672012647074492
CTNNB1,0.0691199002589095,0.0626533137978482,0.0369342710895605,0.0517132479226883,0.0582654802156974,0.0593087804201357,0.0535586762495937,0.0519506821884558,0.0505954839646888,0.0548909527900646,0.0508399122257509,0.059983070112339346
TP53,0.0576606891297642,0.047153269681215,0.0552489990348223,0.0570827718877372,0.0607805300476729,0.0508890252545348,0.0550807110534549,0.055673620578003,0.059727782934376,0.053027317443808,0.0422371390179943,0.059456185606338266
KRAS,0.0524475358985477,0.0616412763839683,0.047501129095268,0.060021207341818,0.0512809629026132,0.0558321787116841,0.0604351255437765,0.0534734088293651,0.0505968569634564,0.0418377009746228,0.0442111045427409,0.05792784871878609
PPP2R1A,0.0299096069319239,0.03895222396206,0.0472105281283146,0.0406925869470504,0.0351582826775721,0.0437179887378311,0.0370670640001315,0.0395005817568223,0.0374916507732731,0.0351364547082807,0.0377006858716212,0.04225376544948809
ARID1A,0.0309453965979418,0.0327079943197589,0.0423357834586602,0.0356429994301017,0.0385735953045854,0.0263950799270693,0.0352226896403913,0.0359401261237211,0.0298721362071024,0.0519548272455653,0.0231708950956741,0.03827615233505715
PIK3CA,0.0271480457077255,0.0337065501821134,0.029808652367055,0.0233945982232445,0.0340490172499569,0.032940323714136,0.0231070747962059,0.028617347659262,0.0288411891417004,0.0259291180657084,0.0212738107310284,0.030881572783813642
BCOR,0.0251082022276993,0.0248312007694183,0.0221464784795915,0.0233600387505811,0.0180305717067256,0.0287733260824275,0.0214253564630974,0.0256668955008917,0.0158350987130021,0.0277187626118974,0.0257690152426464,0.025866494654797834
RPL22,0.017448190711898,0.0228439505208324,0.0154639279748721,0.0162173658705589,0.0110189142810878,0.0153096976456023,0.0177599618796224,0.0200776200588409,0.0159551243218113,0.0239776840537933,0.0189328764753809,0.01950053137943003
MUC4,0.0140736178938674,0.0143518629107138,0.014451320265495,0.0125536463255342,0.013897419814423,0.0154619481157669,0.015974577042466,0.0133970090599135,0.0132104657994613,0.0146408200184786,0.0160506769005814,0.01580633641467011
ACVR2A,0.0110866103291301,0.018604579933044,0.0145896128742244,0.0108247160042876,0.0115927002842787,0.009844539842081,0.0209193040306109,0.011201016087747,0.0153690934999125,0.0199689328858718,0.0106145259490629,0.01546156317202509
DOCK3,0.0164480700738467,0.0111062198177158,0.0260423893178945,0.0131366546354652,0.0035635670646801,0.0225558395474197,0.0121344240123146,0.0064741822182915,0.0071718303543268,0.0103579802923326,0.0180595707080871,0.014705072804237463
TNRC6B,0.0199049299050259,0.0183324482577876,0.0097704094460988,0.0111363615276982,0.0102067418666074,0.0098772748672551,0.0108684106419787,0.0158596250860954,0.0151277496488005,0.0069152406953488,0.0113149078963959,0.013931409983909227
FBXW7,0.0118914058161022,0.0114582357957576,0.0135598416695493,0.0146750799492263,0.0131022335843731,0.0123729432571667,0.0111133474404785,0.0124788568431088,0.0114151211010411,0.0112754954619275,0.0130228906007182,0.013636545151944929
