Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
HAS2,0.0399751492858998,0.0364072795852525,0.0368546726260928,0.0309078648638448,0.0333725648009283,0.0363553449772118,0.0282735626577725,0.0423879801921529,0.0327636896109376,0.0306698551539522,0.0414325237933483,0.03894004875473935
COL11A1,0.0299490551875398,0.0227756611625533,0.0238780465302889,0.0203424535700392,0.0244757579717369,0.0247753986649689,0.0192448520082,0.0289186535408729,0.0248288368551226,0.0063140823864493,0.0247173397012195,0.025022013757899125
STAMBP,0.0011009020679736,0.018545942952663,0.0275796875998782,0.02024834997342,0.0205076428442905,0.0240098591312956,0.0257751831820895,0.0246381485163594,0.0227858499898084,0.022777206667361,0.0203789218078739,0.02283476947330131
LRRN3,0.022899543631145,0.0183146555800257,0.0187732240558713,0.0222983487522445,0.0203718065417553,0.0196417531086764,0.0222120944820264,0.0172857956732754,0.0229308997651461,0.0174125522165416,0.0214873591604425,0.022362803296715018
INSRR,0.019536603065252,0.0185039789981716,0.0173732479621853,0.0241718107803347,0.0180792620877604,0.0191368584190091,0.0246478550777991,0.0140177852211887,0.0197624154050834,0.016901192599999,0.0212847218932973,0.021341573151008063
GPR39,0.0184517789306668,0.0180188458518481,0.0193061583710311,0.0207778863236168,0.0178292962023911,0.0232201067276518,0.0177656670779627,0.0192002832360812,0.0171200475836961,0.0177460589433801,0.0173081881462311,0.02067443173945569
DYNC2LI1,0.0176271570825735,0.0140850317927241,0.0221846329875946,0.0134793389103099,0.0207031407332808,0.0191063032972536,0.0192549018374763,0.0213617875672295,0.0156774978095785,0.0158948190793314,0.0182657077924092,0.01976403188897614
CNR1,0.0203198079511126,0.020276793309544,0.0195129344424205,0.0157728225249672,0.0201745274879391,0.0216326035849819,0.0006150980304702,0.0174046040999958,0.0222228306521899,0.0178143431090329,0.0214641368494878,0.019721050204214195
MESDC1,0.0214937152037968,0.0125225746103291,0.0239508312411539,0.0219447902656303,0.0243102761266338,0.013906763670462,0.0152613880364097,0.0089969114793182,0.0206535489168142,0.015480213151228,0.0137456876817697,0.01922667003835457
OR7C1,0.0206805790093011,0.0211501637771704,0.0005292298734468,0.0141658629635446,0.0217847983638848,0.0196325648727047,0.0160044547761181,0.0002475443358196,0.0168271394490356,0.0187817555684679,0.0212430771369527,0.01710471701264463
CASP7,0.0139934656985223,0.0173551383702486,0.0128376406201919,0.0127292670769178,0.0129258159641108,0.0150504960636838,0.0150406084319458,0.0201574751590597,0.010957272847427,0.0187640351521504,0.0132193486245168,0.016303056400877487
SLCO5A1,0.0185904098338144,0.0,0.0211958735871517,0.0003994929200169,0.0002865769265667,0.0170335221479006,0.0193083170116865,0.0197303773184707,0.0198505392995174,0.0161909243919764,0.0216766532555781,0.01542626866926794
SMC2,0.0164165677581825,0.007757341959836,0.013938020243714,0.0162965641605058,0.0120880700536518,0.0186349528392346,0.012665040953329,0.009135090394375,0.0163585219965636,0.0136618932920666,0.01471537186232,0.01516674355137789
C1R,0.0178193292395214,0.0199754906088594,0.0181239937321979,0.0174822052362453,0.0192831701960072,0.017915966078218,0.0002339785754965,0.0014492462941724,0.0007613013317896,0.0188523896112844,0.0194861856839649,0.0151383256587757
NRIP1,0.0145257456640232,0.0147372948773874,0.0161530893192797,0.0103391071417778,0.0126815558430781,0.0195230961728319,0.010027407510535,0.0116742483156337,0.0201563031070834,0.012113265392852,0.00719077153083,0.014912188487531222
MMP16,0.0172683910266948,0.0094980270479071,0.0138802940949943,0.0150660573522132,0.0171198451605553,0.0110222406021522,0.0188326919086482,0.011476967417235,0.0081502924863615,0.0097814315784955,0.0083182161889281,0.014041445486418521
