Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
SOX17,0.0259567503969843,0.0306040256179111,0.0249992265349472,0.0354235583663454,0.0266281535457818,0.0223246066841945,0.0295481327537094,0.0327573767307431,0.0265223536353644,0.0262187037657664,0.0276408608581133,0.030862374888986095
MB21D2,0.0116790870552066,0.0182040525773976,0.0162102715734849,0.0139425357978233,0.0167104401862699,0.0182777705616302,0.0198098144232255,0.0159632095137398,0.0167576234005495,0.0182769432904535,0.0144025686749256,0.01802343170547064
SPANXD,0.016952472619343,0.0138593875986734,0.0164749310355989,0.0156748516110491,0.0148774929610273,0.0180647207891235,0.0164541600314734,0.0133809699104641,0.0172271414440338,0.0166495291158328,0.0155546313610563,0.01751702884776756
RBM46,0.0,0.0164739370489364,0.0195659403816403,0.0138698401070867,0.0179760583297343,0.0167413695779888,0.0160479276741088,0.0194198969397933,0.0164879265768235,0.0186454993006793,0.0155036772866539,0.017073207322344526
IGHG1,0.0199502987105305,0.0173875899365197,0.0152193234985784,0.0144391397649268,0.0162497307643387,0.022608786127051,0.0153004829589136,0.0,0.017632322352473,0.0153332466659135,0.0103185228462673,0.01644394436255125
GRIN2A,0.0158554759845577,0.0165020976535257,0.0166595311601735,0.0132647673865559,0.0144130534579149,0.0,0.0203514496050234,0.0161016673540772,0.0167177378970052,0.0177679324386956,0.0136984332814225,0.01613321462189516
NYAP2,0.0179307900906104,0.0155273100901279,0.013738972793211,0.0165234692772639,0.0154076863006481,0.016144204734902,0.0126582524546126,0.0173971840464409,0.0125391767485848,0.0132173897687545,0.0,0.015108443630515608
DONSON,0.0052555876440671,0.0127380598078423,0.0121726147117873,0.0073288674562242,0.0109231377815472,0.0112575140702952,0.0126185243821893,0.0065266858920402,0.0119035089163082,0.0045620003284269,0.0077909173151295,0.010307741830585741
WASF1,0.0110860947498547,0.0085031067193397,0.0082821724198873,0.0096197383178454,0.0106431838394448,0.0091285603117606,0.0080176996416211,0.0096542977428448,0.0100596956234237,0.0062856492934758,0.0116813391023309,0.01029615377618288
API5,0.013210814560958,0.0071944408339921,0.0060561679962316,0.0102946090731081,0.0105596213102605,0.0115623563079445,0.0027736558804486,0.0098628929466721,0.0092580319430758,0.0075122126414185,0.0101802888126689,0.00984650923067787
PCDHGA1,0.0083118788773884,0.0074188636858188,0.0058724433508688,0.0076843326265386,0.009720990652966,0.009013831848424,0.0071200522503512,0.0077678788290101,0.0094083970161354,0.0060542999769401,0.0071100858428321,0.008548305495727349
HAS2,0.0062951538222579,0.0037114119357773,0.0077515384460046,0.0088559095119182,0.0074818997411581,0.0062570727646611,0.0121447543348156,0.0092102966935179,0.0110138478230045,0.008674202454279,0.0027684123898593,0.00841644999172535
PIK3CB,0.0101599477896653,0.0012586507137863,0.0064764031661395,0.0081253101745266,0.0055747421588598,0.0071527573257127,0.0076981884158259,0.0059289304793952,0.0054478644198146,0.008722042575237,0.0070923856264137,0.00736372228453766
AFF1,0.005407865578572,0.0087852336600849,0.0091045005863543,0.0040070547553537,0.0028627008254622,0.0039353661918529,0.0093882064112213,0.0071981549717523,0.0047859628603144,0.0029415307291557,0.0050637160655885,0.00634802926357122
GANAB,0.0053980841926342,0.0051617601431384,0.0056497779790219,0.0049846344411233,0.0056233588363937,0.0073428782420461,0.0081583908040389,0.0035014696943224,0.0071732780780784,0.0044562248950599,0.0055126915559554,0.00629625488618126
RIPK1,0.0062934358036902,0.0032921735550788,0.0078817791511447,0.0068886132377479,0.0040108517113713,0.0055964161521217,0.0039890117797015,0.008342410926039,0.0034262431510211,0.0026935629640452,0.0072845110421592,0.00596990094741206
POF1B,0.0068139284391611,0.0052571906069066,0.003323222280118,0.0067814007354631,0.00718598346776,0.0061492967123526,0.0050598392722701,0.0044195741328918,0.0043228822887616,0.003280275488905,0.0050435319097824,0.005763712533437229
NSD1,0.0070776422093188,0.0054302004366531,0.0033679328337536,0.00466833285353,0.0044455623783517,0.0044235579473819,0.0055636291387252,0.0063237801297254,0.0034956021535828,0.003997686801724,0.0068002907995174,0.00555942176822639
TRPV2,0.0046069402930187,0.0,0.0042716827287426,0.0027552799301921,0.0060353158224081,0.0035229168713314,0.0097381220780761,0.0062241433571184,0.0047208303235493,0.0052938935306657,0.0054229142257925,0.00525920391608949
FXR1,0.0049060499171399,0.0056051070881425,0.0064612134703463,0.0044845058923176,0.0053503984663947,0.0019363207882463,0.0066297036532331,0.0053569956255176,0.0027602985507334,0.00464233816182,0.0036932104905466,0.005182614210443799
SIN3A,0.003035458344926,0.0028954702104416,0.0046455350237147,0.0056002718767929,0.00451304110718,0.0075790196638508,0.0021798768015693,0.0041696551824025,0.0033542324994826,0.0072797763425807,0.0047137692638456,0.00499661063167867
IGFN1,0.0054133103655937,0.0051284560105713,0.0036722828864297,0.0045645642106839,0.0037354645061148,0.0047945093113582,0.0038048911852494,0.0031238105463545,0.0054627641967958,0.00502811256426,0.0049449674164433,0.004967313319985459
KCNA4,0.0062363311836479,0.0040042291165751,0.003342477521709,0.0050917279948973,0.0067592267989906,0.0048541891937702,0.002194188254596,0.0054394557728383,0.0027027708962344,0.0029460708730588,0.0056400089762595,0.00492106765825771
SEMA4C,0.0066382104966351,0.0020657506975213,0.0031106581799886,0.0039051829928517,0.0045392006665561,0.0045741140571152,0.0052367349730813,0.0034663242091302,0.0040577311226124,0.0050835930256738,0.0063086251380052,0.00489861255591709
EPN2,0.0047803439170021,0.0047922904106798,0.0015089514110189,0.0051001749717414,0.0042543041878503,0.005602042413667,0.002353061354566,0.0075425816214019,0.0036916183554953,0.0035983664560281,0.0055057000944946,0.004872943519394541
BCAS3,0.0034481006229156,0.0024920091543766,0.0070366202289645,0.0030189323796757,0.0069995412641207,0.0035871069057535,0.0044201369820609,0.0031405282661482,0.0020571466081049,0.0057270125688758,0.0061244770606143,0.00480516120416107
ZFP91,0.0022409608832154,0.0029878194635453,0.0022322965678572,0.0059480572643882,0.0059771945567382,0.003547896547221,0.0052915639248838,0.006655166872349,0.0016919919776442,0.006194176391738,0.0042594294459983,0.00470265538955786
ZNF507,0.0026616732713243,0.0036954188874679,0.0062169366252307,0.0038213880248207,0.0065659712580939,0.0062464040721985,0.0015776968434836,0.0025924491809132,0.0039185355056752,0.0041489162849393,0.0051569999372644,0.004660238989141171
CCND1,0.0035590511029694,0.0037360887049124,0.0056005778659325,0.002648688303836,0.0047690166499402,0.0023655875017674,0.0073047551415108,0.00363689977344,0.004824468226243,0.0043248360609587,0.0032895092111074,0.00460594785426178
AGAP6,0.0041893336318529,0.0032487015226035,0.0074117829242828,0.0010095157160745,0.0024504147902372,0.0028063129604289,0.0066542742959299,0.0053788395020426,0.0042727320203457,0.0046406852751948,0.0036770598060435,0.00457396524450363
