Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
PTEN,0.079818713215372,0.0769881734313346,0.09270144850708,0.0657707535740172,0.0784284462650204,0.0971875173603782,0.0599535899323777,0.0659511980350511,0.1238319527452687,0.0799715501800441,0.1098060036268131,0.09304093468727571
TP53,0.0744703975725039,0.0650866535371777,0.071415187604901,0.068511337408561,0.0642885572929655,0.0710169837039185,0.0928506664461297,0.0718661812947399,0.0688611227747791,0.0854958847436186,0.0690151061730608,0.08028780785523557
PPP2R1A,0.0673006405819152,0.0677084619792606,0.0639947749385552,0.0594247541925085,0.0503247386693943,0.0489577844220405,0.0629444185019536,0.0515894083741529,0.051206484741181,0.0833766795628981,0.0583850529423072,0.0665213198906167
KRAS,0.0625186366885449,0.0478628926354976,0.0612204326156134,0.0643467025469114,0.0580884959746956,0.0640337856753719,0.0448134785496285,0.0591653788237128,0.0550426846745719,0.0469868524971164,0.0512057574475323,0.06152850981291967
ARID1A,0.0582197598947142,0.0414520457206156,0.050836470818659,0.0509565690688663,0.0568846231324363,0.0623255139652129,0.0493842998613082,0.0562829981142779,0.0593245664421761,0.0652809433261992,0.0632922252923393,0.06142400156368051
RPL22,0.0443031855444052,0.0371796529797754,0.0310585766108184,0.0412325268156405,0.0425050599869893,0.0336292896567541,0.0422570839132567,0.0372227483066775,0.0366026441672705,0.0274484264043246,0.0315482720107481,0.04049874663966603
BCOR,0.0447780025785157,0.0438601860146823,0.0419868527623281,0.0220387513537803,0.029214054532644,0.0450419127503497,0.0274185389152815,0.0293882443759193,0.0213379930078743,0.0394965290726554,0.0256456379070687,0.037020670327109935
RNF43,0.0240684327913286,0.0342787649174816,0.0299269413898037,0.0274785832299558,0.0391149158342131,0.0362430723474665,0.0334103031642659,0.0244748823297415,0.035679624798654,0.0296835706377313,0.0272688502602664,0.03416279417009084
DOCK3,0.0212053870758952,0.0190982869240389,0.0256451582133548,0.0263563409198043,0.031326421549265,0.0207538646296008,0.0238683904455446,0.021409594903977,0.0226445545092631,0.0210141295269405,0.0157855991351491,0.02491077278328333
ACVR2A,0.0211463495250036,0.0224330989209078,0.0130550207474663,0.0229332731632048,0.0227726434831346,0.0246377561191976,0.0270296665733404,0.0232170847535211,0.0215104024297337,0.0108576817098766,0.0179414988144947,0.02275344762398812
ESRP1,0.0180296087130957,0.0151248718964486,0.0124574618472841,0.0194388611975858,0.0124956390105202,0.0158702712221688,0.024833647334311,0.0222735184143865,0.0174940051690435,0.0185614277664577,0.0191949913920309,0.01957743039633328
BCL11B,0.011549339063337,0.0286508867074462,0.0194819625782585,0.0156277398696789,0.0112302364339819,0.0173338119249909,0.0142123410877004,0.0202039466305992,0.0133922708887883,0.0149732534458323,0.0239166092775734,0.019057239790818702
NRK,0.0153089022080849,0.0182097142573736,0.0123879345812709,0.0192554909111989,0.0191546158918824,0.0116970497438128,0.0157442547448418,0.0184090887111252,0.0135043615831852,0.0138750233893344,0.0156603783949026,0.01732068144170127
CD93,0.007886048806718,0.0146136337313099,0.0175779066596927,0.0203374004821583,0.0162693672789062,0.0145238356356705,0.0119837363829225,0.0103749693101705,0.0163774486526051,0.019109127843474,0.0099254345566445,0.015897890934027218
TNRC6B,0.0138990399453062,0.0178219353591322,0.0173926391530097,0.0196928342917777,0.0168607188118811,0.0037102656973371,0.0099655242085071,0.0247965538768043,0.0158947021262028,0.0103839785428386,0.0078816978390369,0.015829988985183372
ARID5B,0.0130354362456104,0.0138245044562707,0.0133202197037336,0.0161534361200561,0.0139805139981795,0.0141404787390159,0.014243751589671,0.0115332722754829,0.0157750877919993,0.0139434515989752,0.0115510316824132,0.015150118420140779
