Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
RPL22,0.0569679722404349,0.0565737005565986,0.0557768048384385,0.0625567718489304,0.0633161328983118,0.06211217675696,0.0614048601873177,0.067573212964936,0.0714309322362722,0.080693530062837,0.0619429740979633,0.07003490686890004
TTK,0.021039992359074,0.0297135771513188,0.0323400764359623,0.0286939390109004,0.0347749602196022,0.0318088849755523,0.0286327867394104,0.0266029984679243,0.0340761595762842,0.0271778076120407,0.0302875087670613,0.03251486913151309
ZFHX3,0.0169567668958807,0.0265691627178384,0.0216957117016776,0.0177624832495944,0.0178125935137946,0.0198496338355405,0.0263060754742349,0.0286259419711497,0.0214378629981647,0.0205678497718499,0.0235421218841438,0.024112620401386918
DAZAP1,0.0228129777595052,0.0162278935214416,0.0152160422322949,0.0304178235332846,0.0149397105172645,0.0243288732917137,0.0163681691335177,0.0117982404084037,0.0235210469730007,0.0168346113745018,0.0143384768486068,0.02068038655935352
MAF,0.0116380620016486,0.0158334861960776,0.0091691632279998,0.0327494654129659,0.016275231566604,0.0284983223869629,0.0236261002625305,0.0152192257467875,0.0232157450999967,0.0140740791023181,0.0147443025522273,0.02050431835561189
LMAN1,0.0149752334588305,0.0141675147990426,0.0153136538494549,0.0118935525080722,0.0208424846074719,0.0162458290771889,0.0181175464620691,0.0229904686368423,0.0208511750670629,0.0149332308078742,0.0201100562307908,0.019044074550470032
HAS2,0.0211638492206358,0.0246154847225461,0.0164200285006855,0.0162398294684665,0.0089205106860052,0.0159157772801187,0.0115158265932723,0.0214414379549129,0.01350809385762,0.020784690812852,0.0184248098782127,0.01889503389753277
API5,0.0131211810306001,0.0149065453939758,0.0168746784444497,0.0131118699203339,0.0151547724936602,0.0252396845396613,0.0247997666568939,0.0167379346296926,0.0118572175477631,0.0213861844665735,0.0135307362618544,0.01867205713854585
ZBTB20,0.0172503323315771,0.0190047182749522,0.0211154538999279,0.0159418000011612,0.0136593900200997,0.01875987417298,0.0145393624926969,0.0078622512010127,0.0129494715491985,0.0167259339046695,0.015654058949299,0.017346264679757473
NCOA3,0.0124026773358081,0.0143388568857597,0.009649909760971,0.0145806307847066,0.0163414359091954,0.0209566530535673,0.0121978146823881,0.0174589828678484,0.0177673156291363,0.0119109746652357,0.022755972099572,0.01703612236741886
ZNF609,0.0184740559347813,0.0145857522323934,0.0164388090161231,0.020414196319474,0.0174291047864031,0.0126418025334137,0.0159771494238478,0.011597650131171,0.012440648823957,0.0081562701352838,0.019573761289253,0.016772920062610122
PCDH9,0.0115127278848818,0.0152533601171078,0.0201716905874729,0.0105588246720763,0.0197335423093786,0.0064994198055668,0.0090421284552525,0.0145199768860903,0.0257596336345811,0.014008293087314,0.0165844359466992,0.016364403338642128
DONSON,0.0158630428050387,0.0162456591562504,0.0097155477199834,0.0161804136699507,0.0106259220705622,0.0193467520303721,0.0127082840233296,0.0176046613963856,0.0138579668402662,0.0081765989933044,0.011596943108908,0.015192179181435127
MBD6,0.0210601454096799,0.0132592252957494,0.0238196403071931,0.0153311860092404,0.0103540975262415,0.0158852061770405,0.0192974014227263,0.0085873886824401,0.008261398704605,0.0139117577340435,0.0012959816758475,0.015106342894480717
CNTLN,0.0151818674469922,0.0130044475764481,0.0132192439355315,0.0077879378055076,0.0235096853980853,0.0160653934711942,0.0060051581001948,0.0071988557754128,0.0102440709148298,0.0126237287379539,0.0092832389757381,0.01341236281378883
EPN2,0.0110682841196178,0.0129715466119914,0.0146032027170969,0.014370807126779,0.0114961445548175,0.0015708092373093,0.0123340649087328,0.0136591815043089,0.0118773229469305,0.0206473639925465,0.0082858511122129,0.013288457883234347
PHF2,0.0128086100205666,0.0067655590107634,0.0067052644506873,0.0115747199119695,0.012844642819711,0.0126245987621738,0.0169081086895537,0.0120483742791718,0.0058769094087043,0.0150955008469498,0.0111102185339917,0.01243625067342429
AFF1,0.0107290557811088,0.0120724632502456,0.0085937133549042,0.0126595717470437,0.0129223676288517,0.0098595591582393,0.0104513293105483,0.0072000193512592,0.0115055265834247,0.0120718514209391,0.0082096475889242,0.011627510517548881
