Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
HAS2,0.1637154522878858,0.1525191383567075,0.1700409683156616,0.1818455218546001,0.1550141372226211,0.1570493985315912,0.1602035267166474,0.1719861381403435,0.183462282819332,0.117996535796306,0.1702720622892594,0.17841051623309556
MMP16,0.0771255397365854,0.0868109470478459,0.090947388786068,0.0895931494082104,0.0973279780265266,0.0761741728953863,0.1061739028294152,0.0735916663675414,0.0935646584340743,0.1026157830317148,0.0624977673517798,0.09564229539151481
MESDC1,0.0638049882947163,0.0435324537002945,0.0804919925384419,0.0786295336920358,0.0847295717665237,0.0442515690800917,0.114851787447236,0.0942119260640599,0.1035184307553993,0.0615032868522988,0.1060153329870526,0.08755408731781503
NRIP1,0.078748317619475,0.0777667388395628,0.0679672175292734,0.0641824335232498,0.0554474468021942,0.0614341466377233,0.0474581642700913,0.0660729537443286,0.0531368566624995,0.0658875388015474,0.0730498032407377,0.07111516176706831
ABHD13,0.0569469416743794,0.0609795277512279,0.0558458017738908,0.0505782224041885,0.0434347436519117,0.0820514965600362,0.0588809783280908,0.0472219326143279,0.0385951037413789,0.053562633709425,0.061565207067891,0.06096625892767482
SLC44A1,0.058878529235147,0.0206805790671943,0.0578870409362015,0.0540994266153193,0.0556814351590108,0.0770349761627742,0.0588168122837694,0.0530456721991156,0.0405828135025651,0.0578814825966066,0.0669698875164682,0.060155865527417196
SIKE1,0.0526506013199655,0.0524811888552734,0.0459907692622414,0.0480835499249535,0.0595667618483535,0.0391702475238498,0.0473748171915848,0.0567559901860379,0.0749205680745806,0.0611630324634608,0.0522392924497348,0.0590396819100036
CDC25A,0.056808816816626,0.0610195071168706,0.0420079104642382,0.0430421214379683,0.0483034957126931,0.0570528909911192,0.0389654636313649,0.045569570830767,0.0524628580261091,0.0428497844481621,0.0476388942420132,0.053572131371793175
TCEAL1,0.0454850820918194,0.0469673248062893,0.0375410400694455,0.0426128755554611,0.0416677782134889,0.0502007304062704,0.0603948231361161,0.0564638434196905,0.0439040824991479,0.0619507934055967,0.0428770784197409,0.053006545202306674
BTBD11,0.0515991076439061,0.0491214600993826,0.0386511605282239,0.0388812354590169,0.0571516924839298,0.0713430704409554,0.0293631811338479,0.0438973076967672,0.0454809492024551,0.052330820633047,0.0467296699818106,0.05245496553033424
ELAVL2,0.0323820908508808,0.0489080467197584,0.0467573415161975,0.0319404110750348,0.0252833472570108,0.0263097131211954,0.0401445866296618,0.0360860952005976,0.0430665045251983,0.0534128536923533,0.0396401378004793,0.0423931128388368
VEGFA,0.0386537487374618,0.024551876169286,0.0588938965660767,0.0403898254329053,0.0519508764529057,0.0639575840373599,0.0260420768850936,0.0190256416174563,0.0272310072884702,0.0350095646944489,0.0205458504022038,0.040625194828366816
ARF5,0.0328878931486757,0.0566853346193088,0.0440679859082001,0.0365910646664967,0.0324538504250001,0.0358264842645372,0.0366344965200734,0.0393745615922129,0.0143761146387203,0.0400876801326957,0.0159583089936792,0.038494377490960005
ENO4,0.0364102015520884,0.0335385885117238,0.0311407132689596,0.0401891400842435,0.0271675051703307,0.0263137442289241,0.0362046979142842,0.0381830373764309,0.0284458655422914,0.0199486886531739,0.033450603771401,0.035099278607385154
PXDN,0.023596948182448,0.0328017753293439,0.0347993506214436,0.0245124953545929,0.0367657824406004,0.0288754881902289,0.0106362606015415,0.032362977791995,0.025426499677759,0.0340145138088445,0.0276537223794364,0.03114458143782341
ELOVL5,0.0285790618434129,0.0204615459996356,0.017297993097162,0.02631265398374,0.0233088531000781,0.0072532420564477,0.0245238941098593,0.0308981315291993,0.02684646005638,0.0439284530807048,0.0319375410501051,0.02813478299067248
DENND1C,0.0270957153884688,0.0311383297155071,0.0131931687208408,0.0235233748585724,0.0107939517210645,0.030857617223997,0.0227754952533805,0.0286266762837903,0.0166347116462545,0.032210493099617,0.0216837149423134,0.02585332488538063
PTPRF,0.0135054252035585,0.0250454181878758,0.0195415371714131,0.0237690170956962,0.0330363159608209,0.0249605273123559,0.0172064077872297,0.0174300393367399,0.0270055509783791,0.0094652926444863,0.0231527751166228,0.023411830679517822
PLXND1,0.020195100947659,0.0363216536402868,0.0166114478031632,0.0255615325212943,0.0259293044204039,0.0135857351142754,0.026326141449685,0.0142148277482951,0.0175006099831351,0.0208403417741587,0.0161334442367302,0.02332201396390867
GRHL3,0.021971423642205,0.0166249562001951,0.0133519176848439,0.0177244351698405,0.0167848832823378,0.0169463151490426,0.0236132722293601,0.0253150646328834,0.0247109193105021,0.021091808002596,0.0272255422253048,0.02253605375291113
MAPK1,0.0189590137826344,0.0220436092664289,0.0169733574380123,0.0179379798825788,0.0182002888821928,0.0093508500718373,0.0134092136516659,0.0096659456274191,0.0191271526353672,0.0122486186787549,0.0127633635352349,0.017067939345212654
