Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
CTNNB1,0.0443899810169108,0.052934453871131,0.0528527366450355,0.0472830777867574,0.0406703865154471,0.0380740518652168,0.0543724632983595,0.0511024713948505,0.0447546693763637,0.0439858031445572,0.0429034114088701,0.051332350632349956
PTEN,0.0490250033699825,0.0343471599942299,0.0377440656562019,0.0524081007956701,0.0394576697819102,0.0469982610831297,0.0399281864469253,0.0403796513977536,0.0443029957854613,0.0405278040525216,0.0456202020077156,0.047073910037150175
KRAS,0.0416517091558233,0.0321504695947104,0.0327164189282515,0.041710996304148,0.030948885644291,0.0383912906049822,0.0348346208631286,0.037138990526388,0.0429149156131581,0.0398331531053785,0.0365849442251238,0.04088763945653834
TP53,0.0367571103302693,0.0372818198402164,0.0415666433456487,0.033924702356783,0.0351045129122888,0.0350473700706907,0.0360395621693713,0.0400874530892173,0.0389285559523922,0.0431412470952384,0.0293756918923995,0.04072546690545156
PPP2R1A,0.0271626189515194,0.0275510552970723,0.0232354969208417,0.0238673414929748,0.0258721309061172,0.0279863037245195,0.033880073448896,0.02613007994595,0.0229587892937496,0.028317156587765,0.0258398221556006,0.02928008687250061
PIK3CA,0.0270221763480841,0.0225598317542389,0.0236082857731086,0.0275423238542775,0.0288632845618359,0.026440185411704,0.0293285868020969,0.0275441369629695,0.0272782878538713,0.0230275919722707,0.0287310352998924,0.02919457265943498
ARID1A,0.0154426021762854,0.022382653715075,0.0226186227642076,0.0212092854666468,0.0136742009100489,0.0228079685326171,0.0245658373617206,0.0189211381624426,0.0146263431973933,0.0314121673052428,0.0190111794670671,0.022667199905874718
BCOR,0.0181624451770002,0.0186003556022275,0.0134499373501543,0.018962124098111,0.0169976941389742,0.0189372584728476,0.0221330243129662,0.0141167360634774,0.0185247011853222,0.0172194572509636,0.0162665669958746,0.019337030064791882
MUC4,0.0162344484674877,0.0148060036122214,0.0143278305213888,0.016296553946907,0.0170221005091522,0.0127177358967232,0.0118168846581109,0.0150366644720063,0.0178228955388773,0.0163033868145683,0.0109132008549383,0.01632977052923814
SOX17,0.0110379693841121,0.0145674031909602,0.0095850055975507,0.0116255770215664,0.0131160753889701,0.0153543750666514,0.0147557839798577,0.0126352657574351,0.0112775556862866,0.0114488246111763,0.0141854630407135,0.013958929872528012
