Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
PTEN,0.0593878818405254,0.0603967794398515,0.0636565670007656,0.0462335298623727,0.0790967106235997,0.0741505561772552,0.0547497638994766,0.0552507307426196,0.0491811219916953,0.0743790911265897,0.0692128640829048,0.06856955967876562
CTNNB1,0.0570740698095844,0.0467781454144197,0.0497995778364088,0.065501011631758,0.0449412380678293,0.0496717533019691,0.0531674975426983,0.0540802739282255,0.0468599685164331,0.0483589915882578,0.0537000819176386,0.05699326095552226
TP53,0.0476277277767452,0.0365851990478793,0.0442680188986792,0.0584496307475328,0.0527154569252286,0.0501531438670076,0.0504337687694935,0.0549735302552105,0.0575193122750869,0.0450917049267821,0.0606039801546062,0.055842147364425186
KRAS,0.0402183911728649,0.0473273615720204,0.0454039554332751,0.051694900859048,0.0406871254840348,0.049620661093508,0.0396685980068782,0.0509016820575857,0.049057375759084,0.0421864090582038,0.0331823813148998,0.04899488418114027
ARID1A,0.0383813752512117,0.0369247572260831,0.0374635742755233,0.0385090790921513,0.0330833226423958,0.0446850631838637,0.0501323449818307,0.0460518920902789,0.0495323039990598,0.0459853935453709,0.0425810581098095,0.04633301643975787
PPP2R1A,0.0405787346529437,0.0374432586855076,0.0325926336242614,0.0370691937854992,0.0451852949977344,0.0401786677357409,0.0333812869325791,0.0430772737081697,0.0298115231195582,0.0424794495400576,0.043691480442025,0.04254887972240768
PIK3CA,0.0291848086452495,0.0339110756948069,0.027874283344714,0.0306917874268431,0.0297416066890089,0.0315815240210819,0.0374105673311319,0.033168165093909,0.0313167421585151,0.0294179170401728,0.0266940407034502,0.034099251814888334
BCOR,0.0260955937060421,0.0270195200996933,0.0212185891882771,0.0186475935889237,0.0197363026251541,0.0222413976515436,0.0245141181112647,0.0155290907310022,0.0279580122995468,0.0272399010875451,0.0227239820782477,0.02529241011672404
RPL22,0.0222461696718203,0.0128634095855902,0.0125452073116359,0.0258805586551265,0.0168806241420622,0.0144039565112481,0.0256169969027905,0.0158634758446857,0.0186928115765746,0.0128492317550404,0.016671994719025,0.019451443667559944
ACVR2A,0.0143068365983197,0.0164564579113688,0.0123049940280959,0.0093021155006006,0.0190141364520878,0.0108731316123632,0.0152982707269048,0.0173056802409024,0.0149038411643045,0.0134677581570393,0.010548593318655,0.015378181571064197
TNRC6B,0.0105599580945645,0.0239075359997751,0.0097779819035274,0.0136910172589978,0.0085738623593865,0.0199183516950376,0.0131493505855243,0.0121165874123327,0.013919057629566,0.0117166949267506,0.0100081730516408,0.014733857091710332
DOCK3,0.0133112336751114,0.0094575972920363,0.0226397077936023,0.010160082835925,0.0122395766375999,0.0101083263924556,0.0169307286311206,0.0129750828186575,0.0106983627662227,0.0153990594248335,0.0112657234323907,0.014518548169995552
BCL11B,0.0096703872733343,0.0075306754239984,0.0146936673995369,0.0129300853192916,0.011930853421644,0.0076132618771885,0.0107777397036745,0.0149553649282744,0.0164317234976042,0.0161975926713461,0.0195743346811714,0.014230568619706433
FBXW7,0.0111303027163493,0.0101572914096036,0.0132252139916875,0.0131181277828667,0.0102028232798683,0.0146175667300976,0.0130514960618324,0.0114940944322758,0.01186274235157,0.0168457010692615,0.0165956155411837,0.01423009753665964
MUC4,0.0171084541824216,0.0178426728334939,0.0148970561551688,0.0142338448381301,0.0143048502523865,0.0174757742179486,0.0148798440427094,0.0107586264797704,0.001387650420808,0.0016411587175415,0.0113923246134366,0.013592225675381538
RNF43,0.0071336171289227,0.0156415864390521,0.0085476864945858,0.0101890038118007,0.018073363158045,0.0101951610986412,0.0121405675641815,0.0103860266186073,0.0124262168201082,0.0104648029057149,0.0058737704565437,0.012107180249620311
CTCF,0.0083010185414936,0.0097599982555877,0.0126766669990664,0.008700247236753,0.012934386700518,0.008911692182923,0.0094351943713217,0.0064068698469453,0.0103670803283698,0.0097972296219769,0.012755273106798,0.011004565719175342
ESRP1,0.0080483331540536,0.0093216958589359,0.0065615568492799,0.0009401222696809,0.0090052932771188,0.0058927920593725,0.0130143497350772,0.0116769436053871,0.0117015739992692,0.0123151494228404,0.0108129010613162,0.00992907112923317
CD93,0.0076267154772013,0.0132891328832126,0.0089631990347268,0.0071434372050948,0.0072444390585106,0.0097995360706345,0.0101332382919017,0.0091570377111215,0.0110227909576176,0.0039812078499102,0.0022983792131317,0.009065911375306329
SPOP,0.0091184665397613,0.0068621802021954,0.0077609570892117,0.008736324378735,0.0079838310896557,0.0097575525269249,0.0092963325946003,0.0074142639414326,0.0088371019933973,0.006372353064916,0.0084688565364787,0.00906082199573089
FGFR2,0.0075681991977421,0.0070153973573227,0.0057078182973848,0.0091668985274385,0.0083567325759994,0.0090465332523872,0.0090468130364205,0.0082594301407804,0.0069680087171693,0.0082189607123933,0.0080738182032368,0.0087428610018275
JAK1,0.0102488881030833,0.0079125388226505,0.0030012884206602,0.0064264518323988,0.0065132577260765,0.0058441602458877,0.0181879078259676,0.0074657917194356,0.0060789163093235,0.005698722957389,0.0097317406992301,0.00871096646621028
PDS5B,0.0079861302385201,0.0003136304980924,0.0091570018364009,0.0073246938543752,0.0091253477127195,0.0071412065041819,0.0076560393333316,0.0084005813414828,0.00948100298438,0.0104716003767987,0.0080513948676462,0.00851086295479293
EYS,0.0067723483683741,0.0090401999905898,0.0083197965244802,0.006908195918554,0.0122379162533913,0.0,0.0093494837338711,0.0063903288263259,0.0078315194287069,0.0072168126768306,0.0073592132921952,0.00814258150133191
WASF1,0.0081465481536964,0.006180182624931,0.0097136450451199,0.0001524884728321,0.0092365035368274,0.0062911904650261,0.007442987707589,0.0083197620996982,0.0077052853368023,0.0084943865081576,0.0088552855849504,0.008053826553563041
AMMECR1,0.0074055423954705,0.0071783647288427,0.0084491082172069,0.0055524933156776,0.0075501416604805,0.0070339758106384,0.0064488573005943,0.0067022859486847,0.0050194679934929,0.0066859292598521,0.0075172388566319,0.00755434054875725
CHD4,0.0066679122649451,0.0063016774469123,0.0068375100090053,0.0069932132896829,0.0059944519484449,0.0037198350288573,0.0075865492291294,0.0063334435763676,0.0057023378486929,0.0057027566584949,0.0062261837890597,0.006806587108959231
PIK3R1,0.0048999100705737,0.0066476485542071,0.0072888990270917,0.0060518111084117,0.0052457239916591,0.007337090318353,0.006446438020389,0.0035797322298319,0.0047616559862168,0.007126857521074,0.008370094638958,0.006775586146676599
TTK,0.0056747907833749,0.0050442620370243,0.0060439605058822,0.0047745451420556,0.0092188465700959,0.0074235678552775,0.0064454988246382,0.0049253387810025,0.0089888931245439,0.0023605249303127,0.006272102418946,0.00671723309731537
ZFHX3,0.0066307001516053,0.0091803977105419,0.0021310130477735,0.0013068862127644,0.0068137274277208,0.0057658633595341,0.0089656508233143,0.0004585622814064,0.0084352677327389,0.0079758942062443,0.0073483868483906,0.00650123498020345
KCNMA1,0.0089005402634076,0.0082923783718761,0.0070108451224576,0.0036501969454761,0.0061155634252965,0.0016022267019208,0.0055063305390248,0.0060170243216947,0.0079307298146844,0.0022748396480864,0.0071640092481625,0.006446468440208751
NRK,0.0025739008375656,0.0039325118977793,0.006138576112238,0.0064869696941212,0.006389076185535,0.0055835260416742,0.007106436323094,0.0070982788563971,0.0065350601078094,0.0059903671409836,0.0052466422562266,0.0063081345453424005
