Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
TP53,0.0774112129630092,0.071298777410593,0.0655486035564513,0.0607280054817481,0.0712345621800773,0.0747181396599241,0.0735799127685223,0.0925785140495273,0.0803801133739309,0.0863690919466467,0.0720690183281814,0.08259159517186115
PTEN,0.0870484736391239,0.0578682610138045,0.0718253517624133,0.0648193482822856,0.0578222906490231,0.089394543301786,0.0930021471651647,0.0757170373142052,0.06440808938012,0.0707162938813082,0.0624209050400926,0.0795042741429327
PPP2R1A,0.0481944734791861,0.0528874949956853,0.053511967798784,0.0442556007618899,0.0612046069467492,0.0543012368393276,0.0418681533546905,0.056653855458124,0.065756836103269,0.0650350640789084,0.0621010580667981,0.060577034788341214
ARID1A,0.0579088983052913,0.0507587777647903,0.0550733320897712,0.0602526230486786,0.0578751746974097,0.0706285264922308,0.0452107072042589,0.042417575261162,0.049289945646378,0.052454658001839,0.0637302930585075,0.06056005115703174
KRAS,0.0669944148432041,0.0603051525902347,0.0605753290414636,0.0672342491036803,0.0443681802810879,0.0380541831046741,0.040179248819641,0.0512885127363195,0.0422841118699849,0.0557703051529086,0.0404461848818075,0.05674998724250063
BCOR,0.025289192397989,0.0186483841213795,0.0454378006343817,0.0349403878457833,0.0472736969185443,0.019065567156157,0.0410214009148188,0.0262761969728502,0.0356670191089454,0.0409115242772869,0.0337818338123254,0.03683130041604615
RPL22,0.0259015457232888,0.0345966471731251,0.0289337032626498,0.0258477230688197,0.0332298650067202,0.039105256133001,0.0371777806004526,0.024151360935536,0.0339822370553025,0.02254420940375,0.0284628727034909,0.03339332010661366
RNF43,0.0216106491387392,0.0239093495191338,0.018083315752191,0.006978106274907,0.0241361048455194,0.0282135568689472,0.0302481644426575,0.0196764988550497,0.0212222318263402,0.0162728477564424,0.0237510428757494,0.023410186815567675
DOCK3,0.0156369299868462,0.0321316449690579,0.0189735958109971,0.0209822108097505,0.0268556154735492,0.0360557959615356,0.0116922847637542,0.0179141971079584,0.0220630974165838,0.0155931767863114,0.0146505138498955,0.02325490629362398
BCL11B,0.0111921064481327,0.0171862764344919,0.0283880743343847,0.0119334519446449,0.0252664105446333,0.0109529771517463,0.0117440189419692,0.0270614174491617,0.0166981713348148,0.0145891161352497,0.0112284468495337,0.018624046756876293
ESRP1,0.0195835007714019,0.0109833177862573,0.0176205429491422,0.0151368710384318,0.0165305681823036,0.021360059078023,0.0118664774070017,0.0133519431876765,0.0172064627655751,0.0196633353986441,0.017819892733663,0.018112297129812018
ACVR2A,0.0168791896195755,0.0156591869551251,0.0110951933162008,0.0182707574627039,0.0103653282109248,0.013035123299892,0.0119780567358965,0.020758121294611,0.0114340597530453,0.0230856628873776,0.0184836528925126,0.01710443324278651
CTCF,0.0141966630792573,0.0157407620003084,0.0135107917293948,0.0113797522236443,0.0144756456998669,0.0106146652514639,0.0148194443912748,0.0155913846995061,0.0141132891142029,0.0163527572642189,0.0135742450391644,0.015436940049230272
TNRC6B,0.0078772795986933,0.0191222046935484,0.0156711985283399,0.011000438833646,0.0117829693710451,0.014874724364914,0.0119170672148474,0.019212367780375,0.0175933122255887,0.012601132536786,0.0106411617700632,0.0152293856917847
CD93,0.0132504588075166,0.0075307108454918,0.019250829379302,0.0068940359987449,0.0221419399700038,0.0066629668051063,0.0199752593948951,0.0106785411072569,0.0130898627431247,0.0126136223067078,0.010643595244221,0.014273182260237091
ZFHX3,0.0130265213766738,0.0162456187635412,0.0092800968275122,0.0073347777456241,0.0049681052205028,0.0084761496491584,0.0047106825797749,0.0054623090722141,0.0169415368274633,0.0123373705751037,0.014077639413539,0.01128608080511075
CTNNA2,0.0103155541642735,0.0032037136970601,0.0115671072971839,0.0098268699883374,0.0094456249881204,0.0068540016062116,0.0146209005429894,0.011256834861499,0.0130025046411622,0.0117963627455227,0.0069958907676652,0.01088853653000254
NRK,0.0098533127863611,0.0085204477211291,0.0094428897285359,0.0143467591956351,0.0120253428247642,0.0066742120457033,0.0101528611480325,0.0093793354570902,0.0082378789777431,0.0127361366528451,0.0056630462646825,0.010703222280252212
MAF,0.0126311014622814,0.0100163657655494,0.0115042562730666,0.0085109682912094,0.0056359674632931,0.008013475466761,0.0099175447821132,0.0113289984867022,0.0164788682123441,0.0064080211539014,0.0048207722257768,0.01052663395829986
WASF1,0.0098573750392126,0.0118393642080454,0.0105454243729503,0.0107663420536863,0.0087861761213884,0.0090709459821024,0.0091592597809356,0.0072670963097227,0.0095881832329698,0.0089409976233402,0.008674712620454,0.01044958773448077
JAK1,0.0068926534911314,0.0067546993770827,0.0118219092213402,0.0116902949232497,0.0100986769412401,0.0098455604982039,0.0038799126890461,0.0087345643607123,0.0093243976428008,0.0087618878367793,0.0130743225522716,0.01008788795338581
FGFR2,0.0088245657900725,0.0084585922316668,0.0087942326770268,0.008201502345893,0.0119190068255052,0.0073662733985173,0.0102007366480126,0.009043737171487,0.0079974118813762,0.0108013365282596,0.009087536124705,0.0100694931622522
ARID5B,0.0105207068654984,0.0087365179885927,0.0061388310229784,0.0060592826715964,0.0107457238780731,0.0114955258226363,0.0101063247082927,0.0093870373521986,0.0033157752768725,0.0063311170002185,0.0125424785062587,0.00953793210932163
QKI,0.0074040173683362,0.0078435099242147,0.0071222829457163,0.0030170927355533,0.0106181455387771,0.0085360936534855,0.0152491990944586,0.0073703882154985,0.0074809616052487,0.0079807330923762,0.0103959949226075,0.00930184190962726
TTK,0.0075232891103691,0.0056894655692751,0.003109066804949,0.0145803569336443,0.0052897929605013,0.0079640111576303,0.0036279670620045,0.0133972469342292,0.0083965364405629,0.00748743147906,0.0125828110502741,0.008964797550249981
KCNMA1,0.0096176002319457,0.0079645611708587,0.0049092829600346,0.0065412455791492,0.0113247205334024,0.0062325958931817,0.0060920642689168,0.0095580854940488,0.0056915329576672,0.0081291236989563,0.0118341607115885,0.00878949734997499
DAZAP1,0.0082802701362974,0.0066804205252004,0.0075366185849014,0.0088080641607246,0.0095303389164847,0.0112780828716927,0.0070546105283298,0.0093453645231337,0.0044503387963244,0.0059303105310903,0.0062727663969924,0.008516718597117178
ZBTB20,0.0030117806985036,0.0127286499319338,0.0087286683737528,0.0090897409792343,0.0052322446567441,0.0109790665244834,0.0062437787828606,0.0040851817681768,0.0070341098144097,0.0049752725765697,0.0092580863327162,0.0081366580439385
ASH1L,0.0089099740292686,0.006112880774433,0.0086182134764693,0.0059160695964335,0.0079838044890533,0.0071015185021294,0.0062359571044514,0.0069161044183999,0.0065386517062164,0.0069457196389257,0.0092772437619077,0.00805561374976882
KMT2C,0.0072656166327408,0.0046960826723179,0.007469083567056,0.0064683215075635,0.0053163887252848,0.0058597451985387,0.0084054796726723,0.0091742622481618,0.0061314585731038,0.0064026948738288,0.007049293145694,0.007423842681696239
ZNF609,0.0077863927684321,0.0076012966719563,0.0101418709426115,0.0074912519837081,0.0099250507944381,0.0061361081559618,0.0055957563338457,0.0030728993486152,0.0038313503559556,0.0038593175053318,0.0069073317843845,0.007234862664524071
DTNA,0.0030602512793706,0.0084966191131489,0.0030088108543791,0.0057392098381849,0.0042841933734144,0.0068970233819764,0.0067553462863818,0.0050205396059633,0.0066681026363924,0.0070220596999993,0.0103901155324385,0.00673422716016496
ZNRF1,0.0089693565302471,0.0057059163453158,0.0041117523167054,0.0097436492908186,0.0001857074338188,0.0053137863735532,0.0040266380835677,0.0109947283448093,0.0058089656912635,0.0034379512921496,0.00877151283687,0.006706996453911901
PTENP1,0.006198456132004,0.0030861747282297,0.0068706858353455,0.0067524574245816,0.0036621497099942,0.007049448220678,0.0021737697386267,0.0040019450464598,0.007218612843462,0.0101326814807691,0.0097231685548738,0.00668695497150244
HAS2,0.0084529878839201,0.0036019371224488,0.002564692024857,0.0066495618015672,0.0007965882522511,0.0084415251386182,0.0038669497160998,0.008078364391488,0.0081671593022789,0.0080559735161403,0.0077986873391345,0.00664744264888039
CCND1,0.0062697453335893,0.0053798868167012,0.0069237216263281,0.0066249980714018,0.0063012784797781,0.0041829316588647,0.0044703966948325,0.0052514229323315,0.0073133949343818,0.0060889802982722,0.0051706718544532,0.00639774287009344
CPEB2,0.0060239680065073,0.006388382827644,0.0061911027349063,0.0067268684633517,0.0039074422815792,0.0030846542640921,0.0031970493750037,0.0046778782095658,0.0049390224779843,0.0084840150789476,0.007512179278935,0.0061132562998517
CNTLN,0.0039104605379514,0.0058227606360287,0.0038394424823436,0.0063207270092303,0.0030904576687972,0.0091144105281583,0.0083871845318697,0.0064446967182634,0.0025115111194789,0.0040673684548926,0.0041697631692612,0.00576787828562753
LRRC4,0.0043090534306945,0.0104515453693404,0.005645078440305,0.006283470701708,0.0031269972584319,0.0035269350013155,0.006165193238939,0.008030813402308,0.0013582050812398,0.0041507091199705,0.0029573147478563,0.00560053157921089
API5,0.0042683512349164,0.0047015112683408,0.002087323829374,0.0133834182152052,0.0014980711088107,0.0040080826818634,0.0071034834023919,0.0043535804144758,0.0041681092664707,0.0014244686955783,0.0049300877955719,0.00519264879129991
SETD1B,0.003130104401765,0.002406722125276,0.007207553416357,0.0066627883602796,0.0035517136659188,0.0030540361458674,0.0037568969025049,0.0029901896543773,0.0076315558197133,0.0045323217015949,0.0062073249048593,0.00511312070985135
PCNP,0.0062674737580822,0.0071748965491577,0.0050573154280552,0.0075734977684675,0.0054079898745561,0.0026060477297945,0.0028637521578703,0.0010616281370691,0.0044012543848935,0.0028557673763068,0.0055428010224907,0.0050812424186743605
NCOA3,0.0021309345106592,0.0021743117971798,0.0074501947896805,0.0093369794076953,0.0029580678825117,0.0052235128564676,0.006456235383894,0.0016009654213738,0.0029121304057347,0.0050398475183935,0.0045587261135396,0.00498419060871297
PCDH9,0.0038361402841118,0.004072059343316,0.0048358026576086,0.003088144828942,0.0055739254836538,0.0046743691939456,0.0063086137627559,0.0027444240831494,0.0062332574192284,0.0034594151992233,0.0016471812166182,0.004647333347255299
INPPL1,0.0059957050450061,0.0033676007269852,0.003891650029252,0.004826903847842,0.0043235278219845,0.0030255330806775,0.0044086475974631,0.0019877869926407,0.0030947723311251,0.0050356950532342,0.0058344002327215,0.004579222275893189
EPN2,0.006505749848894,0.0019287250106571,0.0055917051916803,0.0061525222300134,0.0011664919243979,0.0029228024905996,0.0034673693045324,0.0045168828795535,0.0033364068942418,0.001679406485376,0.0055003623473032,0.00427684246072492
DONSON,0.0035050726032519,0.0069154536679032,0.0008992645648573,0.0053637744788348,0.0030329094976253,0.003352458380273,0.0021924827766715,0.0016576320342408,0.0059535539437419,0.0060004623958741,0.0030440341907254,0.00419170985339992
DRD5,0.0032291201887017,0.0077933579956248,0.0020605054392222,0.0008382557419579,0.0034631800318959,0.0054455325270033,0.0049214160137107,0.0032704976193218,0.0007801639130696,0.0050286727830663,0.0050473080672159,0.00418780103207901
ZMIZ1,0.0051675724351635,0.0040721941861995,0.0034073410947704,0.003127668130594,0.0081156961760299,0.0043556996289596,0.0043077929500153,0.0002291726906731,0.0018782297584794,0.0043381633482535,0.0027474449609492,0.00417469753600874
RNF2,0.0023823815188617,0.0061240722295804,0.0048821951307545,0.0032297849091794,0.0017853850400209,0.0031737234711622,0.0039105774980846,0.0043857259713491,0.003804923358755,0.0035823008739826,0.0042449005593687,0.00415059705610991
CSNK1G1,0.0030268262984227,0.0034757714699566,0.0025439643845949,0.002561259562266,0.0051876668511178,0.002351374219368,0.0042213020324375,0.0015223471629878,0.0047306896020837,0.0030978889067309,0.0077194462077334,0.00404385366976993
GRIA2,0.0029574430825132,0.0016460203028193,0.0024399920755254,0.0054281754390897,0.0052934727468249,0.004543820070105,0.0033456588264939,0.0042716286867589,0.0020207748531458,0.0044532055679408,0.0039688619286053,0.004036905357982221
RBFOX1,0.0035760307752777,0.0002061798239228,0.0033436029282932,0.0067184955835545,0.0030959295198183,0.0042777658068592,0.0024125875254335,0.0045855910756978,0.0012162238354579,0.0046469814081369,0.0044923335409566,0.00385717218234084
DDX17,0.0066030314439364,0.0040382516091125,0.0036431712056109,0.0016909528113164,0.0050305086561525,0.0002735611075781,0.0064148223986507,0.0050159154665449,0.0023316944856226,0.0025503085889919,0.0006549906387556,0.00382472084122725
FAM46A,0.0040353482247421,0.0037767383419932,0.0048715279939443,0.0029148075628796,0.0043598015436603,0.0035705932372428,0.0027847095559166,0.0047418149045037,0.0021026747966016,0.0016584088385612,0.0031410804620381,0.00379575054620835
BCL11A,0.0032301287624843,0.0031855986046182,0.0020683100254955,0.0033639795094486,0.0044117469507368,0.0043298245116977,0.0029634218734624,0.0036463550015596,0.0034920626054937,0.0032624556549866,0.0025828174811776,0.0036536700981161
LMAN1,0.0011462579234919,0.0062523653233672,0.0031134351787408,0.0008880878238612,0.0056005949686099,0.0030562308921379,0.0026166347111841,0.0035942588099624,0.0061384764482048,0.0019526136235397,0.0018826916848608,0.00362416473879607
TRIM9,0.0031842358001465,0.0052878147663163,0.0021381814239953,0.0029094244263578,0.001924300043873,0.0040926660830606,0.0033813725101795,0.0019498583556017,0.0039676285008669,0.0020829767593385,0.0040671063486932,0.0034985565018429295
ARID1B,0.0046445878171494,0.0037808852687322,0.0051263649211413,0.0025815175633502,0.000855549587775,0.0020479948433926,0.0045588109637486,0.0016242596700665,0.0051573162824309,0.0019041146821104,0.0019139328007062,0.00341953344006033
FBN2,0.0031752151546718,0.0,0.0004420824837824,0.0100056888066918,0.004670883459295,0.0019286916984098,0.0022869278534752,0.0005172654768459,0.0016331156213159,0.0048384438703899,0.0036585262920849,0.0033156840716962593
MBD6,0.0024082782039642,0.0033803068640235,0.0015286743205953,0.0021443176969776,0.0028771118450521,0.003264168378087,0.0024625988742793,0.0051589773904037,0.004433970351576,0.0016151157213834,0.0028422751820149,0.0032115794828357002
SHCBP1L,0.0025189966366795,0.0034096645953734,0.0024317413888768,0.0032260778185433,0.0042786968544027,0.0028302144172205,0.0017387693481873,0.0034251846505722,0.0027594042757264,0.002540699992993,0.0027522887157934,0.00319117386943685
TTC3,0.0022255460916745,0.0022454850841566,0.0022760921365262,0.0039355120247104,0.0034782202885527,0.0021919499393813,0.0045488318843518,0.0035488782752628,0.004282522743416,0.0013175877376991,0.0015993711525766,0.0031649997358308
RBM25,0.0018551542654151,0.0028989927898541,0.0030155649492021,0.0031210927496923,0.0036746741319598,0.0032612540182104,0.0038239973648157,0.0034015357977882,0.0009368340207567,0.0022513774763454,0.0033140973204982,0.0031554574884538
NCOR2,0.0037153078864518,0.0010957195550257,0.0011158376440484,0.0035951558798345,0.0054661960842178,0.0023745771734612,0.0,0.0007289433654594,0.0083644267010864,0.0018008609498782,0.0030284698652218,0.0031285495104685203
POF1B,0.0013177648191816,0.0044441050652766,0.0013347322446014,0.0029662307293051,0.0032316709343356,0.0036302474098301,0.0033205503292862,0.0019105113140844,0.0024333543476092,0.0026865891180589,0.0035188205839569,0.0030794576895526
GPAT2,0.0032755720316844,0.0033833247474018,0.0036329400009668,0.0014065647924505,0.0018048301481005,0.0038432841020103,0.001827029975306,0.0032304601210216,0.0032740445930144,0.0009948599354053,0.0036615592362137,0.0030334469683575304
BCORL1,0.0033827230836935,0.004858899582866,0.0022313236012259,0.0031242441813146,0.0052482193675897,0.0006532146004015,0.0017972037169353,0.0047866682634927,0.0005290252885607,0.0020962520317066,0.0016202526788567,0.0030328026396643196
SIK1,0.0016943490681368,0.0017641779865668,0.0033845380210141,0.003505368366651,0.0028488064865402,0.0017446930040382,0.0017862735106969,0.003672441546854,0.0023911325671058,0.0057885132626718,0.001661395128668,0.00302416889489436
NF1,0.0040672638936346,0.0029328050048648,0.003202726191476,0.0039645752150551,0.0014083608216403,0.0038050305223597,0.0009727078552507,0.0049862572270975,0.0025362289009544,0.0006865441315199,0.0013742465398511,0.00299367463037041
DDHD1,0.0010841461871847,0.0043619211393831,0.0027281006192685,0.0040890117944054,0.0034966977463933,0.0028771017306991,0.002222723759627,0.0062555702075527,0.0006895990033832,0.0001000224041138,0.0017431907764755,0.00296480853684863
NSD1,0.0063619824336157,0.0042301714113236,0.0,0.0029413206032596,0.0015309759685734,0.0048397098658465,0.0018131312079173,0.0021717874266322,0.0022341255702735,0.0013499474110285,0.0021314975724214,0.00296046494708917
PLAG1,0.0011541702994805,0.0028805441793642,0.0044304848395316,0.0028629710381805,0.004466738096368,0.0037539245488799,0.001668689778964,0.0021842271728004,0.0028734637726377,0.0009763260718921,0.0022059738997358,0.0029457513697834694
TPD52,0.0027197148642525,0.0018859033861036,0.002712253519394,0.0017978716281768,0.0020466787322452,0.0018696931955241,0.0040891663623659,0.0012675856478326,0.0010238460884224,0.0078413475013598,0.0017159124710302,0.0028969973396707096
SHC1,0.0027821154436503,0.0019915134686982,0.001995011399915,0.0040009199440496,0.0048492708092899,0.0013810870492263,0.002801688087127,0.0028473640196771,0.0026495368925268,0.0017070008581359,0.0018971636991995,0.0028902671671495604
ST8SIA4,0.0025656805634193,0.0022270638495775,0.0010320341521848,0.002309810161302,0.0030929304843158,0.0028995826914499,0.0018073320665314,0.0013538392307601,0.0023487951449045,0.0025020956310125,0.0066485226796956,0.0028787686655153398
