Mutation,Gini0,Gini1,Gini2,Gini3,Gini4,Gini5,Gini6,Gini7,Gini8,Gini9,Gini10,Gini_AVG
HAS2,0.0842531169246763,0.0827604879675965,0.1054810363778326,0.0777481492707779,0.0765720414142061,0.0914645590424527,0.0459315489976074,0.0996609363975682,0.0815298476548044,0.090052490043467,0.084902569839206,0.09203567839301952
GRM8,0.0625050390326897,0.0479080590601409,0.0571625439277466,0.0238440175733262,0.0594613277681996,0.0483417721808415,0.044353063805377,0.0475820963925648,0.025419782633236,0.0338337787805558,0.0470191861185937,0.04974306672732719
DYNC2LI1,0.0428063265829867,0.0423480658053015,0.0101050429934382,0.0313082605654323,0.0364961473716047,0.0354212501888156,0.0328159889692003,0.0346920016108259,0.0461872796803831,0.032695430059932,0.0396359517601277,0.0384511745588048
MMP16,0.0198154279878715,0.0416490250885163,0.0289173581075934,0.0327683175936542,0.0452695369570479,0.0269039102457327,0.0373232679102418,0.0273030214374095,0.0320546954303592,0.0331772996509754,0.0323910442194744,0.03575729046288763
ESF1,0.0332122774159599,0.0227670907628808,0.0280772802880507,0.0259852070056244,0.0301139011987876,0.0327275076110264,0.0244166910270103,0.0348748960267069,0.0342847228564634,0.0285213694356146,0.0313527343216106,0.03263336779497357
MESDC1,0.0173050239583441,0.0247906617409899,0.0356582584724024,0.0301967079695884,0.0323603594017325,0.031417190046235,0.025714984058196,0.0319961030339117,0.0277275342701284,0.0344483226566988,0.0282494460242463,0.03198645916324735
NRIP1,0.037515515653545,0.0214195010893826,0.0314062306799455,0.0326792018317233,0.0241211927142113,0.0303770046095166,0.0356645056268616,0.0349974271044392,0.0320731534638617,0.0185908155136011,0.0207702989888492,0.031961484727593706
UBE2G1,0.0259359430242779,0.0201247042167307,0.0327899543127046,0.0341922776634993,0.0323224095669595,0.0228962419645424,0.0306830900010166,0.0400112553312447,0.0259348060856578,0.0245995762693208,0.0268028339942657,0.031629309243022
CASP7,0.0339302628134326,0.001516973816788,0.0109340777124932,0.0355622589481552,0.0309998118554698,0.0335546968733535,0.0383759545358566,0.0383044560530636,0.0299754865268529,0.0250961859726069,0.0348905272403795,0.03131406923484518
STAMBP,0.031894854494085,0.0309636903020122,0.0008988578745365,0.0,0.0293986171486424,0.0336555898013373,0.031091117929763,0.0234932510967302,0.0384943756320845,0.035072630044411,0.035388610167411,0.02903515944910131
DNAJC7,0.0237373427795497,0.0219794851529032,0.0273033908557997,0.0256692200468629,0.0280508024987771,0.0246284010318866,0.0265290518280317,0.0236559898939472,0.0046504003110183,0.0213777332876194,0.0264793781267028,0.02540611958130986
C1R,0.0248950121249832,0.0246892427978354,0.0276969587907565,0.0255838906245557,0.0276685846948348,0.0296923657196163,0.0270107590921025,0.0004768215228939,0.0022929460780787,0.030751872156325,0.0288011054215462,0.02495595590235282
TOX,0.023703438902887,0.0239252959084838,0.017032593386786,0.0118370753884701,0.0144637372804988,0.0264663505559147,0.0222741435869271,0.0211224048230407,0.0195067224864109,0.0228998946265834,0.0143176525743486,0.02175493095203511
SEPHS1,0.0148060305163292,0.0275199691627123,0.0228793982742602,0.0226666399439365,0.0198946791453973,0.0199313711287237,0.0055672137514357,0.0175105108733685,0.0195096997753004,0.0177844834543029,0.0229482180581395,0.02110182140839062
SLC44A1,0.0235534539979549,0.0202127500256855,0.0179890751636339,0.0162337466506863,0.0175667655717101,0.0183253291393428,0.0225571847181166,0.0139855595893192,0.0192262367369171,0.0213018453646756,0.01167057124635,0.020262251820439198
PDCD6IP,0.0003158803509625,0.0157494765907564,0.0243230953970054,0.021925631436101,0.0274724431792857,0.0239009690063659,0.0229793466313845,0.0,0.0240330279394186,0.020824907029043,0.0201723595433406,0.020169713710366362
VEGFA,0.0261073523692261,0.0234760857220449,0.0156701965307421,0.0149185463078127,0.0151657176685015,0.0131939133454043,0.0040960913681012,0.0208159429648646,0.0192200062871069,0.0241904836556936,0.0148733127037356,0.01917276489232335
KRT28,0.0120023841458786,0.0123754110134937,0.0264511017740801,0.0185841993258521,0.014815025581486,0.0170481601813464,0.0186928669205245,0.0171337660812088,0.0146407637226795,0.0154984479019377,0.0201881729590849,0.018743029960757232
CWF19L2,0.0115651328695747,0.0115537778707076,0.0191651746386212,0.0243047905391254,0.0171251716828777,0.010519995097243,0.0194239550123112,0.0180341810439445,0.0236778837747215,0.0143031145031007,0.0167062458283524,0.01863794228605799
ABHD13,0.0106791403510256,0.0224896356370547,0.026460554236209,0.0196231918537015,0.013582994728276,0.0093967804876376,0.0140895297813554,0.0184643335765861,0.009489632746664,0.0278801719046927,0.010174117412184,0.018233008271538658
B4GALNT4,0.0225519202611575,0.0175570872302962,0.0043437022109793,0.0061703478477871,0.0207968469989296,0.0114405776914243,0.0281768184626357,0.0097753684086701,0.0179743556530892,0.0131618581883877,0.0209129073971592,0.017286179035051592
BTBD11,0.0108447226578143,0.0181175157386261,0.0047834561653992,0.0317067050330427,0.0190906267698349,0.0118117889523842,0.0142688914355337,0.0207527134818815,0.0080814224764426,0.0190322269887882,0.0136636171445715,0.017215368684431895
PXDN,0.0194947458010134,0.0123558218441696,0.0183912442172466,0.014935556448388,0.0041898941315728,0.0151420888697823,0.0182049422918855,0.017634008754221,0.0215627948750492,0.0203562007044413,0.0097154719987146,0.017198276993648433
HOXD10,0.007537381899273,0.0239862448674508,0.011299419450925,0.0161996069735573,0.0059192065320741,0.0125406365359263,0.0203197109940086,0.0201694120332672,0.0226231358837828,0.0224094212364063,0.0074531366352521,0.01704573130419235
SIKE1,0.0161005464710877,0.0253675186067344,0.0059953506872577,0.0084712475338855,0.0094196614351777,0.0142754306273946,0.009232521317577,0.0210086913306309,0.0215590137771721,0.0079643931446811,0.0140924370808124,0.015348681201241107
ELAVL2,0.0151922038246964,0.0203060459843255,0.0033512677426351,0.0197182645810973,0.0120980969464604,0.009815105849859,0.0298877085087268,0.0065118221949542,0.0084691825092271,0.0114064869463141,0.013668231598105,0.015042441668640095
TCEAL1,0.0171499619291394,0.0104660411953172,0.0115429047507637,0.0259204020647943,0.0144703194651717,0.0108398088003862,0.0147778128338592,0.0090061117085658,0.0156973089996116,0.0061669045101505,0.0093047116650736,0.014534228792283322
ZBTB46,0.0173664951305494,0.0140243127536016,0.0096951734155526,0.0150133708161845,0.0135621336885198,0.0164770336599457,0.0025047799309441,0.012462364791364,0.0135202002808719,0.0143039163101367,0.0119684566869165,0.014089823746458683
CDC25A,0.0178961456183753,0.0078855370543632,0.0124879794180441,0.0146302350471619,0.006401636691745,0.0167160264036043,0.0119606441045122,0.0117612645091435,0.0217252834663251,0.0071786798443655,0.0115247129637084,0.01401681451213485
ARF5,0.0089540436524237,0.0177016772198557,0.0167676925233603,0.0126372779248353,0.0120087454823637,0.0167840222223146,0.02333806230054,0.003179725532949,0.0086134006309693,0.0159727167757637,0.0023666517519237,0.0138324016017299
