Name,Value
NC1,155
NC2,4
C1,2
NC3,201
NC4,1
NC5,3
NC6,5
NC7,4
NC8,3
NC9,52
NC10,2
C2,592
C3,141
NC11,3
NC12,3
NC13,1
NC14,5
NC15,97
NC16,3
C4,6
NC17,1
NC18,3
C5,240
NC19,3
NC20,1
C6,199
NC21,253
NC22,3
C7,6
NC23,2
C8,193
NC24,562
NC25,2
NC26,0
NC27,0
NC28,2
NC29,4
NC30,190
NC31,22
C9,77
NC32,4
NC33,3
C10,6
NC34,279
NC35,216
NC36,3
NC37,528
C11,106
NC38,82
NC39,84
C12,72
C13,123
C14,108
NC40,3
C15,233
C16,577
C17,385
C18,80
NC41,2
NC42,2
NC43,1
NC44,2
C19,26
NC45,1
C20,5
NC46,1757
C21,214
NC47,104
NC48,1
NC49,3
NC50,82
NC51,3
NC52,3
C22,393
NC53,2
NC54,2
NC55,2
C23,2
NC56,3
NC57,1
NC58,2
NC59,1
NC60,10
C24,262
C25,518
NC61,315
NC62,177
NC63,3
NC64,285
NC65,2
NC66,97
NC67,3
C26,199
NC68,168
NC69,3
NC70,2
NC71,1
NC72,3
NC73,2
NC74,3
NC75,2
NC76,3
C27,121
C28,167
C29,3
NC77,1
NC78,5
C30,129
C31,1
NC79,2
C32,314
C33,2
C34,32
NC80,84
NC81,1
C35,30
NC82,2
NC83,3
NC84,183
NC85,4
C36,2
C37,0
C38,8
NC86,1
NC87,37
NC88,2
C39,3
NC89,5
NC90,24
C40,2
NC91,2
NC92,494
NC93,4
NC94,1
NC95,3
C41,98
C42,132
NC96,2
NC97,4
NC98,2
NC99,5
NC100,321
NC101,2
NC102,393
NC103,3
NC104,5
NC105,3
NC106,151
NC107,3
NC108,2
NC109,1
C43,7
NC110,3
NC111,2
C44,21
NC112,23
C45,26
C46,0
NC113,4
NC114,1
NC115,3
NC116,2
C47,5
NC117,2
C48,27
NC118,1
C49,256
NC119,7
C50,295
C51,119
NC120,4
NC121,3
NC122,2
NC123,4
C52,126
C53,7
NC124,3
NC125,10
NC126,5
NC127,4
NC128,1
NC129,1
NC130,20
NC131,20
C54,92
C55,2
NC132,4
NC133,5
C56,66
NC134,3
C57,2
C58,37
NC135,2
C59,3
NC136,1
C60,29
NC137,6
NC138,4
NC139,1
NC140,19
NC141,2
NC142,249
NC143,3
NC144,4
NC145,23
NC146,3
C61,39
NC147,5
C62,58
NC148,3
C63,45
NC149,3
NC150,6
NC151,3
NC152,5
NC153,3
NC154,27
NC155,2
NC156,0
C64,2
NC157,2
NC158,5
NC159,5
NC160,2
NC161,2
C65,3
NC162,254
NC163,114
C66,64
C67,27
C68,68
C69,25
NC164,14
NC165,3
C70,35
NC166,10
NC167,43
NC168,2
NC169,5
C71,28
NC170,1
NC171,381
C72,10
NC172,4
C73,6
C74,27
NC173,41
NC174,2
NC175,2
NC176,2
C75,115
C76,137
NC177,2
NC178,7
C77,54
NC179,3
C78,157
C79,22
C80,6
NC180,2
NC181,3
NC182,0
NC183,4
NC184,2
C81,161
NC185,2
NC186,2
NC187,351
NC188,127
C82,108
NC189,2
NC190,29
NC191,279
NC192,4
NC193,3
NC194,2
NC195,3
NC196,0
NC197,1
NC198,1
NC199,856
NC200,6
NC201,557
NC202,116
C83,208
C84,24
NC203,104
NC204,67
NC205,3
NC206,2
NC207,4
C85,500
C86,167
NC208,132
C87,494
NC209,747
C88,1
NC210,0
NC211,3
NC212,2
C89,150
NC213,333
NC214,284
NC215,128
NC216,671
NC217,4
NC218,2
NC219,2
C90,338
NC220,4
NC221,2
NC222,81
NC223,3
C91,70
C92,3
NC224,434
NC225,4
C93,158
C94,1
NC226,2
NC227,45
NC228,3
C95,91
NC229,2
NC230,2
C96,4
C97,164
NC231,0
NC232,2
C98,3
C99,104
NC233,1
NC234,1
NC235,2
C100,189
NC236,193
NC237,1
C101,2
C102,108
NC238,1
NC239,3
NC240,1
NC241,1
NC242,25
NC243,113
NC244,146
NC245,2
C103,128
NC246,1
NC247,1
NC248,266
NC249,3
C104,96
NC250,448
C105,168
NC251,1
NC252,1
NC253,4
NC254,4
C106,114
NC255,1
NC256,1
NC257,3
NC258,2
NC259,0
NC260,2
NC261,2
NC262,2
NC263,2
NC264,3
NC265,1
NC266,3
C107,77
NC267,159
C108,1
NC268,110
NC269,31
NC270,1
NC271,97
