Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
All,0,3,1,5,14,0.7391304347826086,0.375,0.9333333333333333,0.75,0.625,0.25,0.2631578947368421,0,0,8085
All,1,4,0,5,14,0.782608695652174,0.4444444444444444,1.0,1.0,0.5555555555555556,0.0,0.2631578947368421,0,0,8085
All,2,4,1,3,15,0.8260869565217391,0.5714285714285714,0.9375,0.8,0.42857142857142855,0.2,0.16666666666666666,0,0,8085
All,3,5,1,7,10,0.6521739130434783,0.4166666666666667,0.9090909090909091,0.8333333333333334,0.5833333333333334,0.16666666666666666,0.4117647058823529,0,0,8085
All,4,9,0,5,9,0.782608695652174,0.6428571428571429,1.0,1.0,0.35714285714285715,0.0,0.35714285714285715,0,0,8085
All,5,7,1,3,12,0.8260869565217391,0.7,0.9230769230769231,0.875,0.3,0.125,0.2,0,0,8085
All,6,5,1,4,13,0.782608695652174,0.5555555555555556,0.9285714285714286,0.8333333333333334,0.4444444444444444,0.16666666666666666,0.23529411764705882,0,0,8085
All,7,7,1,3,12,0.8260869565217391,0.7,0.9230769230769231,0.875,0.3,0.125,0.2,0,0,8085
All,8,5,0,4,14,0.8260869565217391,0.5555555555555556,1.0,1.0,0.4444444444444444,0.0,0.2222222222222222,0,0,8085
All,9,6,0,6,11,0.7391304347826086,0.5,1.0,1.0,0.5,0.0,0.35294117647058826,0,0,8085
All,10,7,0,2,14,0.9130434782608695,0.7777777777777778,1.0,1.0,0.2222222222222222,0.0,0.125,0,0,8085
