Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Chi>7.68,0,6,1,4,12,0.782608695652174,0.6,0.9230769230769231,0.8571428571428571,0.4,0.14285714285714285,0.25,0,0,383
Chi>7.68,1,6,2,2,13,0.8260869565217391,0.75,0.8666666666666667,0.75,0.25,0.25,0.13333333333333333,0,0,383
Chi>7.68,2,8,1,3,11,0.8260869565217391,0.7272727272727273,0.9166666666666666,0.8888888888888888,0.2727272727272727,0.1111111111111111,0.21428571428571427,0,0,383
Chi>7.68,3,6,1,1,15,0.9130434782608695,0.8571428571428571,0.9375,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0625,0,0,383
Chi>7.68,4,5,2,3,13,0.782608695652174,0.625,0.8666666666666667,0.7142857142857143,0.375,0.2857142857142857,0.1875,0,0,383
Chi>7.68,5,8,1,4,10,0.782608695652174,0.6666666666666666,0.9090909090909091,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.2857142857142857,0,0,383
Chi>7.68,6,4,1,2,16,0.8695652173913043,0.6666666666666666,0.9411764705882353,0.8,0.3333333333333333,0.2,0.1111111111111111,0,0,383
Chi>7.68,7,10,2,3,8,0.782608695652174,0.7692307692307693,0.8,0.8333333333333334,0.23076923076923078,0.16666666666666666,0.2727272727272727,0,0,383
Chi>7.68,8,10,1,2,10,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.16666666666666666,0.09090909090909091,0.16666666666666666,0,0,383
Chi>7.68,9,7,3,1,12,0.8260869565217391,0.875,0.8,0.7,0.125,0.3,0.07692307692307693,0,0,383
Chi>7.68,10,8,0,4,11,0.8260869565217391,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.26666666666666666,0,0,383
