Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,0,6,1,2,14,0.8695652173913043,0.75,0.9333333333333333,0.8571428571428571,0.25,0.14285714285714285,0.125,0,0,845
Pval<0.05,1,7,0,1,15,0.9565217391304348,0.875,1.0,1.0,0.125,0.0,0.0625,0,0,845
Pval<0.05,2,7,0,2,14,0.9130434782608695,0.7777777777777778,1.0,1.0,0.2222222222222222,0.0,0.125,0,0,845
Pval<0.05,3,8,1,2,12,0.8695652173913043,0.8,0.9230769230769231,0.8888888888888888,0.2,0.1111111111111111,0.14285714285714285,0,0,845
Pval<0.05,4,12,0,2,9,0.9130434782608695,0.8571428571428571,1.0,1.0,0.14285714285714285,0.0,0.18181818181818182,0,0,845
Pval<0.05,5,8,1,0,14,0.9565217391304348,1.0,0.9333333333333333,0.8888888888888888,0.0,0.1111111111111111,0.0,0,0,845
Pval<0.05,6,11,0,3,9,0.8695652173913043,0.7857142857142857,1.0,1.0,0.21428571428571427,0.0,0.25,0,0,845
Pval<0.05,7,9,1,3,10,0.8260869565217391,0.75,0.9090909090909091,0.9,0.25,0.1,0.23076923076923078,0,0,845
Pval<0.05,8,6,0,3,14,0.8695652173913043,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0,0,845
Pval<0.05,9,6,0,5,12,0.782608695652174,0.5454545454545454,1.0,1.0,0.45454545454545453,0.0,0.29411764705882354,0,0,845
Pval<0.05,10,6,1,1,15,0.9130434782608695,0.8571428571428571,0.9375,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0625,0,0,845
