Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
TP4_FP0,0,5,0,4,14,0.8260869565217391,0.5555555555555556,1.0,1.0,0.4444444444444444,0.0,0.2222222222222222,0,0,57
TP4_FP0,1,4,0,5,14,0.782608695652174,0.4444444444444444,1.0,1.0,0.5555555555555556,0.0,0.2631578947368421,0,0,57
TP4_FP0,2,2,0,8,13,0.6521739130434783,0.2,1.0,1.0,0.8,0.0,0.38095238095238093,0,0,57
TP4_FP0,3,3,0,6,14,0.7391304347826086,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3,0,0,57
TP4_FP0,4,6,0,5,12,0.782608695652174,0.5454545454545454,1.0,1.0,0.45454545454545453,0.0,0.29411764705882354,0,0,57
TP4_FP0,5,2,0,4,17,0.8260869565217391,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.19047619047619047,0,0,57
TP4_FP0,6,4,0,6,13,0.7391304347826086,0.4,1.0,1.0,0.6,0.0,0.3157894736842105,0,0,57
TP4_FP0,7,2,0,3,18,0.8695652173913043,0.4,1.0,1.0,0.6,0.0,0.14285714285714285,0,0,57
TP4_FP0,8,3,0,6,14,0.7391304347826086,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3,0,0,57
TP4_FP0,9,8,0,3,12,0.8695652173913043,0.7272727272727273,1.0,1.0,0.2727272727272727,0.0,0.2,0,0,57
TP4_FP0,10,5,0,6,12,0.7391304347826086,0.45454545454545453,1.0,1.0,0.5454545454545454,0.0,0.3333333333333333,0,0,57
