Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Chi>3.84,0,6,2,1,14,0.8695652173913043,0.8571428571428571,0.875,0.75,0.14285714285714285,0.25,0.06666666666666667,0.9553571428571428,0.956168831168831,893
Chi>3.84,1,5,0,1,17,0.9565217391304348,0.8333333333333334,1.0,1.0,0.16666666666666666,0.0,0.05555555555555555,0.9901960784313726,0.875901875901876,893
Chi>3.84,2,9,2,3,9,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.25,0.18181818181818182,0.25,0.8712121212121212,0.9398599970291146,893
Chi>3.84,3,6,2,0,15,0.9130434782608695,1.0,0.8823529411764706,0.75,0.0,0.25,0.0,1.0,1.0,893
Chi>3.84,4,6,0,3,14,0.8695652173913043,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.9325396825396824,0.8943256090314915,893
Chi>3.84,5,5,0,3,15,0.8695652173913043,0.625,1.0,1.0,0.375,0.0,0.16666666666666666,0.975,0.9736111111111111,893
Chi>3.84,6,6,2,2,13,0.8260869565217391,0.75,0.8666666666666667,0.75,0.25,0.25,0.13333333333333333,0.925,0.920405982905983,893
Chi>3.84,7,7,2,1,13,0.8695652173913043,0.875,0.8666666666666667,0.7777777777777778,0.125,0.2222222222222222,0.07142857142857142,0.9583333333333334,0.8935124269005847,893
Chi>3.84,8,8,1,1,13,0.9130434782608695,0.8888888888888888,0.9285714285714286,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.07142857142857142,0.9841269841269841,0.960273368606702,893
Chi>3.84,9,7,1,4,11,0.782608695652174,0.6363636363636364,0.9166666666666666,0.875,0.36363636363636365,0.125,0.26666666666666666,0.9015151515151515,0.9619662534435263,893
Chi>3.84,10,9,1,2,11,0.8695652173913043,0.8181818181818182,0.9166666666666666,0.9,0.18181818181818182,0.1,0.15384615384615385,0.9469696969696969,0.9669117647058824,893
