Mutation,Value
PTEN,0.059387881840525444
CTNNB1,0.0570740698095844
TP53,0.04762772777674523
PPP2R1A,0.04057873465294373
KRAS,0.040218391172864985
ARID1A,0.038381375251211776
PIK3CA,0.02918480864524958
BCOR,0.0260955937060421
RPL22,0.022246169671820318
MUC4,0.017108454182421688
ACVR2A,0.014306836598319765
DOCK3,0.01331123367511149
FBXW7,0.011130302716349325
TNRC6B,0.010559958094564545
JAK1,0.01024888810308337
BCL11B,0.009670387273334347
PTENP1,0.009429745728191241
SPOP,0.009118466539761321
KCNMA1,0.008900540263407685
KIAA1024,0.008553515992839551
CCND1,0.008512998073123413
CTCF,0.008301018541493623
WASF1,0.008146548153696441
ESRP1,0.008048333154053684
PDS5B,0.00798613023852015
CD93,0.007626715477201368
FGFR2,0.007568199197742193
AMMECR1,0.0074055423954705645
RNF43,0.007133617128922777
EYS,0.006772348368374187
CHD4,0.00666791226494517
ZFHX3,0.006630700151605362
ARID5B,0.0064881094130096635
LRRC4,0.006398678843237206
API5,0.006323010129564896
CNTLN,0.005989277878403024
ZNRF1,0.00587083904305496
MAF,0.005833352747084706
TTK,0.005674790783374913
ZBTB20,0.005288670067241655
DTNA,0.005163883917827761
SYNE1,0.004949599067252658
QKI,0.004904955804787223
PIK3R1,0.0048999100705737235
SIK1,0.004510291538642416
MUM1L1,0.00448422036557454
HAS2,0.004325695311657689
SCAF4,0.004278042112721015
NCOR2,0.004066412500368251
TRIM51,0.00406312031800278
RNF2,0.003984327452261621
CTNNA2,0.0038272519109381455
RBFOX1,0.0037673664759615335
AFF1,0.0037496390606647557
ATF7IP,0.003549456513937321
CSMD3,0.0035080380318319115
DAZAP1,0.003363891654112793
ASH1L,0.0033440609771130786
DDHD1,0.0033276837921837627
MED12L,0.00326815937081325
NCOA3,0.003267748895617335
SLC6A6,0.0032599956254661237
RC3H1,0.0031250499620545506
TPTE,0.0031208560979966633
GPM6A,0.0030763869740438755
KCNA4,0.0029661178617873944
FAM222A,0.002949257130522284
PCNP,0.0028849814708773276
DPF3,0.002757314244431845
MED13,0.002695172942699834
INPPL1,0.0026833317427365838
FBN2,0.002611867960524468
ZMIZ1,0.0025874740653379098
NRK,0.0025739008375656154
LMAN1,0.002420206132989318
NOL4,0.002398719103113713
MECOM,0.0023407246025479002
DRD5,0.0022940207458910598
FRYL,0.0022487398382228935
DONSON,0.00223247534014514
SETD1B,0.0022308168938040824
EPN2,0.002218538132301373
LARP4B,0.002192802476668085
ZNF609,0.002164221841565727
PHF2,0.0020773138058735713
CHD3,0.0020492573595055435
ST8SIA4,0.00202088474712539
NSD1,0.0019985414303899597
FXR1,0.0019740521734886974
USP40,0.001952233975725457
NFIA,0.001938107402001122
POF1B,0.0019063041201753533
CSNK1G1,0.0018837809921871487
BCL11A,0.0018754795079810981
POLE,0.0018527588944957942
HIVEP1,0.0018431758275412153
ONECUT2,0.0018401613481731397
SPEF2,0.0018309019619789128
BTBD7,0.0018085106803459666
PCDH9,0.001806635243717885
CAMSAP2,0.001805628151976536
RASA1,0.001788771146112431
TRPS1,0.0017855004028946586
ZNF716,0.0017687582852687774
MSH3,0.0017670070635140939
ATPAF1,0.0017575973986850033
ZXDB,0.0017385513791305124
KIAA2022,0.0017267306907385405
ELK3,0.001714143194550493
ZNF615,0.0016931508893767186
CHD2,0.0016649168955233347
MYO1A,0.0016532646144005996
LCP2,0.0016331873998350133
HDAC4,0.0016327913868497469
BCORL1,0.0016256926271971932
TAF1,0.0016033759329366873
KMT2C,0.0015826838090147273
ACKR4,0.0015782617987162655
COL7A1,0.001576076411791406
FOXP1,0.0015509473853909412
ARID1B,0.0015499698637826242
FAT1,0.001535593075157652
BCL7A,0.0015102806154114951
MAN2A1,0.0014910095957071253
COLGALT2,0.0014604712531561242
DMTN,0.0014529859558285777
GOLT1B,0.0014475370945977283
NIPBL,0.0014242707387936181
ZMYM4,0.0014094292671297754
COBLL1,0.0014026372210846696
KIAA2026,0.0013912287945290656
RAB14,0.0013563566366944042
ANKRD13C,0.0013561708926682651
ZNF148,0.0013555754879321798
DST,0.00134431088943299
TTN,0.0013426762931196682
TP63,0.0013420436145908509
KCND2,0.0013302097550409882
POTEG,0.0013211165183823282
TTC3,0.001305376918194361
GLTSCR1,0.0012823654911264847
RP11-313J2.1,0.0012698289174946343
