Name,Actual,Predicted,Probaility left,Probaility Right,Correctly Classified
-1,-1,-1,1.0,0.0,1
-1,-1,-1,0.757694284440825,0.24230571555917485,1
-1,-1,-1,0.9917557932263814,0.008244206773618538,1
1,1,1,0.17,0.83,1
-1,-1,-1,0.7521387288852693,0.24786127111473044,1
1,1,-1,0.9,0.1,0
-1,-1,-1,0.757694284440825,0.24230571555917485,1
-1,-1,-1,0.9973684210526315,0.002631578947368421,1
1,1,-1,0.6551646751612157,0.34483532483878415,0
-1,-1,-1,0.9779166666666665,0.02208333333333333,1
1,1,1,0.16,0.84,1
1,1,1,0.24,0.76,1
-1,-1,1,0.2872527766351296,0.7127472233648703,0
-1,-1,-1,1.0,0.0,1
-1,-1,-1,0.757694284440825,0.24230571555917485,1
-1,-1,-1,0.6099047619047618,0.390095238095238,1
1,1,1,0.18,0.82,1
-1,-1,-1,0.9975,0.0025,1
-1,-1,-1,0.8590468975468972,0.14095310245310247,1
1,1,-1,0.5635469187675068,0.436453081232493,0
-1,-1,-1,1.0,0.0,1
-1,-1,-1,0.9973684210526315,0.002631578947368421,1
-1,-1,-1,0.9779166666666665,0.02208333333333333,1
