Mutation,Value
PTEN,0.08939454330178602
TP53,0.07471813965992416
ARID1A,0.07062852649223085
PPP2R1A,0.0543012368393276
RPL22,0.03910525613300102
KRAS,0.038054183104674164
DOCK3,0.03605579596153566
RNF43,0.02821355686894727
ESRP1,0.02136005907802308
BCOR,0.019065567156157096
TNRC6B,0.014874724364914004
ACVR2A,0.013035123299892027
ARID5B,0.011495525822636347
DAZAP1,0.01127808287169274
ZBTB20,0.010979066524483437
BCL11B,0.010952977151746346
CTCF,0.010614665251463927
JAK1,0.00984556049820397
CNTLN,0.009114410528158343
WASF1,0.00907094598210241
QKI,0.008536093653485592
ZFHX3,0.008476149649158448
HAS2,0.008441525138618209
MAF,0.008013475466761079
TTK,0.007964011157630372
FGFR2,0.00736627339851735
ASH1L,0.007101518502129494
PTENP1,0.0070494482206780625
DTNA,0.00689702338197641
CTNNA2,0.0068540016062116306
NRK,0.006674212045703387
CD93,0.006662966805106376
KCNMA1,0.006232595893181754
ZNF609,0.006136108155961863
KMT2C,0.005859745198538767
DRD5,0.005445532527003338
ZNRF1,0.005313786373553256
NCOA3,0.005223512856467616
NSD1,0.004839709865846571
PCDH9,0.00467436919394564
GRIA2,0.00454382007010507
ZMIZ1,0.004355699628959636
BCL11A,0.004329824511697782
RBFOX1,0.004277765806859255
CCND1,0.004182931658864739
TRIM9,0.004092666083060616
API5,0.0040080826818634525
KCNA4,0.0038817905894763752
GPAT2,0.003843284102010335
NF1,0.003805030522359763
MSH3,0.0037775540134222484
PLAG1,0.0037539245488799476
POF1B,0.0036302474098301152
HMBOX1,0.0036169750529339334
ELK3,0.003602405141148021
FAM46A,0.0035705932372428217
LRRC4,0.0035269350013155242
DONSON,0.0033524583802730045
BTBD7,0.0032961932885908524
MBD6,0.0032641683780870495
RBM25,0.0032612540182104448
RNF2,0.0031737234711622124
CPEB2,0.003084654264092143
LMAN1,0.0030562308921379083
SETD1B,0.0030540361458674275
INPPL1,0.003025533080677517
MUM1L1,0.0029983867682170516
EPN2,0.0029228024905996776
ST8SIA4,0.002899582691449903
DDHD1,0.0028771017306991513
TFAP2B,0.002847748459447418
SHCBP1L,0.0028302144172205534
MYO1A,0.002774127504397492
BCAS3,0.0027712190449377836
DDX27,0.0026709142365313847
G3BP1,0.0026258307780476814
PCNP,0.002606047729794536
RC3H1,0.0025659937738539444
FAHD2A,0.0025290440200922003
CASP7,0.002500494366651194
AFF1,0.0024651011020631326
RAB1B,0.0023921796765732123
NCOR2,0.0023745771734612134
CSNK1G1,0.002351374219368028
NOL4,0.0023395270684185994
TRIM2,0.002303132765954601
FOXP1,0.0023005174489798756
KDM5B,0.002270740350295106
TNRC18,0.002252404908794293
CLVS1,0.0022209350103956317
TTC3,0.002191949939381323
KDM5A,0.002105288256844556
IQSEC2,0.0020753579864799944
TCERG1,0.0020488711414408975
ARID1B,0.0020479948433926153
ASXL2,0.002032225044991037
PHF2,0.0019336561586249669
FBN2,0.001928691698409814
SGMS1,0.0019283325951944153
ZFP91,0.001912845251165749
DUT,0.0018750890932673677
SH3D19,0.001870061412760086
TPD52,0.0018696931955241858
FAM19A2,0.0018361117859725818
CXCL5,0.0017934355263942152
TCF20,0.001785569277454817
ST3GAL1,0.0017825594179605511
SMURF1,0.0017726478902975078
SIK1,0.0017446930040382396
SRRT,0.001727023149700772
SEPHS1,0.0016905672125597686
FXR1,0.0016716460843337524
SLC3A2,0.00166332438073392
IGF2BP1,0.0016346771089991617
STAMBP,0.0016052513888751227
TMEM184B,0.001558723176296642
CHD2,0.0015457295236667096
CNNM4,0.0015042385747717918
FANCM,0.0014172440823195939
WIPF1,0.0014035566015286444
SPEG,0.0013928372761273366
SHC1,0.00138108704922635
TCF4,0.001369624864331655
NRIP1,0.0013382838629724958
ZNF217,0.0013320371778030482
BCL7A,0.0012845956928607832
CD47,0.0012611685079596399
GOLT1B,0.0012429180532626115
LPAR3,0.0012417492594997074
PIK3R2,0.0012124118076024047
MMP16,0.0011818408878560961
ZNF716,0.001158122038311315
NDST1,0.0011434918833454024
EFNA3,0.0011218105992610353
DDX18,0.0011177680790282532
ZNF618,0.0011109621584096557
MAGI1,0.0010899429216997458
NFASC,0.0010479401687688195
ELAVL2,0.0010321472866793614
C18orf25,0.0010120506739757665
ZNF626,0.0009740855166749475
KIAA1456,0.000931567708656698
CWF19L2,0.0009302253133030348
DPF3,0.0009302036015559458
KLF3,0.0009292427004338928
C12orf29,0.0009236988853921066
ZMYM4,0.0009190400699933578
CDC25A,0.0009094323764779466
DTX4,0.0008929652856143303
ZBTB34,0.0008746661932466819
XKR6,0.0008699030401834899
FMR1,0.0008696934141691422
ZC3H11A,0.0008499327793581487
ESF1,0.0008349479865972545
POU2F3,0.0008104246394293178
E2F7,0.0007601744446662899
STX6,0.0007403410659889552
SMARCC1,0.0007302491371626356
MAP3K2,0.0007242992464535918
POTEG,0.0007121480511280252
ZXDB,0.0007086417222315187
SYDE2,0.0006987666373551873
ADAR,0.0006956470346249963
ABI2,0.0006945186114053754
PXDN,0.0006870518810365812
ARPP19,0.0006860131175301514
CSNK1A1,0.0006677923581265611
DYNC2LI1,0.0006648390835540307
BCORL1,0.0006532146004015829
UBTF,0.0006434498215679485
FRYL,0.0006379896713554103
INSM2,0.0006378461973438907
KPNB1,0.0006276518692507959
C3orf70,0.0006267140010344234
BTBD11,0.0006250342014127167
RSBN1L,0.0006152302784470765
MAPK1,0.0006149193716621825
COL7A1,0.0006091553184696018
FBXO48,0.0006090328102326461
SLC1A5,0.0005591052562870821
PDCD6IP,0.0005526461931651433
ZBTB46,0.0005478141226114987
FOXP2,0.0005440421206266297
UBFD1,0.0005368423522718653
ZNF148,0.0005349694587737529
SLC16A4,0.0005213576877294238
SENP2,0.0005167034830072507
KPNA3,0.0004929134323395827
FAM222A,0.0004768565710250893
B4GALNT4,0.0004480943708467364
RNF165,0.0004475230391156353
LCP2,0.00043656470146777267
UBE2B,0.0004285123210714893
KRT28,0.0004220430304492229
FAM126B,0.00042103765529222405
SLC44A1,0.0004190115095563332
REP15,0.0004168532476561073
SLMAP,0.00040816655058604074
RYBP,0.0004019832585392165
ZNF503,0.00039900143587232804
HOXD10,0.0003883435276904802
RAC1,0.00037956132934521803
UNKL,0.0003643746641926656
SHC4,0.00035563077587642605
C1R,0.0003504291490879797
IRX3,0.00034995852029966803
HNRNPR,0.00034249534336392725
PLEKHA3,0.0003301995305389421
POU3F2,0.000323978101167451
ELOVL5,0.0002974923989570294
DDX17,0.00027356110757814455
TNFSF11,0.00026123646326101145
DENND6A,0.0002556282725927346
CELF2,0.00024570072686386365
LATS2,0.00022147745165202677
DZIP1,0.00022009885546975868
GCNT2,0.0002183733236652693
SLITRK3,0.00021557576966013372
PTPRF,0.0002083981660204977
VEGFA,0.00020013806067876273
HDAC4,0.00019704831837020795
CD2AP,0.0001831324315581239
CYTH1,0.00018044231560554892
NT5C3B,0.0001786982669331643
ABHD13,0.0001770388966833631
COLGALT2,0.00017602130957345907
PPP2R5A,0.00017165349930481285
KIF20A,0.00016311140137900232
SREK1IP1,0.00015543231249365595
CIT,0.00014803883743648295
DENND4B,0.00014421582646491015
ITGAV,0.00013944417424951268
C6orf120,0.00012614841634895035
ANKRD13C,0.00012071911163855954
LPHN2,0.00011598081625189913
TP63,0.0001130925712603581
GOLGA7,0.00010724506783552712
GRM8,0.00010583549893075551
C7orf43,0.00010359036522464373
CHM,9.735393269986923e-05
UBE2G1,9.352097795279951e-05
COBLL1,8.773653447064206e-05
HS2ST1,8.44332865034859e-05
COL19A1,8.396898376148427e-05
MFRP,8.237875434557379e-05
TMC7,7.119497986871553e-05
ALYREF,7.087199904245966e-05
CCND2,6.349407271911224e-05
DNAJC7,5.929054278023974e-05
CNNM1,4.683679457575244e-05
RBM12,2.748928779105636e-05
AGO4,2.2860097752211305e-05
RHOBTB3,2.0248055124700835e-05
SIKE1,1.8358134178285303e-05
PRSS27,0.0
MATR3,0.0
SLC39A9,0.0
CTD-2139B15.2,0.0
CAPZA2,0.0
PIH1D3,0.0
NCS1,0.0
JUND,0.0
3-Mar,0.0
PPP1R12A,0.0
TBX2,0.0
DGKZ,0.0
TSPAN5,0.0
