Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,0,7,1,1,14,0.9130434782608695,0.875,0.9333333333333333,0.875,0.125,0.125,0.06666666666666667,0.9791666666666667,0.9690656565656566,685
Pval<0.05,1,6,2,1,14,0.8695652173913043,0.8571428571428571,0.875,0.75,0.14285714285714285,0.25,0.06666666666666667,0.9732142857142857,0.9683673469387755,685
Pval<0.05,2,11,0,1,11,0.9565217391304348,0.9166666666666666,1.0,1.0,0.08333333333333333,0.0,0.08333333333333333,0.9204545454545454,0.9633928571428573,685
Pval<0.05,3,6,3,2,12,0.782608695652174,0.75,0.8,0.6666666666666666,0.25,0.3333333333333333,0.14285714285714285,0.8833333333333333,0.8466678338001867,685
Pval<0.05,4,9,0,3,11,0.8695652173913043,0.75,1.0,1.0,0.25,0.0,0.21428571428571427,1.0,1.0,685
Pval<0.05,5,6,1,3,13,0.8260869565217391,0.6666666666666666,0.9285714285714286,0.8571428571428571,0.3333333333333333,0.14285714285714285,0.1875,0.9285714285714285,0.8845769727348676,685
Pval<0.05,6,7,1,6,9,0.6956521739130435,0.5384615384615384,0.9,0.875,0.46153846153846156,0.125,0.4,0.7653846153846153,0.9006559904333182,685
Pval<0.05,7,8,1,1,13,0.9130434782608695,0.8888888888888888,0.9285714285714286,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.07142857142857142,0.9603174603174602,0.9335938752605422,685
Pval<0.05,8,5,2,2,14,0.8260869565217391,0.7142857142857143,0.875,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.125,0.8928571428571428,0.9064625850340136,685
Pval<0.05,9,9,1,2,11,0.8695652173913043,0.8181818181818182,0.9166666666666666,0.9,0.18181818181818182,0.1,0.15384615384615385,0.9393939393939394,0.9143291200777832,685
Pval<0.05,10,6,2,2,13,0.8260869565217391,0.75,0.8666666666666667,0.75,0.25,0.25,0.13333333333333333,0.8958333333333334,0.8623392538833715,685
