Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
TP3_FP0,0,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.9090909090909092,0.9525691699604744,81
TP3_FP0,1,4,0,4,15,0.8260869565217391,0.5,1.0,1.0,0.5,0.0,0.21052631578947367,0.8125,0.8777173913043479,81
TP3_FP0,2,3,0,9,11,0.6086956521739131,0.25,1.0,1.0,0.75,0.0,0.45,0.8333333333333333,0.9202898550724639,81
TP3_FP0,3,9,0,7,7,0.6956521739130435,0.5625,1.0,1.0,0.4375,0.0,0.5,0.8125,0.9308300395256917,81
TP3_FP0,4,7,0,6,10,0.7391304347826086,0.5384615384615384,1.0,1.0,0.46153846153846156,0.0,0.375,0.7692307692307692,0.8996655518394648,81
TP3_FP0,5,4,0,4,15,0.8260869565217391,0.5,1.0,1.0,0.5,0.0,0.21052631578947367,0.75,0.8369565217391304,81
TP3_FP0,6,7,0,6,10,0.7391304347826086,0.5384615384615384,1.0,1.0,0.46153846153846156,0.0,0.375,0.8076923076923077,0.9163879598662208,81
TP3_FP0,7,4,0,4,15,0.8260869565217391,0.5,1.0,1.0,0.5,0.0,0.21052631578947367,0.875,0.9592391304347826,81
TP3_FP0,8,5,0,6,12,0.7391304347826086,0.45454545454545453,1.0,1.0,0.5454545454545454,0.0,0.3333333333333333,0.8181818181818181,0.9051383399209486,81
TP3_FP0,9,6,0,6,11,0.7391304347826086,0.5,1.0,1.0,0.5,0.0,0.35294117647058826,0.75,0.8804347826086957,81
TP3_FP0,10,4,0,3,16,0.8695652173913043,0.5714285714285714,1.0,1.0,0.42857142857142855,0.0,0.15789473684210525,0.8571428571428572,0.9006211180124224,81
