Mutation,Value
HAS2,0.2089553554311044
MMP16,0.09546040726102031
MESDC1,0.0761636556834045
SIKE1,0.06916318385106056
NRIP1,0.06333009920627136
ABHD13,0.06281128404638334
CDC25A,0.055804335377199935
BTBD11,0.05179931349391175
SLC44A1,0.051689356344476585
TCEAL1,0.04170475583086709
ELOVL5,0.029708571139442027
PXDN,0.027665248970879564
VEGFA,0.02655167353817673
ARF5,0.020335388693394952
PLXND1,0.01961646584124639
ENO4,0.019462967012445917
DENND1C,0.018823895138494206
GRHL3,0.017732664139724713
ELAVL2,0.01592684410918672
PTPRF,0.01484217417560899
MAPK1,0.012452360715699972
