Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,0,7,1,1,14,0.9130434782608695,0.875,0.9333333333333333,0.875,0.125,0.125,0.06666666666666667,0.9791666666666667,0.9690656565656566,685
Pval<0.05,1,6,2,1,14,0.8695652173913043,0.8571428571428571,0.875,0.75,0.14285714285714285,0.25,0.06666666666666667,0.9732142857142857,0.9683673469387755,685
Pval<0.05,2,11,0,1,11,0.9565217391304348,0.9166666666666666,1.0,1.0,0.08333333333333333,0.0,0.08333333333333333,0.9204545454545454,0.9633928571428573,685
Pval<0.05,3,6,3,2,12,0.782608695652174,0.75,0.8,0.6666666666666666,0.25,0.3333333333333333,0.14285714285714285,0.8833333333333333,0.8466678338001867,685
Pval<0.05,4,9,0,3,11,0.8695652173913043,0.75,1.0,1.0,0.25,0.0,0.21428571428571427,1.0,1.0,685
Pval<0.05,5,6,1,3,13,0.8260869565217391,0.6666666666666666,0.9285714285714286,0.8571428571428571,0.3333333333333333,0.14285714285714285,0.1875,0.9285714285714285,0.8845769727348676,685
Pval<0.05,6,7,1,6,9,0.6956521739130435,0.5384615384615384,0.9,0.875,0.46153846153846156,0.125,0.4,0.7653846153846153,0.9006559904333182,685
Pval<0.05,7,8,1,1,13,0.9130434782608695,0.8888888888888888,0.9285714285714286,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.07142857142857142,0.9603174603174602,0.9335938752605422,685
Pval<0.05,8,5,2,2,14,0.8260869565217391,0.7142857142857143,0.875,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.125,0.8928571428571428,0.9064625850340136,685
Pval<0.05,9,9,1,2,11,0.8695652173913043,0.8181818181818182,0.9166666666666666,0.9,0.18181818181818182,0.1,0.15384615384615385,0.9393939393939394,0.9143291200777832,685
Pval<0.05,10,6,2,2,13,0.8260869565217391,0.75,0.8666666666666667,0.75,0.25,0.25,0.13333333333333333,0.8958333333333334,0.8623392538833715,685
Pval<0.01,0,10,2,1,10,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.09090909090909091,0.16666666666666666,0.09090909090909091,0.9469696969696969,0.9718337218337219,323
Pval<0.01,1,7,1,4,11,0.782608695652174,0.6363636363636364,0.9166666666666666,0.875,0.36363636363636365,0.125,0.26666666666666666,0.9166666666666667,0.8989052145434078,323
Pval<0.01,2,7,1,2,13,0.8695652173913043,0.7777777777777778,0.9285714285714286,0.875,0.2222222222222222,0.125,0.13333333333333333,0.9206349206349207,0.8866943241943244,323
Pval<0.01,3,8,0,7,8,0.6956521739130435,0.5333333333333333,1.0,1.0,0.4666666666666667,0.0,0.4666666666666667,0.875,0.9274802682697418,323
Pval<0.01,4,7,1,4,11,0.782608695652174,0.6363636363636364,0.9166666666666666,0.875,0.36363636363636365,0.125,0.26666666666666666,0.8901515151515151,0.9191402662993573,323
Pval<0.01,5,8,4,3,8,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.2727272727272727,0.3333333333333333,0.2727272727272727,0.787878787878788,0.8324346108437017,323
Pval<0.01,6,9,1,3,10,0.8260869565217391,0.75,0.9090909090909091,0.9,0.25,0.1,0.23076923076923078,0.9053030303030303,0.9366007834757836,323
Pval<0.01,7,4,2,2,15,0.8260869565217391,0.6666666666666666,0.8823529411764706,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.11764705882352941,0.9607843137254901,1.0,323
Pval<0.01,8,4,2,3,14,0.782608695652174,0.5714285714285714,0.875,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.17647058823529413,0.8348214285714285,0.742953848205949,323
Pval<0.01,9,7,0,2,14,0.9130434782608695,0.7777777777777778,1.0,1.0,0.2222222222222222,0.0,0.125,0.9682539682539683,0.9475028058361394,323
Pval<0.01,10,6,0,2,15,0.9130434782608695,0.75,1.0,1.0,0.25,0.0,0.11764705882352941,0.9416666666666667,0.8705721361971362,323
Pval<0.005,0,12,0,1,10,0.9565217391304348,0.9230769230769231,1.0,1.0,0.07692307692307693,0.0,0.09090909090909091,0.9653846153846154,0.98235974551764,202
Pval<0.005,1,9,1,3,10,0.8260869565217391,0.75,0.9090909090909091,0.9,0.25,0.1,0.23076923076923078,0.9318181818181818,0.9582735886189833,202
Pval<0.005,2,7,0,5,11,0.782608695652174,0.5833333333333334,1.0,1.0,0.4166666666666667,0.0,0.3125,1.0,0.9714052287581699,202
Pval<0.005,3,9,0,1,13,0.9565217391304348,0.9,1.0,1.0,0.1,0.0,0.07142857142857142,0.9769230769230769,0.97625,202
