Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,7.818181818181818,0.45454545454545453,2.1818181818181817,12.545454545454545,0.8853754940711461,0.7877180899908173,0.9669394998940454,0.9447330447330448,0.21228191000918273,0.05526695526695527,0.15009389006715212,0.0,0.0,845.0
Pval<0.01,7.181818181818182,0.6363636363636364,4.363636363636363,10.818181818181818,0.782608695652174,0.6117981765709039,0.9390987800078708,0.9295749704840613,0.3882018234290961,0.0704250295159386,0.2953054224444599,0.0,0.0,326.0
Pval<0.005,6.909090909090909,0.7272727272727273,3.1818181818181817,12.181818181818182,0.8300395256916996,0.6951528269710088,0.9425491175491175,0.9221763085399449,0.3048471730289913,0.07782369146005509,0.2088526239842029,0.0,0.0,147.0
Chi>3.84,7.818181818181818,0.8181818181818182,2.272727272727273,12.090909090909092,0.8656126482213438,0.7629360538451447,0.9363728962659443,0.8967171717171717,0.23706394615485527,0.10328282828282828,0.15922111904732228,0.0,0.0,739.0
Chi>7.68,7.090909090909091,1.3636363636363635,2.6363636363636362,11.909090909090908,0.826086956521739,0.7306345169981533,0.8972668374406343,0.8362521317066772,0.26936548300184665,0.16374786829332283,0.18431164794801155,0.0,0.0,383.0
Chi>15.36,7.090909090909091,0.7272727272727273,2.3636363636363638,12.818181818181818,0.8656126482213438,0.7626787354060082,0.9443768352859262,0.922979797979798,0.2373212645939919,0.07702020202020202,0.152163277898572,0.0,0.0,196.0
TP3_FP0,4.2727272727272725,0.0,5.909090909090909,12.818181818181818,0.7430830039525692,0.4213105076741439,1.0,1.0,0.5786894923258559,0.0,0.31650689781494734,0.0,0.0,159.0
TP4_FP0,4.0,0.0,5.090909090909091,13.909090909090908,0.7786561264822134,0.42975206611570244,1.0,1.0,0.5702479338842976,0.0,0.2675369350291951,0.0,0.0,57.0
TP5_FP0,4.2727272727272725,0.0,5.090909090909091,13.636363636363637,0.7786561264822134,0.4517020857929948,1.0,1.0,0.5482979142070051,0.0,0.26985550998708896,0.0,0.0,23.0
All,5.636363636363637,0.5454545454545454,4.2727272727272725,12.545454545454545,0.7905138339920948,0.5672077922077922,0.9595135924681379,0.9060606060606061,0.43279220779220773,0.09393939393939393,0.2543043214095846,0.0,0.0,8085.0
