Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,0,6,1,2,14,0.8695652173913043,0.75,0.9333333333333333,0.8571428571428571,0.25,0.14285714285714285,0.125,0,0,845
Pval<0.05,1,7,0,1,15,0.9565217391304348,0.875,1.0,1.0,0.125,0.0,0.0625,0,0,845
Pval<0.05,2,7,0,2,14,0.9130434782608695,0.7777777777777778,1.0,1.0,0.2222222222222222,0.0,0.125,0,0,845
Pval<0.05,3,8,1,2,12,0.8695652173913043,0.8,0.9230769230769231,0.8888888888888888,0.2,0.1111111111111111,0.14285714285714285,0,0,845
Pval<0.05,4,12,0,2,9,0.9130434782608695,0.8571428571428571,1.0,1.0,0.14285714285714285,0.0,0.18181818181818182,0,0,845
Pval<0.05,5,8,1,0,14,0.9565217391304348,1.0,0.9333333333333333,0.8888888888888888,0.0,0.1111111111111111,0.0,0,0,845
Pval<0.05,6,11,0,3,9,0.8695652173913043,0.7857142857142857,1.0,1.0,0.21428571428571427,0.0,0.25,0,0,845
Pval<0.05,7,9,1,3,10,0.8260869565217391,0.75,0.9090909090909091,0.9,0.25,0.1,0.23076923076923078,0,0,845
Pval<0.05,8,6,0,3,14,0.8695652173913043,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0,0,845
Pval<0.05,9,6,0,5,12,0.782608695652174,0.5454545454545454,1.0,1.0,0.45454545454545453,0.0,0.29411764705882354,0,0,845
Pval<0.05,10,6,1,1,15,0.9130434782608695,0.8571428571428571,0.9375,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0625,0,0,845
Pval<0.01,0,9,0,5,9,0.782608695652174,0.6428571428571429,1.0,1.0,0.35714285714285715,0.0,0.35714285714285715,0,0,326
Pval<0.01,1,6,0,4,13,0.8260869565217391,0.6,1.0,1.0,0.4,0.0,0.23529411764705882,0,0,326
Pval<0.01,2,9,3,5,6,0.6521739130434783,0.6428571428571429,0.6666666666666666,0.75,0.35714285714285715,0.25,0.45454545454545453,0,0,326
Pval<0.01,3,7,0,5,11,0.782608695652174,0.5833333333333334,1.0,1.0,0.4166666666666667,0.0,0.3125,0,0,326
Pval<0.01,4,9,2,3,9,0.782608695652174,0.75,0.8181818181818182,0.8181818181818182,0.25,0.18181818181818182,0.25,0,0,326
Pval<0.01,5,4,1,5,13,0.7391304347826086,0.4444444444444444,0.9285714285714286,0.8,0.5555555555555556,0.2,0.2777777777777778,0,0,326
Pval<0.01,6,6,1,5,11,0.7391304347826086,0.5454545454545454,0.9166666666666666,0.8571428571428571,0.45454545454545453,0.14285714285714285,0.3125,0,0,326
Pval<0.01,7,3,0,6,14,0.7391304347826086,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3,0,0,326
Pval<0.01,8,9,0,3,11,0.8695652173913043,0.75,1.0,1.0,0.25,0.0,0.21428571428571427,0,0,326
Pval<0.01,9,6,0,2,15,0.9130434782608695,0.75,1.0,1.0,0.25,0.0,0.11764705882352941,0,0,326
Pval<0.01,10,11,0,5,7,0.782608695652174,0.6875,1.0,1.0,0.3125,0.0,0.4166666666666667,0,0,326
Pval<0.005,0,8,3,2,10,0.782608695652174,0.8,0.7692307692307693,0.7272727272727273,0.2,0.2727272727272727,0.16666666666666666,0,0,147
Pval<0.005,1,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0,0,147
Pval<0.005,2,4,0,3,16,0.8695652173913043,0.5714285714285714,1.0,1.0,0.42857142857142855,0.0,0.15789473684210525,0,0,147
Pval<0.005,3,7,0,1,15,0.9565217391304348,0.875,1.0,1.0,0.125,0.0,0.0625,0,0,147
Pval<0.005,4,8,0,4,11,0.8260869565217391,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.26666666666666666,0,0,147
Pval<0.005,5,6,2,3,12,0.782608695652174,0.6666666666666666,0.8571428571428571,0.75,0.3333333333333333,0.25,0.2,0,0,147
Pval<0.005,6,8,0,4,11,0.8260869565217391,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.26666666666666666,0,0,147
Pval<0.005,7,8,0,2,13,0.9130434782608695,0.8,1.0,1.0,0.2,0.0,0.13333333333333333,0,0,147
Pval<0.005,8,5,0,4,14,0.8260869565217391,0.5555555555555556,1.0,1.0,0.4444444444444444,0.0,0.2222222222222222,0,0,147
Pval<0.005,9,7,2,1,13,0.8695652173913043,0.875,0.8666666666666667,0.7777777777777778,0.125,0.2222222222222222,0.07142857142857142,0,0,147
Pval<0.005,10,8,1,7,7,0.6521739130434783,0.5333333333333333,0.875,0.8888888888888888,0.4666666666666667,0.1111111111111111,0.5,0,0,147
Chi>3.84,0,8,1,5,9,0.7391304347826086,0.6153846153846154,0.9,0.8888888888888888,0.38461538461538464,0.1111111111111111,0.35714285714285715,0,0,739
Chi>3.84,1,8,0,2,13,0.9130434782608695,0.8,1.0,1.0,0.2,0.0,0.13333333333333333,0,0,739
Chi>3.84,2,7,1,2,13,0.8695652173913043,0.7777777777777778,0.9285714285714286,0.875,0.2222222222222222,0.125,0.13333333333333333,0,0,739
Chi>3.84,3,3,2,3,15,0.782608695652174,0.5,0.8823529411764706,0.6,0.5,0.4,0.16666666666666666,0,0,739
Chi>3.84,4,6,1,3,13,0.8260869565217391,0.6666666666666666,0.9285714285714286,0.8571428571428571,0.3333333333333333,0.14285714285714285,0.1875,0,0,739
Chi>3.84,5,6,0,1,16,0.9565217391304348,0.8571428571428571,1.0,1.0,0.14285714285714285,0.0,0.058823529411764705,0,0,739
Chi>3.84,6,12,0,2,9,0.9130434782608695,0.8571428571428571,1.0,1.0,0.14285714285714285,0.0,0.18181818181818182,0,0,739
Chi>3.84,7,6,1,2,14,0.8695652173913043,0.75,0.9333333333333333,0.8571428571428571,0.25,0.14285714285714285,0.125,0,0,739
Chi>3.84,8,11,3,1,8,0.8260869565217391,0.9166666666666666,0.7272727272727273,0.7857142857142857,0.08333333333333333,0.21428571428571427,0.1111111111111111,0,0,739
Chi>3.84,9,9,0,2,12,0.9130434782608695,0.8181818181818182,1.0,1.0,0.18181818181818182,0.0,0.14285714285714285,0,0,739
Chi>3.84,10,10,0,2,11,0.9130434782608695,0.8333333333333334,1.0,1.0,0.16666666666666666,0.0,0.15384615384615385,0,0,739
Chi>7.68,0,6,1,4,12,0.782608695652174,0.6,0.9230769230769231,0.8571428571428571,0.4,0.14285714285714285,0.25,0,0,383
Chi>7.68,1,6,2,2,13,0.8260869565217391,0.75,0.8666666666666667,0.75,0.25,0.25,0.13333333333333333,0,0,383
Chi>7.68,2,8,1,3,11,0.8260869565217391,0.7272727272727273,0.9166666666666666,0.8888888888888888,0.2727272727272727,0.1111111111111111,0.21428571428571427,0,0,383
Chi>7.68,3,6,1,1,15,0.9130434782608695,0.8571428571428571,0.9375,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0625,0,0,383
Chi>7.68,4,5,2,3,13,0.782608695652174,0.625,0.8666666666666667,0.7142857142857143,0.375,0.2857142857142857,0.1875,0,0,383
Chi>7.68,5,8,1,4,10,0.782608695652174,0.6666666666666666,0.9090909090909091,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.2857142857142857,0,0,383
Chi>7.68,6,4,1,2,16,0.8695652173913043,0.6666666666666666,0.9411764705882353,0.8,0.3333333333333333,0.2,0.1111111111111111,0,0,383
Chi>7.68,7,10,2,3,8,0.782608695652174,0.7692307692307693,0.8,0.8333333333333334,0.23076923076923078,0.16666666666666666,0.2727272727272727,0,0,383
Chi>7.68,8,10,1,2,10,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.16666666666666666,0.09090909090909091,0.16666666666666666,0,0,383
Chi>7.68,9,7,3,1,12,0.8260869565217391,0.875,0.8,0.7,0.125,0.3,0.07692307692307693,0,0,383
Chi>7.68,10,8,0,4,11,0.8260869565217391,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.26666666666666666,0,0,383
Chi>15.36,0,3,0,6,14,0.7391304347826086,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3,0,0,196
Chi>15.36,1,8,2,0,13,0.9130434782608695,1.0,0.8666666666666667,0.8,0.0,0.2,0.0,0,0,196
Chi>15.36,2,6,0,1,16,0.9565217391304348,0.8571428571428571,1.0,1.0,0.14285714285714285,0.0,0.058823529411764705,0,0,196
Chi>15.36,3,8,0,3,12,0.8695652173913043,0.7272727272727273,1.0,1.0,0.2727272727272727,0.0,0.2,0,0,196
Chi>15.36,4,7,0,0,16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,196
Chi>15.36,5,8,0,3,12,0.8695652173913043,0.7272727272727273,1.0,1.0,0.2727272727272727,0.0,0.2,0,0,196
Chi>15.36,6,7,1,3,12,0.8260869565217391,0.7,0.9230769230769231,0.875,0.3,0.125,0.2,0,0,196
Chi>15.36,7,8,2,4,9,0.7391304347826086,0.6666666666666666,0.8181818181818182,0.8,0.3333333333333333,0.2,0.3076923076923077,0,0,196
Chi>15.36,8,7,0,3,13,0.8695652173913043,0.7,1.0,1.0,0.3,0.0,0.1875,0,0,196
Chi>15.36,9,9,1,1,12,0.9130434782608695,0.9,0.9230769230769231,0.9,0.1,0.1,0.07692307692307693,0,0,196
Chi>15.36,10,7,2,2,12,0.8260869565217391,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.14285714285714285,0,0,196
TP3_FP0,0,7,0,3,13,0.8695652173913043,0.7,1.0,1.0,0.3,0.0,0.1875,0,0,159
TP3_FP0,1,2,0,9,12,0.6086956521739131,0.18181818181818182,1.0,1.0,0.8181818181818182,0.0,0.42857142857142855,0,0,159
TP3_FP0,2,7,0,8,8,0.6521739130434783,0.4666666666666667,1.0,1.0,0.5333333333333333,0.0,0.5,0,0,159
TP3_FP0,3,2,0,6,15,0.7391304347826086,0.25,1.0,1.0,0.75,0.0,0.2857142857142857,0,0,159
TP3_FP0,4,5,0,5,13,0.782608695652174,0.5,1.0,1.0,0.5,0.0,0.2777777777777778,0,0,159
TP3_FP0,5,3,0,6,14,0.7391304347826086,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3,0,0,159
TP3_FP0,6,3,0,7,13,0.6956521739130435,0.3,1.0,1.0,0.7,0.0,0.35,0,0,159
TP3_FP0,7,3,0,4,16,0.8260869565217391,0.42857142857142855,1.0,1.0,0.5714285714285714,0.0,0.2,0,0,159
TP3_FP0,8,4,0,3,16,0.8695652173913043,0.5714285714285714,1.0,1.0,0.42857142857142855,0.0,0.15789473684210525,0,0,159
TP3_FP0,9,5,0,9,9,0.6086956521739131,0.35714285714285715,1.0,1.0,0.6428571428571429,0.0,0.5,0,0,159
TP3_FP0,10,6,0,5,12,0.782608695652174,0.5454545454545454,1.0,1.0,0.45454545454545453,0.0,0.29411764705882354,0,0,159
TP4_FP0,0,5,0,4,14,0.8260869565217391,0.5555555555555556,1.0,1.0,0.4444444444444444,0.0,0.2222222222222222,0,0,57
TP4_FP0,1,4,0,5,14,0.782608695652174,0.4444444444444444,1.0,1.0,0.5555555555555556,0.0,0.2631578947368421,0,0,57
TP4_FP0,2,2,0,8,13,0.6521739130434783,0.2,1.0,1.0,0.8,0.0,0.38095238095238093,0,0,57
TP4_FP0,3,3,0,6,14,0.7391304347826086,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3,0,0,57
TP4_FP0,4,6,0,5,12,0.782608695652174,0.5454545454545454,1.0,1.0,0.45454545454545453,0.0,0.29411764705882354,0,0,57
TP4_FP0,5,2,0,4,17,0.8260869565217391,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.19047619047619047,0,0,57
