Seperator Type,parameters,Mutation Amount,Cross Fold,TP,FP,FN,TN,Accuracy Test set,Accuracy Validation Set,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,roc_auc,fpr,tpr,thresholds
Chi>3.84,"{'max_features': 'sqrt', 'max_samples': 0.75, 'n_estimators': 50}",893,0,6,0,5,14,0.9206909756909758,0.8,0.5454545454545454,1.0,1.0,0.45454545454545453,0.0,0.2631578947368421,0.9253246753246752,"[0.         0.         0.         0.21428571 0.28571429 0.42857143
 1.        ]","[0.         0.09090909 0.81818182 0.90909091 0.90909091 0.90909091
 1.        ]","[1.94       0.94       0.33333333 0.21013934 0.08246723 0.04
 0.        ]"
Chi>3.84,"{'max_features': 'auto', 'max_samples': 0.75, 'n_estimators': 1000}",893,1,6,0,3,16,0.9013132700632701,0.88,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.15789473684210525,0.9444444444444444,"[0.     0.     0.     0.125  0.25   0.3125 0.3125 0.5625 0.6875 0.8125
 1.    ]","[0.         0.11111111 0.77777778 0.77777778 0.88888889 0.88888889
 1.         1.         1.         1.         1.        ]","[1.89660000e+00 8.96600000e-01 3.40515634e-01 2.76192552e-01
 1.99348585e-01 1.72919977e-01 1.30833333e-01 4.70444343e-03
 4.00000000e-03 4.61538462e-04 0.00000000e+00]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 50}",893,2,9,0,6,10,0.9080266955266956,0.76,0.6,1.0,1.0,0.4,0.0,0.375,0.9600000000000001,[0.  0.  0.  0.1 0.1 0.2 0.4 0.8 1. ],"[0.         0.06666667 0.73333333 0.73333333 0.93333333 0.93333333
 1.         1.         1.        ]","[1.98       0.98       0.48       0.46       0.34194872 0.23892373
 0.18449658 0.0025     0.        ]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 1000}",893,3,12,1,2,10,0.9155116600571146,0.88,0.8571428571428571,0.9090909090909091,0.9230769230769231,0.14285714285714285,0.07692307692307693,0.16666666666666666,0.9415584415584416,"[0.         0.         0.         0.09090909 0.09090909 0.18181818
 0.18181818 0.36363636 0.36363636 0.81818182 1.        ]","[0.         0.07142857 0.64285714 0.64285714 0.85714286 0.85714286
 0.92857143 0.92857143 1.         1.         1.        ]","[1.96151667e+00 9.61516667e-01 7.27250000e-01 7.08000000e-01
 5.00551153e-01 3.42400000e-01 3.25900433e-01 2.25400433e-01
 1.57602814e-01 1.94404762e-03 2.50000000e-04]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.75, 'n_estimators': 1000}",893,4,5,3,4,13,0.9268265068265068,0.72,0.5555555555555556,0.8125,0.625,0.4444444444444444,0.375,0.23529411764705882,0.8333333333333334,"[0.     0.     0.     0.0625 0.0625 0.1875 0.1875 0.3125 0.5    0.5
 0.5625 0.5625 0.8125 1.    ]","[0.         0.11111111 0.44444444 0.44444444 0.55555556 0.55555556
 0.77777778 0.77777778 0.77777778 0.88888889 0.88888889 1.
 1.         1.        ]","[1.96800000e+00 9.68000000e-01 8.03500000e-01 7.90911217e-01
 7.90805952e-01 6.78500000e-01 3.51912586e-01 3.07798656e-01
 2.49279517e-01 1.31000000e-01 1.27179655e-01 1.26059742e-01
 1.00000000e-03 0.00000000e+00]"
Chi>3.84,"{'max_features': 'auto', 'max_samples': 0.75, 'n_estimators': 50}",893,5,7,3,1,14,0.9192151488862015,0.84,0.875,0.8235294117647058,0.7,0.125,0.3,0.06666666666666667,0.9117647058823529,"[0.         0.         0.         0.         0.05882353 0.05882353
 0.11764706 0.11764706 0.41176471 0.47058824 0.52941176 0.64705882
 1.        ]","[0.    0.125 0.375 0.5   0.5   0.625 0.75  0.875 0.875 1.    1.    1.
 1.   ]","[1.98       0.98       0.94       0.902      0.82       0.78
 0.72       0.58878571 0.22389978 0.18989978 0.1052211  0.005
 0.        ]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 1000}",893,6,5,2,4,14,0.9079332031604761,0.76,0.5555555555555556,0.875,0.7142857142857143,0.4444444444444444,0.2857142857142857,0.2222222222222222,0.8958333333333333,"[0.     0.     0.     0.0625 0.0625 0.125  0.125  0.25   0.25   0.375
 0.375  0.5    0.625  0.875  1.    ]","[0.         0.11111111 0.44444444 0.44444444 0.55555556 0.55555556
 0.77777778 0.77777778 0.88888889 0.88888889 1.         1.
 1.         1.         1.        ]","[1.86377778e+00 8.63777778e-01 7.56975000e-01 7.27186151e-01
 6.95528680e-01 5.78500000e-01 4.56506508e-01 2.83087801e-01
 2.62639186e-01 2.35501832e-01 2.10931818e-01 1.27958572e-01
 4.82098628e-02 1.11111111e-03 0.00000000e+00]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.75, 'n_estimators': 100}",893,7,11,2,0,12,0.907865745365745,0.92,1.0,0.8571428571428571,0.8461538461538461,0.0,0.15384615384615385,0.0,0.9415584415584416,"[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.35714286 0.5        0.57142857 1.        ]","[0.         0.09090909 0.36363636 0.36363636 0.81818182 0.81818182
 1.         1.         1.         1.         1.        ]","[1.98       0.98       0.92       0.91308333 0.785      0.57930952
 0.54025541 0.31227778 0.2285933  0.1746471  0.        ]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 1000}",893,8,3,2,4,16,0.9293286322263595,0.76,0.42857142857142855,0.8888888888888888,0.6,0.5714285714285714,0.4,0.2,0.7777777777777778,"[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.33333333 0.38888889 0.38888889 0.55555556 0.55555556 0.72222222
 0.83333333 1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.57142857 0.57142857
 0.57142857 0.57142857 0.85714286 0.85714286 1.         1.
 1.         1.        ]","[1.98520000e+00 9.85200000e-01 9.21750000e-01 6.40622701e-01
 4.79019298e-01 2.48792450e-01 2.35316170e-01 2.31059599e-01
 1.54079739e-01 9.32574957e-02 9.02595238e-02 2.60071824e-03
 1.74374302e-03 0.00000000e+00]"
Chi>3.84,"{'max_features': 'sqrt', 'max_samples': 0.75, 'n_estimators': 100}",893,9,13,0,2,10,0.916275012865922,0.92,0.8666666666666667,1.0,1.0,0.13333333333333333,0.0,0.16666666666666666,0.9833333333333334,[0.  0.  0.  0.1 0.1 0.2 0.6 0.8 1. ],"[0.         0.13333333 0.86666667 0.86666667 0.93333333 1.
 1.         1.         1.        ]","[1.92       0.92       0.53914719 0.3565     0.20833333 0.17606713
 0.11931385 0.01996337 0.        ]"
