Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
PTEN,64,83,188,44,0.234628261,0.233359556,3.94E-07,4.49E-07,0.664907652,0.592592593,0.693726937,0.43537415,0.592592593,0.501960784
PIK3CA,43,110,161,65,0.184673512,0.006321315,0.908198765,0.981691348,0.538258575,0.398148148,0.594095941,0.281045752,0.398148148,0.329501916
ARID1A,38,38,233,70,0.222810117,0.172485572,8.12E-06,6.71E-06,0.715039578,0.351851852,0.859778598,0.5,0.351851852,0.413043478
KRAS,33,32,239,75,0.218180264,0.1527976,3.27E-05,2.45E-05,0.7176781,0.305555556,0.881918819,0.507692308,0.305555556,0.38150289
RPL22,28,11,260,80,0.252315378,0.178222095,3.39E-09,8.39E-10,0.759894459,0.259259259,0.959409594,0.717948718,0.259259259,0.380952381
CTNNB1,25,34,237,83,0.196462275,0.086409869,0.012321559,0.015826695,0.691292876,0.231481481,0.874538745,0.423728814,0.231481481,0.299401198
DOCK3,25,13,258,83,0.233457058,0.149567324,4.79E-07,2.22E-07,0.746701847,0.231481481,0.95202952,0.657894737,0.231481481,0.342465753
BCL11B,24,13,258,84,0.229715951,0.142020732,1.30E-06,6.78E-07,0.744063325,0.222222222,0.95202952,0.648648649,0.222222222,0.331034483
RNF43,22,14,257,86,0.219922945,0.123920051,2.02E-05,1.28E-05,0.736147757,0.203703704,0.948339483,0.611111111,0.203703704,0.305555556
JAK1,20,9,262,88,0.227100069,0.123864356,2.85E-06,1.51E-06,0.744063325,0.185185185,0.966789668,0.689655172,0.185185185,0.291970803
TNRC6B,20,11,260,88,0.220936859,0.117849361,1.40E-05,9.47E-06,0.73878628,0.185185185,0.959409594,0.64516129,0.185185185,0.287769784
ZFHX3,19,8,263,89,0.226665616,0.119325262,3.30E-06,1.75E-06,0.744063325,0.175925926,0.970479705,0.703703704,0.175925926,0.281481481
CD93,18,9,262,90,0.219607536,0.108771173,2.10E-05,1.44E-05,0.73878628,0.166666667,0.966789668,0.666666667,0.166666667,0.266666667
ACVR2A,17,13,258,91,0.206283201,0.089194589,0.001076348,0.00080416,0.725593668,0.157407407,0.95202952,0.566666667,0.157407407,0.246376812
CTCF,17,17,254,91,0.199342113,0.077164598,0.005271969,0.006680741,0.715039578,0.157407407,0.937269373,0.5,0.157407407,0.23943662
FGFR2,17,17,254,91,0.199342113,0.077164598,0.005271969,0.006680741,0.715039578,0.157407407,0.937269373,0.5,0.157407407,0.23943662
MAF,17,7,264,91,0.222441899,0.107239576,1.05E-05,6.36E-06,0.741424802,0.157407407,0.974169742,0.708333333,0.157407407,0.257575758
CTNNA2,16,10,261,92,0.209911551,0.090670491,0.000390352,0.000270069,0.730870712,0.148148148,0.963099631,0.615384615,0.148148148,0.23880597
PIK3R1,16,23,248,92,0.19062869,0.051573019,0.090317758,0.100402181,0.696569921,0.148148148,0.915129151,0.41025641,0.148148148,0.217687075
PTENP1,16,9,262,92,0.212524143,0.093677989,0.000140259,0.000123054,0.733509235,0.148148148,0.966789668,0.64,0.148148148,0.240601504
API5,15,1,270,93,0.246222071,0.11019138,3.86E-08,1.85E-08,0.751978892,0.138888889,0.996309963,0.9375,0.138888889,0.241935484
ASH1L,15,13,258,93,0.200641828,0.074101406,0.004020453,0.004554726,0.720316623,0.138888889,0.95202952,0.535714286,0.138888889,0.220588235
DAZAP1,15,6,265,93,0.218315628,0.095153891,3.31E-05,2.28E-05,0.73878628,0.138888889,0.977859779,0.714285714,0.138888889,0.23255814
