Seperator Type,parameters,Mutation Amount,Cross Fold,TP,FP,FN,TN,Accuracy Test set,Accuracy Validation Set,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,roc_auc,fpr,tpr,thresholds
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.75, 'n_estimators': 1000}",739,7,6,2,2,15,0.888932806,0.84,0.75,0.882352941,0.75,0.25,0.25,0.117647059,0.882352941,"[0.         0.         0.         0.05882353 0.05882353 0.11764706
 0.11764706 0.17647059 0.41176471 0.52941176 0.52941176 0.82352941
 0.94117647 1.        ]","[0.    0.125 0.375 0.375 0.5   0.5   0.875 0.875 0.875 0.875 1.    1.
 1.    1.   ]","[1.96427826e+00 9.64278263e-01 8.93151363e-01 8.11935842e-01
 7.99442268e-01 7.92260298e-01 2.52989003e-01 1.70522751e-01
 6.05313412e-02 2.36290175e-02 2.23539889e-02 4.12536132e-03
 7.40740741e-05 0.00000000e+00]"
Chi>3.84,"{'max_features': 'sqrt', 'max_samples': 0.65, 'n_estimators': 1000}",739,6,7,2,3,13,0.888339921,0.8,0.7,0.866666667,0.777777778,0.3,0.222222222,0.1875,0.906666667,"[0.         0.         0.         0.06666667 0.06666667 0.13333333
 0.13333333 0.13333333 0.2        0.2        0.53333333 0.66666667
 1.        ]",[0.  0.1 0.2 0.2 0.5 0.5 0.7 0.9 0.9 1.  1.  1.  1. ],"[1.7954552  0.7954552  0.75162975 0.59286846 0.53961164 0.52137477
 0.51175139 0.44462545 0.34122728 0.27924505 0.1360122  0.12009367
 0.02702066]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 50}",739,9,10,0,4,11,0.880434783,0.84,0.714285714,1,1,0.285714286,0,0.266666667,0.957792208,"[0.         0.         0.         0.18181818 0.18181818 0.27272727
 0.54545455 0.72727273 1.        ]","[0.         0.07142857 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.         1.        ]","[1.94137931 0.94137931 0.34979901 0.28388081 0.28317176 0.18573333
 0.11000159 0.01093122 0.        ]"
Chi>3.84,"{'max_features': 'auto', 'max_samples': 0.65, 'n_estimators': 1000}",739,2,10,3,2,10,0.876086957,0.8,0.833333333,0.769230769,0.769230769,0.166666667,0.230769231,0.166666667,0.871794872,"[0.         0.         0.         0.15384615 0.15384615 0.23076923
 0.23076923 0.30769231 0.30769231 0.38461538 0.69230769 1.        ]","[0.         0.08333333 0.5        0.5        0.75       0.75
 0.83333333 0.83333333 0.91666667 0.91666667 1.         1.        ]","[1.92855714e+00 9.28557143e-01 7.18404376e-01 6.68525649e-01
 6.07435429e-01 5.83297462e-01 5.61221938e-01 4.92446626e-01
 2.95688470e-01 1.22059291e-01 1.03625830e-01 3.38095238e-04]"
Forest,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 1000}",174,0,6,1,5,13,0.867193676,0.76,0.545454545,0.928571429,0.857142857,0.454545455,0.142857143,0.277777778,0.899350649,"[0.         0.         0.         0.07142857 0.07142857 0.14285714
 0.14285714 0.57142857 0.78571429 1.        ]","[0.         0.09090909 0.54545455 0.54545455 0.72727273 0.72727273
 0.90909091 0.90909091 1.         1.        ]","[1.98002941 0.98002941 0.67929544 0.65022873 0.45300351 0.31950098
 0.29678201 0.042045   0.03680122 0.        ]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 100}",739,8,9,0,4,12,0.866600791,0.84,0.692307692,1,1,0.307692308,0,0.25,0.932692308,"[0.         0.         0.         0.08333333 0.08333333 0.5
 0.5        0.66666667 0.83333333 1.        ]","[0.         0.07692308 0.76923077 0.76923077 0.84615385 0.92307692
 1.         1.         1.         1.        ]","[1.88846459 0.88846459 0.46       0.34970071 0.26794245 0.10947649
 0.09395895 0.02344973 0.02       0.        ]"
Pval<0.05,"{'max_features': 'log2', 'max_samples': 0.75, 'n_estimators': 50}",845,2,7,3,1,14,0.866007905,0.84,0.875,0.823529412,0.7,0.125,0.3,0.066666667,0.889705882,"[0.         0.         0.         0.05882353 0.05882353 0.11764706
 0.11764706 0.29411765 0.88235294 1.        ]",[0.    0.125 0.5   0.5   0.625 0.625 0.875 0.875 1.    1.   ],"[1.98       0.98       0.8725     0.83028571 0.82854741 0.77288726
 0.54677778 0.15310239 0.11749428 0.        ]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 100}",739,0,5,2,0,18,0.862450593,0.92,1,0.9,0.714285714,0,0.285714286,0,0.95,[0.   0.   0.   0.05 0.05 0.1  0.1  0.15 0.35 0.5  0.6  0.9  1.  ],[0.  0.2 0.4 0.4 0.6 0.6 1.  1.  1.  1.  1.  1.  1. ],"[1.96283333 0.96283333 0.95277778 0.78772761 0.61964997 0.58322917
 0.54170748 0.35596032 0.12379591 0.06986098 0.06303971 0.00347619
 0.        ]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.75, 'n_estimators': 100}",739,5,12,1,2,10,0.861067194,0.88,0.857142857,0.909090909,0.923076923,0.142857143,0.076923077,0.166666667,0.896103896,"[0.         0.09090909 0.09090909 0.09090909 0.18181818 0.18181818
 0.36363636 0.81818182 1.        ]","[0.         0.         0.14285714 0.85714286 0.85714286 1.
 1.         1.         1.        ]","[1.95071795e+00 9.50717949e-01 9.30000000e-01 6.05023810e-01
 4.50122051e-01 2.75097828e-01 1.08466673e-01 9.30232558e-04
 0.00000000e+00]"
Chi>3.84,"{'max_features': 'log2', 'max_samples': 0.75, 'n_estimators': 100}",739,3,12,0,0,13,0.858102767,1,1,1,1,0,0,0,1,"[0.         0.         0.         0.07692308 0.61538462 0.84615385
 1.        ]","[0.         0.08333333 1.         1.         1.         1.
 1.        ]","[1.95       0.95       0.5088989  0.40939495 0.14292741 0.01311965
 0.        ]"
Chi>15.36,"{'max_features': 'log2', 'max_samples': 0.75, 'n_estimators': 1000}",196,7,7,4,4,10,0.857905138,0.68,0.636363636,0.714285714,0.636363636,0.363636364,0.363636364,0.285714286,0.746753247,"[0.         0.         0.07142857 0.07142857 0.14285714 0.14285714
 0.21428571 0.21428571 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.85714286 1.        ]","[0.         0.09090909 0.09090909 0.27272727 0.27272727 0.36363636
 0.36363636 0.63636364 0.63636364 0.72727273 0.72727273 0.81818182
 1.         1.         1.        ]","[1.98015094 0.98015094 0.97700144 0.9257488  0.90000678 0.82408738
 0.82180357 0.56231631 0.52675235 0.44057384 0.18019228 0.14997848
 0.1250977  0.01777728 0.        ]"
Forest,"{'max_features': 'log2', 'max_samples': 0.65, 'n_estimators': 50}",174,4,5,1,4,15,0.857312253,0.8,0.555555556,0.9375,0.833333333,0.444444444,0.166666667,0.210526316,0.895833333,"[0.     0.     0.     0.0625 0.0625 0.1875 0.1875 0.3125 0.375  0.75
 0.8125 1.    ]","[0.         0.11111111 0.44444444 0.44444444 0.77777778 0.77777778
 0.88888889 0.88888889 0.88888889 1.         1.         1.        ]","[1.88       0.88       0.72       0.58655131 0.40173109 0.24
 0.20996859 0.02515376 0.02297998 0.01835119 0.0152733  0.        ]"
