,Donor_ID,Sample_ID,Sample_Mean,ClusterNumber
7,DO229546,SA599123,0.737507206,1
19,DO229096,SA601545,0.604458518,1
23,DO229086,SA599157,0.550929449,1
11,DO229546,SA598013,0.538704725,1
9,DO229541,SA599154,0.534066495,1
18,DO229104,SA599118,0.522691932,1
35,DO229542,SA598001,0.518032518,1
4,DO229091,SA601548,0.495335694,1
0,DO229100,SA599177,0.483450397,1
6,DO229541,SA599175,0.463751597,1
13,DO229102,SA599136,0.381347452,1
26,DO229539,SA599132,0.377447535,1
21,DO229100,SA599088,0.344338935,2
25,DO229102,SA599112,0.275003345,2
10,DO230449,SA599107,0.270919662,2
15,DO229096,SA598003,0.263214832,2
3,DO229547,SA598002,0.251056077,2
14,DO230449,SA598027,0.235907073,2
16,DO229086,SA598017,0.229954836,2
32,DO229545,SA599092,0.226084236,2
27,DO229543,SA598018,0.21850569,2
33,DO229540,SA599098,0.196336188,2
20,DO229091,SA599102,0.18926434,2
24,DO229542,SA598014,0.187412791,2
29,DO229540,SA598012,0.181429003,2
22,DO229540,SA598025,0.163259884,2
31,DO229539,SA599146,0.150823744,-1
37,DO229544,SA598040,0.12214898,-1
1,DO229094,SA599143,0.120562411,-1
8,DO229102,SA598046,0.118605216,-1
12,DO229545,SA598029,0.115085973,-1
2,DO229094,SA598026,0.113558416,-1
17,DO229544,SA599169,0.093893186,-1
34,DO229547,SA599166,0.090358035,-1
5,DO229543,SA598067,0.087519292,-1
30,DO229102,SA598062,0.085710931,-1
36,DO229541,SA599104,0.049561725,-1
28,DO229104,SA599094,0.045957031,-1
