Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
All:Uterine,0,5,0,6,12,0.7391304347826086,0.45454545454545453,1.0,1.0,0.5454545454545454,0.0,0.3333333333333333,0.9015151515151516,0.9305850714941626,540
All:Uterine,1,5,0,4,14,0.8260869565217391,0.5555555555555556,1.0,1.0,0.4444444444444444,0.0,0.2222222222222222,0.8571428571428571,0.8861291486291487,540
All:Uterine,2,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.9393939393939394,0.9228553012643923,540
All:Uterine,3,5,0,5,13,0.782608695652174,0.5,1.0,1.0,0.5,0.0,0.2777777777777778,0.9076923076923077,0.9247023809523809,540
All:Uterine,4,6,0,3,14,0.8695652173913043,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.873015873015873,0.9076757917337628,540
All:Uterine,5,6,0,4,13,0.8260869565217391,0.6,1.0,1.0,0.4,0.0,0.23529411764705882,0.9384615384615385,0.956183574879227,540
All:Uterine,6,4,1,8,10,0.6086956521739131,0.3333333333333333,0.9090909090909091,0.8,0.6666666666666666,0.2,0.4444444444444444,0.7878787878787878,0.7643954425204426,540
All:Uterine,7,5,0,7,11,0.6956521739130435,0.4166666666666667,1.0,1.0,0.5833333333333334,0.0,0.3888888888888889,0.9356060606060604,0.9535774410774412,540
All:Uterine,8,7,0,3,13,0.8695652173913043,0.7,1.0,1.0,0.3,0.0,0.1875,0.9,0.9343434343434343,540
All:Uterine,9,3,0,8,12,0.6521739130434783,0.2727272727272727,1.0,1.0,0.7272727272727273,0.0,0.4,0.8522727272727272,0.8441558441558442,540
All:Uterine,10,2,0,7,14,0.6956521739130435,0.2222222222222222,1.0,1.0,0.7777777777777778,0.0,0.3333333333333333,0.8571428571428571,0.9047619047619049,540
