Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
All:Colrec,0,31,18,79,232,0.7305555555555555,0.2818181818181818,0.928,0.6326530612244898,0.7181818181818181,0.3673469387755102,0.2540192926045016,0.5761636363636364,0.4661756450389999,540
All:Colrec,1,31,18,79,232,0.7305555555555555,0.2818181818181818,0.928,0.6326530612244898,0.7181818181818181,0.3673469387755102,0.2540192926045016,0.5746,0.46333020499322825,540
All:Colrec,2,31,17,79,233,0.7333333333333333,0.2818181818181818,0.932,0.6458333333333334,0.7181818181818181,0.3541666666666667,0.2532051282051282,0.5738000000000002,0.45536753039867495,540
All:Colrec,3,31,18,79,232,0.7305555555555555,0.2818181818181818,0.928,0.6326530612244898,0.7181818181818181,0.3673469387755102,0.2540192926045016,0.5706363636363637,0.46182691661142095,540
All:Colrec,4,31,18,79,232,0.7305555555555555,0.2818181818181818,0.928,0.6326530612244898,0.7181818181818181,0.3673469387755102,0.2540192926045016,0.5729636363636365,0.45844072463981156,540
All:Colrec,5,31,17,79,233,0.7333333333333333,0.2818181818181818,0.932,0.6458333333333334,0.7181818181818181,0.3541666666666667,0.2532051282051282,0.5661636363636364,0.46353536256017386,540
All:Colrec,6,31,18,79,232,0.7305555555555555,0.2818181818181818,0.928,0.6326530612244898,0.7181818181818181,0.3673469387755102,0.2540192926045016,0.5736909090909091,0.4530920326998573,540
All:Colrec,7,31,20,79,230,0.725,0.2818181818181818,0.92,0.6078431372549019,0.7181818181818181,0.39215686274509803,0.255663430420712,0.5714000000000001,0.45664403283720956,540
All:Colrec,8,31,19,79,231,0.7277777777777777,0.2818181818181818,0.924,0.62,0.7181818181818181,0.38,0.25483870967741934,0.5734727272727274,0.4593455775592016,540
All:Colrec,9,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.5695272727272729,0.4591014924179378,540
All:Colrec,10,29,17,81,233,0.7277777777777777,0.2636363636363636,0.932,0.6304347826086957,0.7363636363636363,0.3695652173913043,0.25796178343949044,0.5729090909090909,0.4593587282042704,540
