Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Chi>3.84:Uterine,0,4,1,6,12,0.6956521739130435,0.4,0.9230769230769231,0.8,0.6,0.2,0.3333333333333333,0.8307692307692307,0.8329761904761904,99
Chi>3.84:Uterine,1,6,1,2,14,0.8695652173913043,0.75,0.9333333333333333,0.8571428571428571,0.25,0.14285714285714285,0.125,0.8416666666666668,0.7136904761904761,99
Chi>3.84:Uterine,2,7,0,6,10,0.7391304347826086,0.5384615384615384,1.0,1.0,0.46153846153846156,0.0,0.375,0.7538461538461539,0.8276723276723275,99
Chi>3.84:Uterine,3,8,0,4,11,0.8260869565217391,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.26666666666666666,0.8863636363636364,0.9339285714285716,99
Chi>3.84:Uterine,4,2,0,4,17,0.8260869565217391,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.19047619047619047,0.8529411764705883,0.6104884658946443,99
Chi>3.84:Uterine,5,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.9015151515151516,0.9338823012736057,99
Chi>3.84:Uterine,6,3,0,4,16,0.8260869565217391,0.42857142857142855,1.0,1.0,0.5714285714285714,0.0,0.2,0.8571428571428571,0.7696660482374769,99
Chi>3.84:Uterine,7,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.9015151515151516,0.8876623376623378,99
Chi>3.84:Uterine,8,6,0,3,14,0.8695652173913043,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.9444444444444444,0.9661835748792271,99
Chi>3.84:Uterine,9,4,0,7,12,0.6956521739130435,0.36363636363636365,1.0,1.0,0.6363636363636364,0.0,0.3684210526315789,0.7575757575757575,0.8398268398268398,99
Chi>3.84:Uterine,10,8,0,5,10,0.782608695652174,0.6153846153846154,1.0,1.0,0.38461538461538464,0.0,0.3333333333333333,0.8153846153846154,0.8619977244977244,99
