Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
FP=0:Uterine,0,4,0,9,10,0.6086956521739131,0.3076923076923077,1.0,1.0,0.6923076923076923,0.0,0.47368421052631576,0.8461538461538461,0.9331103678929764,470
FP=0:Uterine,1,2,0,10,11,0.5652173913043478,0.16666666666666666,1.0,1.0,0.8333333333333334,0.0,0.47619047619047616,0.7083333333333334,0.8605072463768116,470
FP=0:Uterine,2,4,0,7,12,0.6956521739130435,0.36363636363636365,1.0,1.0,0.6363636363636364,0.0,0.3684210526315789,0.9090909090909092,0.9525691699604744,470
FP=0:Uterine,3,3,0,10,10,0.5652173913043478,0.23076923076923078,1.0,1.0,0.7692307692307693,0.0,0.5,0.8846153846153846,0.9498327759197323,470
FP=0:Uterine,4,5,0,9,9,0.6086956521739131,0.35714285714285715,1.0,1.0,0.6428571428571429,0.0,0.5,0.8571428571428572,0.9440993788819875,470
FP=0:Uterine,5,4,0,6,13,0.7391304347826086,0.4,1.0,1.0,0.6,0.0,0.3157894736842105,0.8,0.8869565217391303,470
FP=0:Uterine,6,4,0,6,13,0.7391304347826086,0.4,1.0,1.0,0.6,0.0,0.3157894736842105,0.75,0.858695652173913,470
FP=0:Uterine,7,3,0,2,18,0.9130434782608695,0.6,1.0,1.0,0.4,0.0,0.1,1.0,1.0,470
FP=0:Uterine,8,3,0,5,15,0.782608695652174,0.375,1.0,1.0,0.625,0.0,0.25,0.9375,0.9592391304347826,470
FP=0:Uterine,9,3,0,3,17,0.8695652173913043,0.5,1.0,1.0,0.5,0.0,0.15,0.9166666666666667,0.9384057971014492,470
FP=0:Uterine,10,4,0,11,8,0.5217391304347826,0.26666666666666666,1.0,1.0,0.7333333333333333,0.0,0.5789473684210527,0.8666666666666667,0.9536231884057971,470
