Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.005:Uterine,0,6,0,6,11,0.7391304347826086,0.5,1.0,1.0,0.5,0.0,0.35294117647058826,0.75,0.8804347826086957,22
Pval<0.005:Uterine,1,4,0,4,15,0.8260869565217391,0.5,1.0,1.0,0.5,0.0,0.21052631578947367,0.75,0.8369565217391304,22
Pval<0.005:Uterine,2,3,0,7,13,0.6956521739130435,0.3,1.0,1.0,0.7,0.0,0.35,0.7,0.8304347826086956,22
Pval<0.005:Uterine,3,4,0,6,13,0.7391304347826086,0.4,1.0,1.0,0.6,0.0,0.3157894736842105,0.7,0.8304347826086956,22
Pval<0.005:Uterine,4,8,1,5,9,0.7391304347826086,0.6153846153846154,0.9,0.8888888888888888,0.38461538461538464,0.1111111111111111,0.35714285714285715,0.7423076923076923,0.8323220258002866,22
Pval<0.005:Uterine,5,6,0,5,12,0.782608695652174,0.5454545454545454,1.0,1.0,0.45454545454545453,0.0,0.29411764705882354,0.8181818181818181,0.9051383399209486,22
Pval<0.005:Uterine,6,6,0,6,11,0.7391304347826086,0.5,1.0,1.0,0.5,0.0,0.35294117647058826,0.75,0.8804347826086957,22
Pval<0.005:Uterine,7,6,0,4,13,0.8260869565217391,0.6,1.0,1.0,0.4,0.0,0.23529411764705882,0.8,0.8869565217391303,22
Pval<0.005:Uterine,8,6,1,6,10,0.6956521739130435,0.5,0.9090909090909091,0.8571428571428571,0.5,0.14285714285714285,0.375,0.7196969696969697,0.8162353347135957,22
Pval<0.005:Uterine,9,5,0,7,11,0.6956521739130435,0.4166666666666667,1.0,1.0,0.5833333333333334,0.0,0.3888888888888889,0.75,0.8804347826086957,22
Pval<0.005:Uterine,10,7,0,1,15,0.9565217391304348,0.875,1.0,1.0,0.125,0.0,0.0625,0.9375,0.9592391304347826,22
