Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
TP-2FP>2:Uterine,0,4,0,6,13,0.7391304347826086,0.4,1.0,1.0,0.6,0.0,0.3157894736842105,0.8,0.8869565217391303,231
TP-2FP>2:Uterine,1,8,0,3,12,0.8695652173913043,0.7272727272727273,1.0,1.0,0.2727272727272727,0.0,0.2,0.9545454545454546,0.9762845849802371,231
TP-2FP>2:Uterine,2,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.9090909090909092,0.9525691699604744,231
TP-2FP>2:Uterine,3,3,0,5,15,0.782608695652174,0.375,1.0,1.0,0.625,0.0,0.25,0.8416666666666667,0.8812758799171843,231
TP-2FP>2:Uterine,4,6,0,3,14,0.8695652173913043,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.8809523809523809,0.9184782608695652,231
TP-2FP>2:Uterine,5,6,1,2,14,0.8695652173913043,0.75,0.9333333333333333,0.8571428571428571,0.25,0.14285714285714285,0.125,0.925,0.9346855590062112,231
TP-2FP>2:Uterine,6,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.9090909090909092,0.9525691699604744,231
TP-2FP>2:Uterine,7,4,0,5,14,0.782608695652174,0.4444444444444444,1.0,1.0,0.5555555555555556,0.0,0.2631578947368421,0.8333333333333333,0.8985507246376814,231
TP-2FP>2:Uterine,8,3,0,5,15,0.782608695652174,0.375,1.0,1.0,0.625,0.0,0.25,0.8125,0.8777173913043479,231
TP-2FP>2:Uterine,9,5,0,4,14,0.8260869565217391,0.5555555555555556,1.0,1.0,0.4444444444444444,0.0,0.2222222222222222,0.8333333333333333,0.8985507246376814,231
TP-2FP>2:Uterine,10,3,0,5,15,0.782608695652174,0.375,1.0,1.0,0.625,0.0,0.25,0.8125,0.8777173913043479,231
