Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
TP-2FP>2:Colrec,0,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.5764181818181818,0.4598379745472103,231
TP-2FP>2:Colrec,1,30,15,80,235,0.7361111111111112,0.2727272727272727,0.94,0.6666666666666666,0.7272727272727273,0.3333333333333333,0.25396825396825395,0.5764545454545454,0.4570741699729877,231
TP-2FP>2:Colrec,2,30,18,80,232,0.7277777777777777,0.2727272727272727,0.928,0.625,0.7272727272727273,0.375,0.2564102564102564,0.5773999999999999,0.4630163962092663,231
TP-2FP>2:Colrec,3,30,16,80,234,0.7333333333333333,0.2727272727272727,0.936,0.6521739130434783,0.7272727272727273,0.34782608695652173,0.25477707006369427,0.5763454545454545,0.4531582970315005,231
TP-2FP>2:Colrec,4,30,16,80,234,0.7333333333333333,0.2727272727272727,0.936,0.6521739130434783,0.7272727272727273,0.34782608695652173,0.25477707006369427,0.5747636363636364,0.4558268499618642,231
TP-2FP>2:Colrec,5,31,17,79,233,0.7333333333333333,0.2818181818181818,0.932,0.6458333333333334,0.7181818181818181,0.3541666666666667,0.2532051282051282,0.5765272727272727,0.45305065393953897,231
TP-2FP>2:Colrec,6,30,16,80,234,0.7333333333333333,0.2727272727272727,0.936,0.6521739130434783,0.7272727272727273,0.34782608695652173,0.25477707006369427,0.5834727272727273,0.456768802202511,231
TP-2FP>2:Colrec,7,29,15,81,235,0.7333333333333333,0.2636363636363636,0.94,0.6590909090909091,0.7363636363636363,0.3409090909090909,0.2563291139240506,0.5763090909090909,0.4545049170174383,231
TP-2FP>2:Colrec,8,31,16,79,234,0.7361111111111112,0.2818181818181818,0.936,0.6595744680851063,0.7181818181818181,0.3404255319148936,0.2523961661341853,0.5769272727272727,0.45536707791979975,231
TP-2FP>2:Colrec,9,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.5751636363636363,0.4562829368770879,231
TP-2FP>2:Colrec,10,29,16,81,234,0.7305555555555555,0.2636363636363636,0.936,0.6444444444444445,0.7363636363636363,0.35555555555555557,0.2571428571428571,0.5762545454545455,0.4512829463151637,231
