Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
TP3_FP0:Colrec,0,29,17,81,233,0.7277777777777777,0.2636363636363636,0.932,0.6304347826086957,0.7363636363636363,0.3695652173913043,0.25796178343949044,0.5864909090909091,0.46536826507033846,106
TP3_FP0:Colrec,1,29,18,81,232,0.725,0.2636363636363636,0.928,0.6170212765957447,0.7363636363636363,0.3829787234042553,0.25878594249201275,0.5858363636363636,0.47356143730112593,106
TP3_FP0:Colrec,2,29,18,81,232,0.725,0.2636363636363636,0.928,0.6170212765957447,0.7363636363636363,0.3829787234042553,0.25878594249201275,0.5851090909090908,0.4627283108612021,106
TP3_FP0:Colrec,3,29,17,81,233,0.7277777777777777,0.2636363636363636,0.932,0.6304347826086957,0.7363636363636363,0.3695652173913043,0.25796178343949044,0.5859454545454545,0.46896899020542954,106
TP3_FP0:Colrec,4,29,17,81,233,0.7277777777777777,0.2636363636363636,0.932,0.6304347826086957,0.7363636363636363,0.3695652173913043,0.25796178343949044,0.5860181818181818,0.47143142586851194,106
TP3_FP0:Colrec,5,30,16,80,234,0.7333333333333333,0.2727272727272727,0.936,0.6521739130434783,0.7272727272727273,0.34782608695652173,0.25477707006369427,0.5853636363636363,0.46292635667621895,106
TP3_FP0:Colrec,6,29,18,81,232,0.725,0.2636363636363636,0.928,0.6170212765957447,0.7363636363636363,0.3829787234042553,0.25878594249201275,0.5856181818181818,0.4693016092547855,106
TP3_FP0:Colrec,7,28,16,82,234,0.7277777777777777,0.2545454545454545,0.936,0.6363636363636364,0.7454545454545455,0.36363636363636365,0.25949367088607594,0.587690909090909,0.47560497953330894,106
TP3_FP0:Colrec,8,29,18,81,232,0.725,0.2636363636363636,0.928,0.6170212765957447,0.7363636363636363,0.3829787234042553,0.25878594249201275,0.5861272727272727,0.4695063617924799,106
TP3_FP0:Colrec,9,29,18,81,232,0.725,0.2636363636363636,0.928,0.6170212765957447,0.7363636363636363,0.3829787234042553,0.25878594249201275,0.586090909090909,0.46885199376700004,106
TP3_FP0:Colrec,10,28,17,82,233,0.725,0.2545454545454545,0.932,0.6222222222222222,0.7454545454545455,0.37777777777777777,0.26031746031746034,0.5844181818181817,0.46228843629885374,106
