Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.01,0,5,1,2,15,0.8695652173913043,0.7142857142857143,0.9375,0.8333333333333334,0.2857142857142857,0.16666666666666666,0.11764705882352941,0.8303571428571429,0.8768115942028984,49
Pval<0.01,1,4,0,3,16,0.8695652173913043,0.5714285714285714,1.0,1.0,0.42857142857142855,0.0,0.15789473684210525,0.7857142857142857,0.8509316770186335,49
Pval<0.01,2,5,1,3,14,0.8260869565217391,0.625,0.9333333333333333,0.8333333333333334,0.375,0.16666666666666666,0.17647058823529413,0.8541666666666666,0.8708592132505176,49
Pval<0.01,3,6,0,4,13,0.8260869565217391,0.6,1.0,1.0,0.4,0.0,0.23529411764705882,0.8,0.8869565217391303,49
Pval<0.01,4,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.9090909090909092,0.9525691699604744,49
Pval<0.01,5,10,0,4,9,0.8260869565217391,0.7142857142857143,1.0,1.0,0.2857142857142857,0.0,0.3076923076923077,0.8571428571428572,0.9440993788819875,49
Pval<0.01,6,8,0,3,12,0.8695652173913043,0.7272727272727273,1.0,1.0,0.2727272727272727,0.0,0.2,0.8636363636363636,0.9288537549407115,49
Pval<0.01,7,7,1,5,10,0.7391304347826086,0.5833333333333334,0.9090909090909091,0.875,0.4166666666666667,0.125,0.3333333333333333,0.7954545454545453,0.8678758339084427,49
Pval<0.01,8,5,0,5,13,0.782608695652174,0.5,1.0,1.0,0.5,0.0,0.2777777777777778,0.75,0.858695652173913,49
Pval<0.01,9,4,1,5,13,0.7391304347826086,0.4444444444444444,0.9285714285714286,0.8,0.5555555555555556,0.2,0.2777777777777778,0.75,0.7962157809983899,49
Pval<0.01,10,6,0,4,13,0.8260869565217391,0.6,1.0,1.0,0.4,0.0,0.23529411764705882,0.9,0.9434782608695652,49
