Name,Actual,Predicted,Probaility left,Probaility Right,Correctly Classified
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
1,1,1,0.04,0.96,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
1,1,-1,0.7583298989086269,0.24167010109137288,0
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
1,1,1,0.14,0.86,1
1,1,1,0.4067376649075763,0.5932623350924237,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
1,1,-1,0.8253103237328281,0.17468967626717155,0
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
-1,-1,-1,0.8253103237328281,0.17468967626717155,1
1,1,1,0.15422953692960578,0.8457704630703943,1
1,1,-1,0.8253103237328281,0.17468967626717155,0
