Seperator Type,TP : ColRec,TP : Uterine,FP : ColRec,FP : Uterine,FN : ColRec,FN : Uterine,TN : ColRec,TN : Uterine,Accuracy : ColRec,Accuracy : Uterine,Sensitivity : ColRec,Sensitivity : Uterine,Specificity : ColRec,Specificity : Uterine,Precision : ColRec,Precision : Uterine,Miss Rate : ColRec,Miss Rate : Uterine,False discovery rate : ColRec,False discovery rate : Uterine,False omission rate : ColRec,False omission rate : Uterine,ROC_AUC : ColRec,ROC_AUC : Uterine,PR Logistic : ColRec,PR Logistic : Uterine,Included Muts
TP-2FP>2 : ColRec,30,5.090909091,16.27272727,0.090909091,80,4.181818182,233.7272727,13.63636364,0.732575758,0.814229249,0.272727273,0.540151515,0.934909091,0.993939394,0.648520664,0.987012987,0.727272727,0.459848485,0.351479336,0.012987013,0.254996827,0.232058198,0.576912397,0.864728453,0.456015547,0.914123216,231
Pval<0.05 : ColRec,29.81818182,5.545454545,16.81818182,0.090909091,80.18181818,4.363636364,233.1818182,13,0.730555556,0.806324111,0.27107438,0.554061595,0.932727273,0.988636364,0.639455844,0.992424242,0.72892562,0.445938405,0.360544156,0.007575758,0.255874124,0.253481794,0.58706281,0.84444621,0.465443777,0.907904124,113
TP-2FP>3 : ColRec,30,5.818181818,17.09090909,0.454545455,80,4.090909091,232.9090909,12.63636364,0.73030303,0.802371542,0.272727273,0.581739473,0.931636364,0.964597902,0.637538318,0.950757576,0.727272727,0.418260527,0.362461682,0.049242424,0.255661075,0.246033168,0.586857851,0.836806943,0.468079925,0.877425641,113
All : ColRec,30.72727273,5,17.90909091,0.090909091,79.27272727,5.363636364,232.0909091,12.54545455,0.730050505,0.76284585,0.279338843,0.487098255,0.928363636,0.991735537,0.631955251,0.981818182,0.720661157,0.512901745,0.368044749,0.018181818,0.254596518,0.295387701,0.572302479,0.886374736,0.459656204,0.902669576,540
FP=0 : ColRec,30.90909091,3.545454545,18.27272727,0,79.09090909,7.090909091,231.7272727,12.36363636,0.729545455,0.691699605,0.280991736,0.360688554,0.926909091,1,0.628634192,1,0.719008264,0.639311446,0.371365808,0,0.254454112,0.36625655,0.581277686,0.861469969,0.455650344,0.93063993,470
Pval<0.005 : ColRec,28,5.545454545,16,0.181818182,82,5.181818182,234,12.09090909,0.727777778,0.766798419,0.254545455,0.522955075,0.936,0.982644628,0.636423431,0.976911977,0.745454545,0.477044925,0.363576569,0.023088023,0.259494143,0.299558332,0.589335537,0.765244225,0.499935744,0.867183799,22
TP3_FP0 : ColRec,28.90909091,3.636363636,17.27272727,0,81.09090909,5.727272727,232.7272727,13.63636364,0.726767677,0.750988142,0.262809917,0.397710875,0.930909091,1,0.626106409,1,0.737190083,0.602289125,0.373893591,0,0.258400297,0.302784078,0.585882645,0.829570051,0.468230742,0.896763727,106
Chi>3.84 : ColRec,28.90909091,5.636363636,18.27272727,0.181818182,81.09090909,4.454545455,231.7272727,12.72727273,0.723989899,0.798418972,0.262809917,0.54867708,0.926909091,0.986946387,0.612744869,0.968831169,0.737190083,0.45132292,0.387255131,0.031168831,0.259224478,0.260791015,0.580105785,0.849378622,0.457024587,0.834361351,99
Chi>7.68 : ColRec,30.72727273,6.363636364,20.45454545,0.545454545,79.27272727,4.272727273,229.5454545,11.81818182,0.722979798,0.790513834,0.279338843,0.592724447,0.918181818,0.952680653,0.600307262,0.928787879,0.720661157,0.407275553,0.399692738,0.071212121,0.256684856,0.267877633,0.589064463,0.821603115,0.4988973,0.875943571,31
Pval<0.01 : ColRec,30.81818182,6,21,0.272727273,79.18181818,4.545454545,229,12.18181818,0.721717172,0.790513834,0.280165289,0.572432113,0.916,0.978748524,0.594714109,0.954545455,0.719834711,0.427567887,0.405285891,0.045454545,0.256930992,0.272226548,0.586894215,0.81002886,0.469029513,0.886902599,33
TP4_FP0 : ColRec,29,5.090909091,19.18181818,0,81,4.636363636,230.8181818,13.27272727,0.721717172,0.798418972,0.263636364,0.527615314,0.923272727,1,0.602252069,1,0.736363636,0.472384686,0.397747931,0,0.259766538,0.259269162,0.578072727,0.828036484,0.466353907,0.903135298,54
Chi>15.36 : ColRec,29.36363636,5.909090909,19.72727273,0.545454545,80.63636364,3.545454545,230.2727273,13,0.721212121,0.822134387,0.266942149,0.636366411,0.921090909,0.959541847,0.598214055,0.923124098,0.733057851,0.363633589,0.401785945,0.076875902,0.259349132,0.212920284,0.587064463,0.844829476,0.496265274,0.895878667,25
TP-2FP>4 : ColRec,27,4.636363636,19.36363636,0.363636364,83,4.181818182,230.6363636,13.81818182,0.715656566,0.802371542,0.245454545,0.502702348,0.922545455,0.976101092,0.582652053,0.909090909,0.754545455,0.497297652,0.417347947,0.090909091,0.264640765,0.230841095,0.577895868,0.782096545,0.460973249,0.826298281,58
