Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05:Uterine,0,11,1,4,7,0.782608695652174,0.7333333333333333,0.875,0.9166666666666666,0.26666666666666666,0.08333333333333333,0.36363636363636365,0.8333333333333333,0.9367039964866051,113
Pval<0.05:Colrec,0,30,16,80,234,0.7333333333333333,0.2727272727272727,0.936,0.6521739130434783,0.7272727272727273,0.34782608695652173,0.25477707006369427,0.5864909090909092,0.46394490667329463,113
Pval<0.05:Uterine,1,4,0,6,13,0.7391304347826086,0.4,1.0,1.0,0.6,0.0,0.3157894736842105,0.9,0.9434782608695652,113
Pval<0.05:Colrec,1,29,16,81,234,0.7305555555555555,0.2636363636363636,0.936,0.6444444444444445,0.7363636363636363,0.35555555555555557,0.2571428571428571,0.5863818181818182,0.468607318986797,113
Pval<0.05:Uterine,2,5,0,6,12,0.7391304347826086,0.45454545454545453,1.0,1.0,0.5454545454545454,0.0,0.3333333333333333,0.7727272727272727,0.8814229249011858,113
Pval<0.05:Colrec,2,30,18,80,232,0.7277777777777777,0.2727272727272727,0.928,0.625,0.7272727272727273,0.375,0.2564102564102564,0.5872909090909091,0.46773174072498647,113
Pval<0.05:Uterine,3,6,0,2,15,0.9130434782608695,0.75,1.0,1.0,0.25,0.0,0.11764705882352941,0.9375,0.9592391304347826,113
Pval<0.05:Colrec,3,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.5861272727272728,0.46340325022847023,113
Pval<0.05:Uterine,4,6,0,2,15,0.9130434782608695,0.75,1.0,1.0,0.25,0.0,0.11764705882352941,0.8666666666666667,0.9006211180124224,113
Pval<0.05:Colrec,4,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.587509090909091,0.46828786342193557,113
Pval<0.05:Uterine,5,8,0,5,10,0.782608695652174,0.6153846153846154,1.0,1.0,0.38461538461538464,0.0,0.3333333333333333,0.8846153846153846,0.9498327759197323,113
Pval<0.05:Colrec,5,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.5871818181818184,0.46039987028231383,113
Pval<0.05:Uterine,6,5,0,5,13,0.782608695652174,0.5,1.0,1.0,0.5,0.0,0.2777777777777778,0.75,0.858695652173913,113
Pval<0.05:Colrec,6,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.5871818181818182,0.4672792297206787,113
Pval<0.05:Uterine,7,3,0,3,17,0.8695652173913043,0.5,1.0,1.0,0.5,0.0,0.15,0.9166666666666667,0.9384057971014492,113
Pval<0.05:Colrec,7,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.5875454545454546,0.46965902678597704,113
Pval<0.05:Uterine,8,2,0,6,15,0.7391304347826086,0.25,1.0,1.0,0.75,0.0,0.2857142857142857,0.6875,0.7961956521739131,113
Pval<0.05:Colrec,8,29,17,81,233,0.7277777777777777,0.2636363636363636,0.932,0.6304347826086957,0.7363636363636363,0.3695652173913043,0.25796178343949044,0.5871454545454546,0.46695152468037643,113
Pval<0.05:Uterine,9,7,0,2,14,0.9130434782608695,0.7777777777777778,1.0,1.0,0.2222222222222222,0.0,0.125,0.9444444444444444,0.9661835748792271,113
Pval<0.05:Colrec,9,30,17,80,233,0.7305555555555555,0.2727272727272727,0.932,0.6382978723404256,0.7272727272727273,0.3617021276595745,0.25559105431309903,0.5873636363636364,0.4636105130185186,113
Pval<0.05:Uterine,10,4,0,7,12,0.6956521739130435,0.36363636363636365,1.0,1.0,0.6363636363636364,0.0,0.3684210526315789,0.7954545454545453,0.8561664784490872,113
Pval<0.05:Colrec,10,30,16,80,234,0.7333333333333333,0.2727272727272727,0.936,0.6521739130434783,0.7272727272727273,0.34782608695652173,0.25477707006369427,0.5874727272727274,0.46000630172614354,113
Pval<0.01:Uterine,0,5,1,4,13,0.782608695652174,0.5555555555555556,0.9285714285714286,0.8333333333333334,0.4444444444444444,0.16666666666666666,0.23529411764705882,0.7420634920634921,0.818438003220612,33
Pval<0.01:Colrec,0,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.5868181818181818,0.4664214200686902,33
Pval<0.01:Uterine,1,6,0,3,14,0.8695652173913043,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.8888888888888888,0.9323671497584541,33
Pval<0.01:Colrec,1,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.5866363636363636,0.4651043366026386,33
Pval<0.01:Uterine,2,9,0,6,8,0.7391304347826086,0.6,1.0,1.0,0.4,0.0,0.42857142857142855,0.8,0.9304347826086956,33
Pval<0.01:Colrec,2,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.5871454545454545,0.4745873085333604,33
Pval<0.01:Uterine,3,5,1,7,10,0.6521739130434783,0.4166666666666667,0.9090909090909091,0.8333333333333334,0.5833333333333334,0.16666666666666666,0.4117647058823529,0.712121212121212,0.8165458937198067,33
Pval<0.01:Colrec,3,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.5868181818181818,0.47102315500590286,33
Pval<0.01:Uterine,4,5,0,2,16,0.9130434782608695,0.7142857142857143,1.0,1.0,0.2857142857142857,0.0,0.1111111111111111,0.9285714285714286,0.9503105590062111,33
Pval<0.01:Colrec,4,30,21,80,229,0.7194444444444444,0.2727272727272727,0.916,0.5882352941176471,0.7272727272727273,0.4117647058823529,0.2588996763754045,0.5867818181818182,0.47029405896446747,33
Pval<0.01:Uterine,5,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.8181818181818181,0.9051383399209486,33
Pval<0.01:Colrec,5,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.5866,0.4713270902542308,33
Pval<0.01:Uterine,6,7,0,3,13,0.8695652173913043,0.7,1.0,1.0,0.3,0.0,0.1875,0.9,0.9434782608695652,33
Pval<0.01:Colrec,6,30,21,80,229,0.7194444444444444,0.2727272727272727,0.916,0.5882352941176471,0.7272727272727273,0.4117647058823529,0.2588996763754045,0.5869636363636364,0.4748146722076438,33
Pval<0.01:Uterine,7,5,0,4,14,0.8260869565217391,0.5555555555555556,1.0,1.0,0.4444444444444444,0.0,0.2222222222222222,0.7777777777777778,0.8647342995169083,33
Pval<0.01:Colrec,7,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.5864909090909091,0.4656769059883346,33
Pval<0.01:Uterine,8,5,1,4,13,0.782608695652174,0.5555555555555556,0.9285714285714286,0.8333333333333334,0.4444444444444444,0.16666666666666666,0.23529411764705882,0.8492063492063492,0.8401052449965494,33
Pval<0.01:Colrec,8,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.5879818181818182,0.4718473955937272,33
Pval<0.01:Uterine,9,10,0,4,9,0.8260869565217391,0.7142857142857143,1.0,1.0,0.2857142857142857,0.0,0.3076923076923077,0.8571428571428572,0.9440993788819875,33
Pval<0.01:Colrec,9,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.5875090909090909,0.465797568654303,33
Pval<0.01:Uterine,10,2,0,9,12,0.6086956521739131,0.18181818181818182,1.0,1.0,0.8181818181818182,0.0,0.42857142857142855,0.6363636363636364,0.8102766798418972,33
Pval<0.01:Colrec,10,31,21,79,229,0.7222222222222222,0.2818181818181818,0.916,0.5961538461538461,0.7181818181818181,0.40384615384615385,0.2564935064935065,0.586090909090909,0.4624307277391561,33
