Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,121.0
Pval<0.01,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,63.0
Pval<0.005,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,36.0
Chi>3.84,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,52.0
Chi>7.68,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,26.0
Chi>15.36,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,16.0
TP-2FP>2,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,79.0
TP-2FP>3,6.2,2.4,1.8,3.6,0.7,0.775,0.6,0.8285714285714285,0.225,0.17142857142857143,-0.20000000000000004,0.0,0.0,36.0
TP-2FP>4,4.8,0.0,3.2,6.0,0.7714285714285715,0.6,1.0,1.0,0.4,0.0,0.3466666666666667,0.0,0.0,15.0
TP3_FP0,5.0,1.2,3.0,4.8,0.7,0.625,0.8,0.9142857142857143,0.375,0.08571428571428572,0.10666666666666665,0.0,0.0,23.0
TP4_FP0,4.0,0.0,4.0,6.0,0.7142857142857143,0.5,1.0,1.0,0.5,0.0,0.4,0.0,0.0,9.0
FP=0,4.6,0.0,3.4,6.0,0.7571428571428571,0.575,1.0,1.0,0.425,0.0,0.36,0.0,0.0,59.0
All,4.4,0.0,3.6,6.0,0.7428571428571429,0.55,1.0,1.0,0.45,0.0,0.37333333333333335,0.0,0.0,345.0
