Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,121.0
Pval<0.01,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,63.0
Pval<0.005,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,36.0
Chi>3.84,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,52.0
Chi>7.68,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,26.0
Chi>15.36,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,16.0
TP-2FP>2,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,79.0
TP-2FP>3,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,36.0
TP-2FP>4,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,15.0
TP3_FP0,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,23.0
TP4_FP0,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,9.0
FP=0,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,59.0
All,5.0,0.0,3.0,6.0,0.7857142857142857,0.625,1.0,1.0,0.375,0.0,0.3333333333333333,0.0,0.0,345.0
