Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,4.2,1.8,105.8,118.2,0.5321739130434783,0.038181818181818185,0.985,0.6833333333333333,0.9618181818181817,0.31666666666666665,0.472304629218346,0.0,0.0,210.0
Pval<0.01,7.6,1.4,102.4,118.6,0.548695652173913,0.06909090909090909,0.9883333333333333,0.8758730158730158,0.9309090909090909,0.12412698412698413,0.4632737722916249,0.0,0.0,85.0
Pval<0.005,14.6,4.6,95.4,115.4,0.5652173913043479,0.13272727272727272,0.9616666666666666,0.7703403263403263,0.8672727272727272,0.22965967365967366,0.4524128085106482,0.0,0.0,45.0
Chi>3.84,8.8,1.2,101.2,118.8,0.5547826086956522,0.07999999999999999,0.99,0.8812626262626264,0.9199999999999999,0.11873737373737374,0.459985987097964,0.0,0.0,153.0
Chi>7.68,32.6,28.4,77.4,91.6,0.54,0.29636363636363633,0.7633333333333333,0.6713992946969193,0.7036363636363636,0.3286007053030807,0.5643281836646766,0.0,0.0,75.0
Chi>15.36,18.8,5.6,91.2,114.4,0.5791304347826087,0.17090909090909093,0.9533333333333334,0.7738461538461539,0.8290909090909091,0.22615384615384615,0.44349871232611016,0.0,0.0,30.0
TP-2FP>2,6.4,2.0,103.6,118.0,0.5408695652173913,0.05818181818181818,0.9833333333333334,0.4188888888888889,0.9418181818181818,-0.018888888888888906,0.46736841731083095,0.0,0.0,151.0
TP-2FP>3,29.8,25.8,80.2,94.2,0.5391304347826087,0.27090909090909093,0.785,0.7505728088336783,0.7290909090909091,0.2494271911663216,0.16786442239930613,0.0,0.0,55.0
TP-2FP>4,18.8,5.4,91.2,114.6,0.5799999999999998,0.17090909090909093,0.9549999999999998,0.7770928347015303,0.8290909090909091,0.22290716529846963,0.44313206861036675,0.0,0.0,26.0
TP3_FP0,11.2,3.0,98.8,117.0,0.5573913043478261,0.10181818181818181,0.975,0.7962458193979933,0.8981818181818182,0.20375418060200667,0.45765109847568536,0.0,0.0,42.0
TP4_FP0,13.0,8.0,97.0,112.0,0.5434782608695652,0.11818181818181817,0.9333333333333333,0.6228365496396188,0.8818181818181818,0.37716345036038135,0.4641285898220987,0.0,0.0,19.0
FP=0,7.2,3.2,102.8,116.8,0.5391304347826087,0.06545454545454546,0.9733333333333334,0.7051282051282051,0.9345454545454546,0.2948717948717948,0.46810210676502473,0.0,0.0,131.0
All,6.0,8.0,104.0,112.0,0.5130434782608695,0.05454545454545454,0.9333333333333333,0.39132183908045975,0.9454545454545455,0.6086781609195402,0.48183464543382665,0.0,0.0,1460.0
