Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,32.0,12.8,78.0,107.2,0.6052173913043478,0.2909090909090909,0.8933333333333333,0.7162481962481962,0.7090909090909092,0.28375180375180376,0.421196599566557,0.0,0.0,210.0
Pval<0.01,30.2,12.8,79.8,107.2,0.5973913043478262,0.27454545454545454,0.8933333333333333,0.7053846153846154,0.7254545454545454,0.2946153846153846,0.42677164114474664,0.0,0.0,85.0
Pval<0.005,26.0,11.4,84.0,108.6,0.5852173913043478,0.2363636363636364,0.905,0.695136633307365,0.7636363636363636,0.304863366692635,0.43607773637209746,0.0,0.0,45.0
Chi>3.84,34.2,15.6,75.8,104.4,0.6026086956521739,0.3109090909090909,0.8699999999999999,0.6885980004650082,0.6890909090909092,0.31140199953499187,0.4206985322183282,0.0,0.0,153.0
Chi>7.68,32.0,14.0,78.0,106.0,0.6,0.2909090909090909,0.8833333333333334,0.6971601816352612,0.7090909090909091,0.30283981836473883,0.4239160047757996,0.0,0.0,75.0
Chi>15.36,29.8,10.8,80.2,109.2,0.6043478260869566,0.2709090909090909,0.9100000000000001,0.7346041649785269,0.7290909090909091,0.2653958350214731,0.42341934015159566,0.0,0.0,30.0
TP-2FP>2,32.8,13.0,77.2,107.0,0.6078260869565217,0.29818181818181816,0.8916666666666666,0.7183775819731331,0.7018181818181818,0.281622418026867,0.4191686091082075,0.0,0.0,151.0
TP-2FP>3,28.6,13.0,81.4,107.0,0.5895652173913044,0.25999999999999995,0.8916666666666666,0.6882339324199789,0.74,0.311766067580021,0.432027116077784,0.0,0.0,55.0
TP-2FP>4,21.6,11.2,88.4,108.8,0.5669565217391305,0.19636363636363635,0.9066666666666666,0.6610705818600555,0.8036363636363637,0.3389294181399445,0.44818286901781423,0.0,0.0,26.0
TP3_FP0,27.0,14.2,83.0,105.8,0.5773913043478262,0.24545454545454545,0.8816666666666666,0.6553193960511033,0.7545454545454545,0.34468060394889666,0.4396143431865716,0.0,0.0,42.0
TP4_FP0,15.8,10.2,94.2,109.8,0.5460869565217391,0.14363636363636362,0.915,0.6070980870980871,0.8563636363636362,0.3929019129019129,0.4617484967538508,0.0,0.0,19.0
FP=0,31.6,13.2,78.4,106.8,0.6017391304347827,0.2872727272727273,0.89,0.7140609123712572,0.7127272727272727,0.28593908762874276,0.4233459010303123,0.0,0.0,131.0
All,36.4,16.0,73.6,104.0,0.6104347826086957,0.33090909090909093,0.8666666666666668,0.6949992365919114,0.6690909090909092,0.30500076340808857,0.41437804441209947,0.0,0.0,1460.0
