Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,82.2,16,27.8,104,0.809565217,0.747272727,0.866666667,0.83706721,0.252727273,0.16293279,0.210925645,0,0,134
Pval<0.01,73,8,37,112,0.804347826,0.663636364,0.933333333,0.901234568,0.336363636,0.098765432,0.248322148,0,0,53
Pval<0.005,69,4,41,116,0.804347826,0.627272727,0.966666667,0.945205479,0.372727273,0.054794521,0.261146497,0,0,29
Chi>3.84,74.8,4,35.2,116,0.829565217,0.68,0.966666667,0.949238579,0.32,0.050761421,0.232804233,0,0,66
Chi>7.68,64,4,46,116,0.782608696,0.581818182,0.966666667,0.941176471,0.418181818,0.058823529,0.283950617,0,0,26
Chi>15.36,60,2,50,118,0.773913043,0.545454545,0.983333333,0.967741935,0.454545455,0.032258065,0.297619048,0,0,15
TP-2FP>2,59,13,51,107,0.72173913,0.536363636,0.891666667,0.819444444,0.463636364,0.180555556,0.32278481,0,0,91
TP-2FP>3,50,5,60,115,0.717391304,0.454545455,0.958333333,0.909090909,0.545454545,0.090909091,0.342857143,0,0,35
TP-2FP>4,45,3,65,117,0.704347826,0.409090909,0.975,0.9375,0.590909091,0.0625,0.357142857,0,0,19
TP3_FP0,56,5,54,115,0.743478261,0.509090909,0.958333333,0.918032787,0.490909091,0.081967213,0.319526627,0,0,28
TP4_FP0,45,1,65,119,0.713043478,0.409090909,0.991666667,0.97826087,0.590909091,0.02173913,0.35326087,0,0,14
FP=0,46,13,64,107,0.665217391,0.418181818,0.891666667,0.779661017,0.581818182,0.220338983,0.374269006,0,0,76
All,44.6,15,65.4,105,0.650434783,0.405454545,0.875,0.748322148,0.594545455,0.251677852,0.383802817,0,0,540
