Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,17.2,2.8,38.8,103.2,0.74320987654321,0.30714285714285716,0.9735849056603774,0.8629603174603174,0.6928571428571428,0.13703968253968252,0.2730244323984343,0.0,0.0,66.0
Pval<0.01,21.2,4.6,34.8,101.4,0.7567901234567902,0.37857142857142856,0.9566037735849056,0.8218480038480038,0.6214285714285714,0.17815199615199612,0.25537507688068745,0.0,0.0,38.0
Pval<0.005,27.0,23.6,29.0,82.4,0.6753086419753086,0.4821428571428571,0.7773584905660378,0.7643939393939394,0.5178571428571429,0.2356060606060606,0.40503105590062116,0.0,0.0,22.0
Chi>3.84,18.8,1.4,37.2,104.6,0.7617283950617285,0.33571428571428574,0.9867924528301888,0.9317179311916155,0.6642857142857143,0.0682820688083846,0.26231722328216184,0.0,0.0,33.0
Chi>7.68,20.8,1.8,35.2,104.2,0.7716049382716049,0.37142857142857144,0.9830188679245282,0.9197602592339434,0.6285714285714284,0.08023974076605656,0.2522391440060265,0.0,0.0,20.0
Chi>15.36,22.6,2.0,33.4,104.0,0.7814814814814814,0.4035714285714286,0.9811320754716981,0.9186666666666667,0.5964285714285714,0.08133333333333334,0.24307627208293664,0.0,0.0,11.0
TP-2FP>2,17.6,2.8,38.4,103.2,0.7456790123456789,0.31428571428571433,0.9735849056603774,0.8633621933621933,0.6857142857142857,0.1366378066378066,0.2711436943172035,0.0,0.0,39.0
TP-2FP>3,19.6,2.8,36.4,103.2,0.7580246913580246,0.35,0.9735849056603774,0.8755533596837944,0.65,0.12444664031620553,0.2607000296010239,0.0,0.0,20.0
TP-2FP>4,34.2,43.6,21.8,62.4,0.5962962962962963,0.6107142857142857,0.588679245283019,0.6828910220214568,0.38928571428571435,0.3171089779785432,0.5532168550873587,0.0,0.0,10.0
TP3_FP0,17.4,2.0,38.6,104.0,0.7493827160493828,0.3107142857142857,0.9811320754716981,0.8967418546365915,0.6892857142857143,0.10325814536340852,0.27066408768536426,0.0,0.0,10.0
TP4_FP0,7.0,1.0,49.0,105.0,0.691358024691358,0.125,0.9905660377358491,0.875,0.875,0.125,0.3181818181818182,0.0,0.0,3.0
FP=0,21.2,2.0,34.8,104.0,0.7728395061728395,0.37857142857142856,0.9811320754716981,0.9137022397891963,0.6214285714285714,0.08629776021080368,0.25069872052668424,0.0,0.0,22.0
All,10.4,0.4,45.6,105.6,0.7160493827160493,0.18571428571428572,0.9962264150943396,0.9715686274509805,0.8142857142857144,0.028431372549019607,0.3011931982382928,0.0,0.0,215.0
