Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,28.4,5.2,27.6,100.8,0.7975308641975308,0.5071428571428571,0.9509433962264151,0.847041437264561,0.4928571428571429,0.152958562735439,0.21485933707299748,0.0,0.0,66.0
Pval<0.01,26.8,3.4,29.2,102.6,0.7987654320987654,0.47857142857142865,0.9679245283018869,0.8885192697768762,0.5214285714285714,0.11148073022312373,0.2214652398040556,0.0,0.0,38.0
Pval<0.005,23.6,2.6,32.4,103.4,0.7839506172839505,0.42142857142857143,0.9754716981132076,0.9014603174603174,0.5785714285714285,0.09853968253968254,0.23853401633182517,0.0,0.0,22.0
Chi>3.84,25.6,2.4,30.4,103.6,0.7975308641975308,0.4571428571428572,0.9773584905660376,0.9148252003424417,0.5428571428571429,0.08517479965755828,0.22681304475260394,0.0,0.0,33.0
Chi>7.68,25.0,3.0,31.0,103.0,0.7901234567901234,0.44642857142857145,0.9716981132075471,0.8926318891836132,0.5535714285714285,0.10736811081638668,0.23127516503677495,0.0,0.0,20.0
Chi>15.36,23.2,2.0,32.8,104.0,0.7851851851851851,0.41428571428571426,0.9811320754716981,0.9205641025641025,0.5857142857142857,0.07943589743589743,0.23974337434116774,0.0,0.0,11.0
TP-2FP>2,25.6,3.0,30.4,103.0,0.7938271604938272,0.4571428571428572,0.9716981132075471,0.8950738916256158,0.5428571428571428,0.10492610837438424,0.22787565929749745,0.0,0.0,39.0
TP-2FP>3,24.6,3.0,31.4,103.0,0.7876543209876543,0.4392857142857142,0.9716981132075471,0.8912698412698413,0.5607142857142857,0.10873015873015872,0.23362078496406857,0.0,0.0,20.0
TP-2FP>4,21.8,2.0,34.2,104.0,0.7765432098765432,0.38928571428571423,0.9811320754716981,0.9159420289855073,0.6107142857142857,0.08405797101449275,0.24746116150557812,0.0,0.0,10.0
TP3_FP0,14.2,1.6,41.8,104.4,0.7320987654320987,0.25357142857142856,0.9849056603773585,0.5178571428571429,0.7464285714285714,-0.11785714285714285,0.28411685755511656,0.0,0.0,10.0
TP4_FP0,2.6,0.2,53.4,105.8,0.6691358024691357,0.04642857142857143,0.9981132075471699,0.175,0.9535714285714286,-0.375,0.3351991028073369,0.0,0.0,3.0
FP=0,23.6,1.8,32.4,104.2,0.7888888888888889,0.42142857142857143,0.9830188679245284,0.9295128205128206,0.5785714285714285,0.0704871794871795,0.23717774002650885,0.0,0.0,22.0
All,29.4,4.4,26.6,101.6,0.8086419753086419,0.525,0.9584905660377359,0.8696557332610464,0.475,0.13034426673895366,0.20738996664062032,0.0,0.0,215.0
