Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,27.0,4.6,29.0,101.4,0.7925925925925925,0.4821428571428571,0.9566037735849056,0.855257314524556,0.5178571428571429,0.14474268547544408,0.22236978851421937,0.0,0.0,66.0
Pval<0.01,25.6,4.2,30.4,101.8,0.7864197530864196,0.45714285714285713,0.960377358490566,0.8605830773169483,0.5428571428571429,0.1394169226830517,0.22989450217432444,0.0,0.0,38.0
Pval<0.005,23.8,3.0,32.2,103.0,0.7827160493827161,0.425,0.9716981132075471,0.8880341880341881,0.575,0.11196581196581197,0.23815904139433552,0.0,0.0,22.0
Chi>3.84,25.2,3.0,30.8,103.0,0.791358024691358,0.45,0.9716981132075471,0.8935960591133005,0.55,0.10640394088669951,0.23018740882055883,0.0,0.0,33.0
Chi>7.68,25.0,3.0,31.0,103.0,0.7901234567901234,0.44642857142857145,0.9716981132075471,0.8928024083196497,0.5535714285714286,0.1071975916803503,0.2313261595115484,0.0,0.0,20.0
Chi>15.36,23.0,2.0,33.0,104.0,0.7839506172839507,0.4107142857142857,0.9811320754716981,0.9200000000000002,0.5892857142857143,0.08,0.2408759124087591,0.0,0.0,11.0
TP-2FP>2,25.2,3.0,30.8,103.0,0.791358024691358,0.45,0.9716981132075471,0.8935960591133005,0.55,0.10640394088669951,0.23018740882055883,0.0,0.0,39.0
TP-2FP>3,22.6,3.0,33.4,103.0,0.7753086419753086,0.4035714285714286,0.9716981132075471,0.8827692307692308,0.5964285714285714,0.11723076923076925,0.24485830828681837,0.0,0.0,20.0
TP-2FP>4,20.8,2.0,35.2,104.0,0.7703703703703704,0.37142857142857144,0.9811320754716981,0.9122529644268773,0.6285714285714286,0.08774703557312254,0.2528674203494347,0.0,0.0,10.0
TP3_FP0,19.0,2.0,37.0,104.0,0.7592592592592593,0.3392857142857143,0.9811320754716981,0.9047619047619048,0.6607142857142857,0.09523809523809523,0.2624113475177305,0.0,0.0,10.0
TP4_FP0,7.0,1.0,49.0,105.0,0.691358024691358,0.125,0.9905660377358491,0.875,0.875,0.125,0.3181818181818182,0.0,0.0,3.0
FP=0,22.8,1.6,33.2,104.4,0.7851851851851851,0.40714285714285714,0.9849056603773585,0.9354442079659473,0.5928571428571427,0.0645557920340529,0.24121369284992786,0.0,0.0,22.0
All,28.0,3.4,28.0,102.6,0.8061728395061728,0.5,0.9679245283018869,0.8921603128054741,0.5,0.1078396871945259,0.21434780971439946,0.0,0.0,215.0
