Seperator Type,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.05,28.2,4.4,27.8,101.6,0.8012345679012345,0.5035714285714286,0.9584905660377359,0.866890756302521,0.49642857142857144,0.133109243697479,0.214773472918158,0.0,0.0,66.0
Pval<0.01,29.0,5.0,27.0,101.0,0.8024691358024691,0.5178571428571429,0.9528301886792454,0.8529411764705882,0.4821428571428571,0.14705882352941177,0.2109375,0.0,0.0,38.0
Pval<0.005,25.0,3.0,31.0,103.0,0.7901234567901234,0.44642857142857145,0.9716981132075471,0.8928571428571429,0.5535714285714286,0.10714285714285714,0.23134328358208958,0.0,0.0,22.0
Chi>3.84,25.4,2.8,30.6,103.2,0.7938271604938272,0.45357142857142857,0.9735849056603774,0.901128526645768,0.5464285714285715,0.09887147335423199,0.22835953520164046,0.0,0.0,33.0
Chi>7.68,26.0,3.0,30.0,103.0,0.7962962962962963,0.4642857142857143,0.9716981132075471,0.8965517241379309,0.5357142857142857,0.10344827586206898,0.22556390977443605,0.0,0.0,20.0
Chi>15.36,24.0,2.0,32.0,104.0,0.7901234567901234,0.42857142857142855,0.9811320754716981,0.9230769230769231,0.5714285714285714,0.07692307692307693,0.23529411764705882,0.0,0.0,11.0
TP-2FP>2,26.0,3.0,30.0,103.0,0.7962962962962963,0.4642857142857143,0.9716981132075471,0.8965517241379309,0.5357142857142857,0.10344827586206898,0.22556390977443605,0.0,0.0,39.0
TP-2FP>3,25.0,3.0,31.0,103.0,0.7901234567901234,0.44642857142857145,0.9716981132075471,0.8928571428571429,0.5535714285714286,0.10714285714285714,0.23134328358208958,0.0,0.0,20.0
TP-2FP>4,22.0,2.0,34.0,104.0,0.7777777777777778,0.39285714285714285,0.9811320754716981,0.9166666666666666,0.6071428571428571,0.08333333333333333,0.24637681159420294,0.0,0.0,10.0
TP3_FP0,19.0,2.0,37.0,104.0,0.7592592592592593,0.3392857142857143,0.9811320754716981,0.9047619047619048,0.6607142857142857,0.09523809523809523,0.2624113475177305,0.0,0.0,10.0
TP4_FP0,7.0,1.0,49.0,105.0,0.691358024691358,0.125,0.9905660377358491,0.875,0.875,0.125,0.3181818181818182,0.0,0.0,3.0
FP=0,24.0,2.0,32.0,104.0,0.7901234567901234,0.42857142857142855,0.9811320754716981,0.9230769230769231,0.5714285714285714,0.07692307692307693,0.23529411764705882,0.0,0.0,22.0
All,27.8,4.0,28.2,102.0,0.8012345679012345,0.49642857142857144,0.9622641509433961,0.8740957966764418,0.5035714285714286,0.12590420332355817,0.21654535771347416,0.0,0.0,215.0
